area_id,area_name,b08135001,b08135001_moe,b08135002,b08135002_moe,b08135003,b08135003_moe,b08135004,b08135004_moe,b08135005,b08135005_moe,b08135006,b08135006_moe,b08135007,b08135007_moe,b08135008,b08135008_moe,b08135009,b08135009_moe,b08135010,b08135010_moe
1,Rogers Park,706995,42970,5125,1226,13965,2959,26310,5758,41825,7358,23035,5454,101520,14558,79225,12564,186145,22063,229835,32134
2,West Ridge,725540,45778,9140,1774,19820,3474,42285,6705,55890,9993,25705,6535,128790,19268,72245,13987,155275,23183,216385,33160
3,Uptown,962875,48998,4310,1160,15670,3206,30005,5236,51720,9686,32790,6963,162235,17092,136800,18043,240760,25625,288585,37764
4,Lincoln Square,712475,37706,4170,1041,9515,2165,22695,4222,37980,7016,22235,5205,111415,14378,93015,12455,208010,21896,203430,33357
5,North Center,586050,28577,3895,911,15370,2650,23165,3604,49285,7375,22240,4374,102930,12461,89445,11903,137760,16942,141955,21881
6,Lake View,1817690,58119,10450,1967,24120,3823,58035,6621,140455,13729,92725,10564,368000,24354,305200,24749,374040,33708,444660,45072
7,Lincoln Park,957920,39356,9755,1870,28125,4658,59365,6885,110510,10525,72210,11444,193040,18034,99145,13937,155880,19180,229880,30682
8,Near North Side,1049495,46491,18160,2596,68150,7318,110620,10970,149055,13852,65885,10866,157860,18002,99140,14941,107880,17652,272750,39691
9,Edison Park,157460,16388,1765,701,4165,1790,8110,2227,9120,2964,6325,2278,33690,7323,29640,7018,24030,8100,40610,14659
10,Norwood Park,499885,30325,5920,1348,16975,3010,28755,5139,44740,7152,22300,5395,109470,12340,63515,12114,91985,14373,116215,22509
11,Jefferson Park,336510,28934,2485,840,4675,1647,12705,2839,26480,4717,19500,6719,72570,11947,27430,6338,68015,12767,102655,25510
12,Forest Glen,276795,20240,2200,741,7345,1959,14885,3381,21560,4411,17440,3653,48435,7895,38935,8597,46660,8842,79325,17187
13,North Park,240425,21880,3085,733,7165,1882,12310,2972,17540,4198,9235,3373,48060,9295,21755,5803,58350,10981,62925,14992
14,Albany Park,734480,46721,3510,931,12815,2794,23725,5258,52910,9371,29390,7157,146850,19998,88505,16053,138965,17823,237810,37061
15,Portage Park,741030,41939,4000,1241,12655,2751,24365,4725,51240,7269,34525,7688,152760,16907,75715,11972,145660,19879,240100,30957
16,Irving Park,659050,39545,3870,953,13260,3858,30795,5354,55720,7638,21335,4861,123750,14692,77375,12380,137275,16604,195680,31968
17,Dunning,461235,31459,3175,1082,9160,2149,17375,3645,28165,4845,16780,5726,97800,14147,58380,10408,92785,15602,137615,24088
18,Montclare,189120,21523,1115,631,2265,976,5940,1940,8500,3062,7725,3414,32515,7147,23920,5672,40315,9600,66825,17085
19,Belmont Cragin,642800,44447,4355,1328,11040,2323,18860,4470,43230,8483,18600,5081,121950,16050,80010,14792,120030,20290,224720,32620
20,Hermosa,306715,29399,1640,729,6845,2071,13630,3497,20040,4516,10775,4673,58290,10502,33015,9277,57505,10863,104980,23290
21,Avondale,417245,29381,2415,935,13950,2924,23510,4642,40175,7806,14925,4939,79890,12428,65730,14703,80320,14724,96325,19381
22,Logan Square,537640,26732,3340,860,17860,2957,28390,4016,69920,7927,20870,4402,120000,13859,66755,9644,92215,12928,118300,18419
23,Humboldt Park,335200,30930,2310,1112,7810,2381,17880,4063,24600,5835,14800,4892,58520,11972,22940,7037,70180,13489,116160,22800
24,West Town,1140825,44431,11695,1711,45080,4661,79130,7707,136710,12573,60465,8388,229575,18321,101750,12319,195270,21385,281150,33481
25,Austin,374870,29455,1770,698,4910,1818,11490,2779,25125,7253,10625,3281,82845,15559,44665,9954,75005,14007,118430,23149
28,Near West Side,726180,37952,12800,1885,37510,4770,55440,5874,83135,9811,35465,6035,105850,12226,73550,11858,87855,13530,234575,31179
30,South Lawndale,204000,21992,1075,391,3100,1143,6405,1891,17620,5131,7450,2787,34980,7894,15810,5205,34800,9641,82755,17529
31,Lower West Side,344555,26482,5250,1246,11550,2715,19565,5222,32220,6742,14075,4546,58740,8945,41365,10343,57580,10557,104210,20860
32,Loop,355095,30754,6930,1852,29855,5446,42875,7445,51385,10844,17425,5166,46440,10642,22600,9376,41415,12012,96170,22870
33,Near South Side,330120,31967,2140,882,19060,6469,21695,4571,39755,6919,13550,4986,70890,13274,31880,8346,54620,17326,76535,23403
34,Armour Square,91620,13582,775,393,6850,2593,8955,3269,10140,4394,2575,1540,25470,9451,12230,4933,9545,4098,15080,6873
35,Douglas,137000,15229,1970,581,6910,2038,7650,2181,13880,4146,8195,3334,25620,5524,11885,3982,27970,7752,32920,10899
38,Grand Boulevard,59665,9765,655,347,1210,555,2355,1230,6980,2072,1825,1164,13260,4066,3670,2020,9790,4056,19920,7587
39,Kenwood,163755,15630,1690,670,6105,1734,12800,2933,18700,4458,12305,4103,23430,5590,24390,6328,21070,5568,43260,13841
