area_id,area_name,b05009001,b05009001_moe,b05009002,b05009002_moe,b05009003,b05009003_moe,b05009004,b05009004_moe,b05009005,b05009005_moe,b05009006,b05009006_moe,b05009007,b05009007_moe,b05009008,b05009008_moe,b05009009,b05009009_moe,b05009010,b05009010_moe,b05009011,b05009011_moe,b05009012,b05009012_moe,b05009013,b05009013_moe,b05009014,b05009014_moe,b05009015,b05009015_moe,b05009016,b05009016_moe,b05009017,b05009017_moe,b05009018,b05009018_moe,b05009019,b05009019_moe,b05009020,b05009020_moe,b05009021,b05009021_moe,b05009022,b05009022_moe,b05009023,b05009023_moe,b05009024,b05009024_moe,b05009025,b05009025_moe,b05009026,b05009026_moe,b05009027,b05009027_moe,b05009028,b05009028_moe,b05009029,b05009029_moe,b05009030,b05009030_moe,b05009031,b05009031_moe,b05009032,b05009032_moe,b05009033,b05009033_moe,b05009034,b05009034_moe,b05009035,b05009035_moe,b05009036,b05009036_moe,b05009037,b05009037_moe
1,Rogers Park,10781,1006,4686,614,3188,537,3008,512,180,140,1207,295,1526,415,1375,392,151,134,455,217,426,193,29,63,1498,340,1433,331,65,92,973,282,525,191,480,176,45,86,6095,732,3122,584,2487,471,635,301,1003,286,2019,516,1411,391,608,299,100,93,100,93,0,48,2973,563,2647,542,326,208,2076,493,897,301,571,218,326,208
2,West Ridge,18510,1433,6664,844,5494,793,5061,765,433,227,1490,349,3222,639,2808,601,414,225,782,307,769,305,13,53,1170,373,1170,373,0,51,739,270,431,270,431,270,0,51,11846,1038,8762,948,7160,844,1602,454,3027,602,4654,727,3172,591,1482,436,1081,416,976,370,105,112,3084,646,2470,547,614,310,1495,483,1589,443,975,274,614,310
3,Uptown,6206,807,2872,490,2079,438,2030,436,49,61,1023,292,829,337,780,335,49,61,227,138,227,138,0,48,793,252,793,252,0,48,556,218,237,135,237,135,0,48,3334,595,1675,487,1393,467,282,155,741,264,811,438,570,411,241,140,123,97,82,72,41,81,1659,352,1488,339,171,137,1073,283,586,231,449,194,137,132
4,Lincoln Square,6150,685,3157,404,2532,374,2433,354,99,105,1580,279,502,220,415,171,87,104,450,214,450,214,0,40,625,272,625,272,0,40,323,163,302,214,302,214,0,40,2993,499,2164,423,1858,366,306,183,880,253,958,327,681,237,277,178,326,157,297,150,29,61,829,259,633,219,196,139,437,200,392,187,204,130,188,138
5,North Center,6158,547,3451,385,3295,371,3270,369,25,51,2892,363,104,74,87,69,17,50,299,130,291,129,8,44,156,104,156,104,0,43,156,104,0,43,0,43,0,43,2707,408,2219,385,2162,385,57,65,1694,261,203,129,194,128,9,43,322,253,322,253,0,43,488,166,488,166,0,43,381,144,107,92,107,92,0,43
6,Lake View,9751,699,5709,500,5199,482,5084,479,115,91,4017,430,635,209,561,198,74,84,547,142,547,142,0,66,510,213,510,213,0,66,424,191,86,121,86,121,0,66,4042,463,3267,407,3067,395,200,98,2497,390,373,129,249,110,124,88,397,143,389,141,8,66,775,249,668,227,107,123,495,194,280,171,203,139,77,119
7,Lincoln Park,8732,835,3643,416,3272,399,3169,397,103,68,2452,370,358,125,266,113,92,67,462,152,462,152,0,51,371,146,357,146,14,51,336,142,35,61,35,61,0,51,5089,743,4240,723,3919,700,321,183,3146,667,430,193,199,110,231,163,664,238,579,235,85,96,849,225,800,219,49,64,782,221,67,67,42,61,25,56
8,Near North Side,5754,724,2701,467,1972,414,1907,407,65,86,1082,264,662,305,597,296,65,86,228,148,228,148,0,54,729,244,726,244,3,54,712,239,17,58,14,58,3,54,3053,599,1430,377,1257,361,173,117,915,352,342,177,218,153,124,100,173,121,124,102,49,82,1623,494,1575,490,48,80,1503,488,120,96,72,76,48,80
9,Edison Park,2255,249,456,124,398,112,398,112,0,25,330,112,23,43,23,43,0,25,45,45,45,45,0,25,58,67,58,67,0,25,58,67,0,25,0,25,0,25,1799,236,1490,232,1409,239,81,121,1322,251,46,54,46,54,0,25,122,102,122,102,0,25,309,155,304,155,5,24,302,154,7,25,7,25,0,25
10,Norwood Park,7290,694,2718,473,2214,402,2214,402,0,39,1345,324,596,234,596,234,0,39,273,177,273,177,0,39,504,275,497,275,7,39,291,248,213,124,206,124,7,39,4572,524,3740,500,3519,494,221,162,2218,380,849,371,628,334,221,162,673,300,673,300,0,39,832,283,767,277,65,68,583,220,249,183,184,171,65,68
11,Jefferson Park,5692,648,1989,344,1569,321,1542,324,27,48,777,227,428,174,428,174,0,29,364,169,364,169,0,29,420,180,410,179,10,34,362,173,58,50,48,46,10,34,3703,494,2898,463,2660,454,238,166,1370,337,1145,361,907,325,238,166,383,190,383,190,0,29,805,277,786,275,19,42,588,221,217,173,198,171,19,42
12,Forest Glen,4401,340,1505,246,1380,239,1357,238,23,44,896,202,206,123,183,117,23,44,278,128,278,128,0,29,125,102,125,102,0,29,125,102,0,29,0,29,0,29,2896,306,2490,293,2428,286,62,56,1691,269,328,156,303,142,25,46,471,187,471,187,0,29,406,175,406,175,0,29,406,175,0,29,0,29,0,29
13,North Park,4166,568,1269,259,967,244,938,243,29,41,312,111,529,214,500,212,29,41,126,87,126,87,0,27,302,122,262,115,40,48,97,57,205,115,165,108,40,48,2897,502,2153,460,1889,440,264,126,856,324,1213,426,976,401,237,122,84,79,67,74,17,34,744,253,577,189,167,166,279,150,465,227,311,146,154,164
14,Albany Park,12894,1079,5147,637,3234,480,3191,480,43,59,1081,253,1661,429,1627,428,34,58,492,208,483,207,9,46,1913,457,1846,453,67,79,607,250,1306,377,1239,374,67,79,7747,777,5072,614,3993,521,1079,299,1076,308,3404,558,2477,447,927,289,592,242,440,187,152,121,2675,527,2133,451,542,281,1046,361,1629,415,1087,292,542,281
15,Portage Park,13909,1047,4400,565,2780,423,2732,424,48,63,1243,357,866,221,855,221,11,49,671,189,634,185,37,62,1620,398,1615,398,5,47,1208,358,412,183,407,183,5,47,9509,865,6292,725,5829,705,463,177,2092,389,3317,627,2854,591,463,177,883,288,883,288,0,47,3217,643,3112,631,105,81,2185,537,1032,351,927,323,105,81
16,Irving Park,12704,943,5376,566,3677,475,3594,472,83,75,2074,385,1144,272,1097,270,47,58,459,187,426,181,33,68,1699,403,1699,403,0,47,978,271,721,328,721,328,0,47,7328,752,4742,594,4297,554,445,162,1594,311,2224,458,1837,403,387,154,924,440,883,437,41,66,2586,545,2397,526,189,137,1577,433,1009,358,820,324,189,137
17,Dunning,7311,551,2545,363,1922,329,1910,327,12,40,912,219,805,227,793,227,12,40,205,127,205,127,0,40,623,203,623,203,0,40,411,148,212,143,212,143,0,40,4766,459,3595,429,3245,420,350,120,1400,309,1682,295,1366,271,316,116,513,162,498,160,15,47,1171,271,1132,268,39,45,704,208,467,177,428,173,39,45
18,Montclare,2908,481,955,247,666,227,666,227,0,23,173,91,356,171,356,171,0,23,137,164,137,164,0,23,289,121,289,121,0,23,258,118,31,32,31,32,0,23,1953,375,1299,283,1109,247,190,137,229,132,795,250,651,226,144,116,275,132,229,109,46,75,654,261,654,261,0,23,366,197,288,160,288,160,0,23
19,Belmont Cragin,22186,1367,7536,749,3520,540,3408,519,112,94,852,275,2128,418,2016,390,112,94,540,178,540,178,0,52,4016,603,3990,601,26,58,2217,477,1799,408,1786,407,13,55,14650,1132,8168,845,7533,808,635,231,1425,376,5684,712,5061,665,623,231,1059,327,1047,326,12,55,6482,913,5953,882,529,251,2948,624,3534,695,3005,645,529,251
20,Hermosa,6858,632,2240,340,997,238,997,238,0,29,164,102,581,195,581,195,0,29,252,121,252,121,0,29,1243,291,1243,291,0,29,748,238,495,229,495,229,0,29,4618,521,2775,482,2369,428,406,195,487,198,1984,439,1618,367,366,193,304,182,264,175,40,54,1843,387,1763,376,80,60,1308,360,535,192,455,174,80,60
21,Avondale,9336,897,3844,499,2152,343,2128,340,24,45,723,228,1029,237,1005,233,24,45,400,182,400,182,0,38,1692,385,1671,384,21,49,1163,336,529,229,508,226,21,49,5492,694,3798,617,3499,591,299,154,663,244,2485,554,2186,523,299,154,650,254,650,254,0,38,1694,407,1598,390,96,124,995,280,699,286,603,261,96,124
22,Logan Square,14043,980,6044,570,3824,461,3749,452,75,81,2266,333,968,292,912,281,56,75,590,185,590,185,0,57,2220,374,2200,373,20,65,1743,330,477,176,457,174,20,65,7999,736,4530,607,4306,589,224,129,1725,345,2286,474,2086,458,200,124,519,224,495,207,24,68,3469,487,3296,483,173,122,2341,396,1128,309,955,289,173,122
23,Humboldt Park,15030,1310,5573,746,1556,367,1430,337,126,131,699,222,523,235,478,225,45,69,334,181,253,143,81,122,4017,660,4017,660,0,51,3474,629,543,205,543,205,0,51,9457,901,3043,519,2879,506,164,107,1435,392,1186,302,1072,287,114,94,422,185,372,177,50,72,6414,812,5929,764,485,349,4927,704,1487,478,1002,340,485,349
24,West Town,12499,980,5808,580,4197,495,4105,497,92,105,2861,406,726,248,710,247,16,66,610,207,610,207,0,62,1611,326,1599,325,12,64,1259,286,352,168,352,168,0,62,6691,711,3215,524,2903,505,312,151,1592,403,1172,288,872,248,300,149,451,219,439,218,12,63,3476,518,3351,511,125,97,2702,458,774,284,655,268,119,97
25,Austin,23956,1487,7058,715,1375,357,1375,357,0,61,1136,337,139,101,139,101,0,61,100,96,100,96,0,61,5683,660,5683,660,0,61,5538,653,145,118,145,118,0,61,16898,1173,4277,630,4219,625,58,74,3086,561,841,296,783,284,58,74,350,186,350,186,0,61,12621,1066,12581,1064,40,74,12324,1052,297,193,257,180,40,74
26,West Garfield Park,6185,719,1853,351,150,88,150,88,0,35,145,88,0,35,0,35,0,35,5,34,5,34,0,35,1703,346,1703,346,0,35,1703,346,0,35,0,35,0,35,4332,548,505,218,505,218,0,35,474,214,0,35,0,35,0,35,31,52,31,52,0,35,3827,516,3827,516,0,35,3827,516,0,35,0,35,0,35
27,East Garfield Park,6652,773,2166,385,211,99,211,99,0,38,211,99,0,38,0,38,0,38,0,38,0,38,0,38,1955,382,1955,382,0,38,1912,381,43,50,43,50,0,38,4486,641,837,264,837,264,0,38,708,267,129,102,129,102,0,38,0,38,0,38,0,38,3649,614,3632,614,17,45,3632,614,17,45,0,38,17,45
28,Near West Side,7390,732,3196,407,1930,284,1910,283,20,55,1078,215,482,168,462,166,20,55,370,144,370,144,0,52,1266,288,1256,287,10,53,1222,284,44,67,34,66,10,53,4194,541,1216,314,1180,312,36,55,895,297,121,81,85,71,36,55,200,108,200,108,0,52,2978,468,2940,467,38,64,2910,467,68,70,39,60,29,63
29,North Lawndale,11370,1051,3451,464,572,149,572,149,0,43,497,144,35,46,35,46,0,43,40,53,40,53,0,43,2879,447,2879,447,0,43,2811,442,68,86,68,86,0,43,7919,820,1293,340,1293,340,0,43,1088,312,99,114,99,114,0,43,106,96,106,96,0,43,6626,760,6595,758,31,55,6540,756,86,88,55,63,31,55
30,South Lawndale,18900,1249,7069,694,3427,542,3314,537,113,100,228,150,2604,445,2491,437,113,100,595,257,595,257,0,48,3642,521,3609,517,33,61,1564,338,2078,422,2045,419,33,61,11831,970,7366,792,6376,728,990,267,208,115,6108,716,5118,643,990,267,1050,368,1050,368,0,48,4465,668,3909,625,556,223,1639,383,2826,553,2270,499,556,223
31,Lower West Side,8950,812,3456,457,1537,327,1512,319,25,55,163,71,1069,285,1044,276,25,55,305,174,305,174,0,42,1919,340,1919,340,0,42,952,258,967,244,967,244,0,42,5494,619,3046,526,2575,472,471,181,275,154,2313,426,1862,360,451,179,458,269,438,264,20,51,2448,433,2142,395,306,140,845,235,1603,374,1311,332,292,138
32,Loop,1529,402,1169,336,962,316,944,315,18,38,658,284,180,100,162,100,18,38,124,99,124,99,0,30,207,140,180,133,27,53,132,119,75,78,48,64,27,53,360,181,310,172,310,172,0,30,266,165,29,51,29,51,0,30,15,35,15,35,0,30,50,63,50,63,0,30,50,63,0,30,0,30,0,30
33,Near South Side,2496,372,1538,310,1179,315,1136,299,43,62,591,252,301,191,258,158,43,62,287,189,287,189,0,24,359,176,359,176,0,24,337,175,22,29,22,29,0,24,958,230,552,173,499,174,53,58,361,187,129,98,84,80,45,57,62,69,54,69,8,24,406,165,368,154,38,63,338,141,68,83,30,54,38,63
34,Armour Square,2159,382,640,169,468,136,438,134,30,38,115,75,348,129,318,129,30,38,5,26,5,26,0,27,172,104,172,104,0,27,94,64,78,86,78,86,0,27,1519,311,904,218,550,173,354,150,159,89,693,217,339,147,354,150,52,76,52,76,0,27,615,236,507,210,108,111,321,161,294,173,186,136,108,111
35,Douglas,2821,352,1111,213,292,102,239,94,53,57,151,73,135,78,82,66,53,57,6,35,6,35,0,35,819,191,819,191,0,35,812,191,7,35,7,35,0,35,1710,288,334,138,311,134,23,46,279,134,55,55,32,46,23,46,0,35,0,35,0,35,1376,259,1376,259,0,35,1338,254,38,68,38,68,0,35
36,Oakland,1724,236,669,193,141,81,141,81,0,19,108,67,33,55,33,55,0,19,0,19,0,19,0,19,528,179,528,179,0,19,528,179,0,19,0,19,0,19,1055,268,362,191,358,191,4,17,260,173,45,64,41,62,4,17,57,68,57,68,0,19,693,222,693,222,0,19,666,221,27,35,27,35,0,19
37,Fuller Park,789,317,200,107,39,33,39,33,0,16,39,33,0,16,0,16,0,16,0,16,0,16,0,16,161,102,161,102,0,16,113,89,48,51,48,51,0,16,589,240,95,70,95,70,0,16,90,70,5,14,5,14,0,16,0,16,0,16,0,16,494,233,460,232,34,54,446,231,48,47,14,17,34,54
38,Grand Boulevard,5684,668,2041,345,686,236,676,234,10,44,583,205,70,119,70,119,0,43,33,55,33,55,0,43,1355,271,1355,271,0,43,1349,271,6,42,6,42,0,43,3643,528,629,197,600,194,29,55,570,196,21,52,21,52,0,43,38,58,19,47,19,54,3014,508,3004,507,10,45,2961,511,53,65,53,65,0,43
39,Kenwood,3448,498,1380,291,689,187,646,184,43,50,414,170,110,61,106,61,4,30,165,84,151,80,14,35,691,225,691,225,0,31,643,220,48,54,48,54,0,31,2068,376,594,166,590,165,4,30,469,162,89,58,85,58,4,30,36,39,36,39,0,31,1474,351,1474,351,0,31,1448,349,26,50,26,50,0,31
40,Washington Park,3420,469,1148,256,99,73,99,73,0,27,99,73,0,27,0,27,0,27,0,27,0,27,0,27,1049,251,1049,251,0,27,1049,251,0,27,0,27,0,27,2272,362,222,123,222,123,0,27,185,110,0,27,0,27,0,27,37,59,37,59,0,27,2050,346,2050,346,0,27,2050,346,0,27,0,27,0,27
41,Hyde Park,3419,444,1328,270,972,210,922,207,50,60,623,171,216,103,166,88,50,60,133,102,133,102,0,38,356,171,356,171,0,38,308,164,48,62,48,62,0,38,2091,352,1391,317,1274,298,117,82,559,179,375,190,275,155,100,81,457,215,447,212,10,39,700,192,691,191,9,37,633,183,67,66,58,65,9,37
42,Woodlawn,5525,711,1908,335,488,141,484,141,4,35,382,131,45,51,41,51,4,35,61,50,61,50,0,36,1420,312,1420,312,0,36,1398,312,22,52,22,52,0,36,3617,530,592,202,573,195,19,46,518,188,7,37,7,37,0,36,67,77,48,55,19,46,3025,495,3025,495,0,36,3025,495,0,36,0,36,0,36
43,South Shore,10098,1064,3371,540,520,217,520,217,0,44,443,206,59,77,59,77,0,44,18,49,18,49,0,44,2851,504,2851,504,0,44,2831,503,20,51,20,51,0,44,6727,823,1385,384,1385,384,0,44,1220,348,160,191,160,191,0,44,5,45,5,45,0,44,5342,740,5323,737,19,51,5028,707,314,275,295,263,19,51
44,Chatham,7637,914,2497,488,280,159,280,159,0,37,280,159,0,37,0,37,0,37,0,37,0,37,0,37,2217,467,2217,467,0,37,2217,467,0,37,0,37,0,37,5140,693,1233,380,1233,380,0,37,1201,377,0,37,0,37,0,37,32,44,32,44,0,37,3907,613,3907,613,0,37,3899,612,8,37,8,37,0,37
45,Avalon Park,1706,320,393,154,145,90,145,90,0,19,77,77,41,48,41,48,0,19,27,44,27,44,0,19,248,121,248,121,0,19,245,122,3,18,3,18,0,19,1313,253,450,153,450,153,0,19,408,145,21,37,21,37,0,19,21,29,21,29,0,19,863,200,863,200,0,19,854,200,9,26,9,26,0,19
46,South Chicago,7860,822,2468,461,659,239,646,238,13,41,226,147,216,105,203,103,13,41,217,169,217,169,0,37,1809,402,1809,402,0,37,1703,398,106,71,106,71,0,37,5392,584,2066,465,1918,451,148,88,1223,403,657,247,509,211,148,88,186,117,186,117,0,37,3326,468,3198,458,128,97,2894,442,432,195,304,157,128,97
47,Burnside,1037,412,206,97,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,206,97,206,97,0,11,206,97,0,11,0,11,0,11,831,345,41,70,41,70,0,11,41,70,0,11,0,11,0,11,0,11,0,11,0,11,790,364,790,364,0,11,766,364,24,38,24,38,0,11
48,Calumet Heights,2711,370,816,227,293,137,293,137,0,27,239,130,54,55,54,55,0,27,0,27,0,27,0,27,523,203,523,203,0,27,523,203,0,27,0,27,0,27,1895,305,825,240,737,232,88,85,601,232,215,125,127,86,88,85,9,29,9,29,0,27,1070,292,1070,292,0,27,1039,291,31,42,31,42,0,27
49,Roseland,10316,915,2874,428,751,273,751,273,0,41,714,270,17,46,17,46,0,41,20,46,20,46,0,41,2123,350,2123,350,0,41,2098,348,25,53,25,53,0,41,7442,728,2300,516,2300,516,0,41,2217,511,33,61,33,61,0,41,50,66,50,66,0,41,5142,648,5142,648,0,41,5085,645,57,68,57,68,0,41
50,Pullman,1500,339,582,175,129,91,129,91,0,19,94,79,14,24,14,24,0,19,21,42,21,42,0,19,453,168,453,168,0,19,453,168,0,19,0,19,0,19,918,248,221,130,221,130,0,19,214,129,1,18,1,18,0,19,6,19,6,19,0,19,697,225,697,225,0,19,669,224,28,44,28,44,0,19
51,South Deering,4153,646,890,246,391,170,367,154,24,46,85,103,184,121,160,100,24,46,122,85,122,85,0,25,499,179,499,179,0,25,428,167,71,74,71,74,0,25,3263,522,1158,320,1112,320,46,53,526,276,438,185,397,180,41,51,194,139,194,139,0,25,2105,442,2085,444,20,38,1962,439,143,82,123,87,20,38
