area_id,area_name,b19025i001,b19025i001_moe
1,Rogers Park,178307600,23656530
2,West Ridge,184965900,29425491
3,Uptown,114372300,23218310
4,Lincoln Square,124802400,24821162
5,North Center,111818200,23861557
6,Lake View,224275200,41194516
7,Lincoln Park,90982600,22386403
8,Near North Side,247182900,104331818
9,Edison Park,10485100,6148619
10,Norwood Park,100145900,23392998
11,Jefferson Park,97569600,19508650
12,Forest Glen,59257300,18187642
13,North Park,60606800,15095669
14,Albany Park,361185200,32520517
15,Portage Park,403855000,34806740
16,Irving Park,399624200,39934594
17,Dunning,184331500,24736040
18,Montclare,90671700,13874734
19,Belmont Cragin,753672700,39800425
20,Hermosa,289475400,23173334
21,Avondale,369316900,30724435
22,Logan Square,533572800,42457940
23,Humboldt Park,360164200,34821282
24,West Town,424366700,39652044
25,Austin,119406400,20581436
27,East Garfield Park,4334600,3245381
28,Near West Side,122788900,21704445
29,North Lawndale,20455000,5791667
30,South Lawndale,586537000,29998504
31,Lower West Side,384340500,26638596
32,Loop,37293300,24291056
33,Near South Side,64999900,29482648
34,Armour Square,7726600,4371431
35,Douglas,5335400,6529711
36,Oakland,10343900,7049120
37,Fuller Park,1583300,1774338
38,Grand Boulevard,13742200,6464127
39,Kenwood,18244000,12265069
41,Hyde Park,16235600,7102904
42,Woodlawn,3823500,2628890
44,Chatham,1287400,1113997
46,South Chicago,77263800,11726933
48,Calumet Heights,1677400,829354
50,Pullman,5585800,2740336
51,South Deering,65016700,12680621
52,East Side,256883400,24553499
53,West Pullman,11488400,4640812
55,Hegewisch,73292600,17043739
56,Garfield Ridge,256064200,27415931
57,Archer Heights,134127200,13231201
58,Brighton Park,413370500,30097399
59,McKinley Park,143992200,14464573
60,Bridgeport,156680200,28913106
61,New City,220081500,17277895
62,West Elsdon,183910700,15751822
63,Gage Park,368270500,25327595
64,Clearing,189008000,23870172
65,West Lawn,344488300,27926941
66,Chicago Lawn,245536600,24421648
68,Englewood,1660400,1744740
69,Greater Grand Crossing,2047000,2504188
70,Ashburn,173418000,17583078
71,Auburn Gresham,2175700,2510269
72,Beverly,36225500,12714765
74,Mount Greenwood,20802400,10391379
75,Morgan Park,8072400,5361962
76,O'Hare,38744400,16167187
77,Edgewater,171683700,30340168
