area_id,area_name,b19313d001,b19313d001_moe
1,Rogers Park,89224300,24281317
2,West Ridge,297684500,35598044
3,Uptown,195523800,30696340
4,Lincoln Square,119706500,23081940
5,North Center,62807100,15228098
6,Lake View,346883000,51876998
7,Lincoln Park,186796600,37782958
8,Near North Side,630993100,104003820
9,Edison Park,4945700,4309003
10,Norwood Park,63608000,25940579
11,Jefferson Park,67031600,20386213
12,Forest Glen,84609400,22133004
13,North Park,102266900,17793220
14,Albany Park,148671000,26282590
15,Portage Park,89458400,26308087
16,Irving Park,116892300,29816854
17,Dunning,57943700,17629120
18,Montclare,16167100,16905324
19,Belmont Cragin,31660000,10525284
20,Hermosa,1907200,1813840
21,Avondale,32218100,10993075
22,Logan Square,135668400,34344662
23,Humboldt Park,2567600,2214091
24,West Town,173314700,29118969
25,Austin,5587100,3993812
27,East Garfield Park,3077400,2760738
28,Near West Side,392677800,71963566
29,North Lawndale,1966000,3337084
30,South Lawndale,904800,1010437
31,Lower West Side,8451200,4719659
32,Loop,288178700,74968784
33,Near South Side,235746900,86448789
34,Armour Square,137904600,19826913
35,Douglas,39591400,12998888
36,Oakland,1860400,2188852
39,Kenwood,20675100,8621712
41,Hyde Park,69394700,13795401
42,Woodlawn,8314100,4383640
43,South Shore,145700,233556
46,South Chicago,278900,457093
49,Roseland,924600,965457
50,Pullman,312900,572430
52,East Side,1390300,2123726
56,Garfield Ridge,13133800,6692638
57,Archer Heights,2976500,2698180
58,Brighton Park,47192000,10333323
59,McKinley Park,43496200,10037495
60,Bridgeport,201060800,25216183
61,New City,12561300,4497844
62,West Elsdon,6388500,5025964
63,Gage Park,6485300,4381320
64,Clearing,5250700,5483673
65,West Lawn,4737300,4005308
66,Chicago Lawn,9712700,7390991
68,Englewood,594200,810403
69,Greater Grand Crossing,268700,457944
70,Ashburn,1429300,1578669
71,Auburn Gresham,2210000,3864222
74,Mount Greenwood,2065500,2807006
75,Morgan Park,1730300,2059253
76,O'Hare,27773700,11958570
77,Edgewater,179026400,27570600
