area_id,area_name,b08137001,b08137001_moe,b08137002,b08137002_moe,b08137003,b08137003_moe,b08137004,b08137004_moe,b08137005,b08137005_moe,b08137006,b08137006_moe,b08137007,b08137007_moe,b08137008,b08137008_moe,b08137009,b08137009_moe,b08137010,b08137010_moe,b08137011,b08137011_moe,b08137012,b08137012_moe,b08137013,b08137013_moe,b08137014,b08137014_moe,b08137015,b08137015_moe,b08137016,b08137016_moe,b08137017,b08137017_moe,b08137018,b08137018_moe,b08137019,b08137019_moe,b08137020,b08137020_moe,b08137021,b08137021_moe
53,West Pullman,9708,764,6678,706,3030,487,5473,571,4073,515,1400,306,1045,235,693,190,352,152,2543,424,1444,344,1099,255,259,152,104,68,155,141,21,41,21,41,0,39,367,170,343,166,24,45
54,Riverdale,1401,226,185,92,1216,215,590,183,88,48,502,181,107,70,28,43,79,64,494,174,69,73,425,160,131,82,0,16,131,82,6,14,0,16,6,14,73,73,0,16,73,73
55,Hegewisch,3811,441,2930,391,881,313,2644,327,2202,319,442,177,449,158,292,111,157,124,555,235,352,187,203,145,38,36,22,26,16,27,0,19,0,19,0,19,125,123,62,102,63,66
56,Garfield Ridge,15116,699,12984,705,2132,416,11050,616,9872,625,1178,306,1405,299,1037,255,368,168,2027,322,1546,285,481,169,426,173,360,161,66,76,63,57,45,51,18,49,145,73,124,65,21,51
57,Archer Heights,5330,402,3566,446,1764,322,3165,345,2289,334,876,208,854,183,497,155,357,130,846,205,544,163,302,130,328,126,167,80,161,92,32,42,0,27,32,42,105,86,69,76,36,47
58,Brighton Park,17217,925,8848,867,8369,788,10146,718,5391,594,4755,577,2776,448,1645,334,1131,321,3014,434,1242,252,1772,363,797,201,304,110,493,178,193,107,94,75,99,82,291,125,172,97,119,86
59,McKinley Park,7075,474,4142,479,2933,393,3377,381,2004,330,1373,271,1310,275,962,238,348,162,1944,327,866,248,1078,253,210,81,159,70,51,45,72,56,47,52,25,33,162,75,104,57,58,50
60,Bridgeport,15593,776,8177,647,7416,685,7727,540,4726,441,3001,384,2501,344,1662,285,839,218,3381,418,1277,259,2104,342,1104,266,193,82,911,257,526,192,200,114,326,155,354,126,119,71,235,110
61,New City,13893,803,6415,592,7478,712,7191,516,4109,437,3082,397,2237,378,949,232,1288,311,3202,436,967,218,2235,378,753,191,203,96,550,170,160,84,73,61,87,71,350,122,114,63,236,111
62,West Elsdon,7553,469,5775,459,1778,387,4882,421,3832,387,1050,271,1053,271,750,232,303,150,1366,258,1066,230,300,144,175,105,60,63,115,87,26,35,16,35,10,27,51,44,51,44,0,27
