area_id,area_name,c27009001,c27009001_moe,c27009002,c27009002_moe,c27009003,c27009003_moe,c27009004,c27009004_moe,c27009005,c27009005_moe,c27009006,c27009006_moe,c27009007,c27009007_moe,c27009008,c27009008_moe,c27009009,c27009009_moe,c27009010,c27009010_moe,c27009011,c27009011_moe,c27009012,c27009012_moe,c27009013,c27009013_moe,c27009014,c27009014_moe,c27009015,c27009015_moe,c27009016,c27009016_moe,c27009017,c27009017_moe,c27009018,c27009018_moe,c27009019,c27009019_moe,c27009020,c27009020_moe,c27009021,c27009021_moe
1,Rogers Park,56493,2171,28398,1311,5719,626,0,48,5719,626,21140,1015,205,92,20935,1015,1539,256,175,87,1364,240,28095,1411,5717,659,0,48,5717,659,20230,1112,32,57,20198,1110,2148,302,0,48,2148,302
2,West Ridge,72744,2584,35480,1555,9182,880,0,51,9182,880,22673,1085,274,138,22399,1095,3625,405,297,104,3328,402,37264,1544,9854,913,0,51,9854,913,22244,1025,79,80,22165,1026,5166,491,0,51,5166,491
3,Uptown,53670,1701,28324,1220,3701,526,0,48,3701,526,22795,1050,361,147,22434,1057,1828,307,229,101,1599,300,25346,1095,2860,488,0,48,2860,488,19220,847,63,76,19157,846,3266,432,18,50,3248,430
4,Lincoln Square,38116,1327,18919,850,3174,480,0,40,3174,480,14173,612,203,146,13970,612,1572,248,152,70,1420,238,19197,880,3144,470,0,40,3144,470,14286,625,8,41,14278,625,1767,265,0,40,1767,265
5,North Center,33402,1096,16644,751,3239,338,0,43,3239,338,12346,648,84,60,12262,647,1059,181,91,58,968,176,16758,773,3004,429,0,43,3004,429,12312,533,31,47,12281,534,1442,214,0,43,1442,214
6,Lake View,96425,1729,47189,1391,4629,526,0,66,4629,526,39709,1257,395,159,39314,1249,2851,291,212,98,2639,284,49236,1438,5172,480,0,66,5172,480,40387,1270,47,73,40340,1269,3677,343,39,73,3638,341
7,Lincoln Park,64028,1704,31324,1161,4602,472,0,51,4602,472,24341,999,192,118,24149,999,2381,272,142,97,2239,262,32704,1205,4269,534,16,56,4253,535,26297,982,31,57,26266,984,2138,263,17,56,2121,261
8,Near North Side,80315,1814,36801,1353,2932,434,0,54,2932,434,28513,1180,170,111,28343,1189,5356,447,420,149,4936,438,43514,1395,2960,512,0,54,2960,512,33677,1200,9,55,33668,1200,6877,497,11,55,6866,498
9,Edison Park,11135,498,5169,358,1053,188,0,25,1053,188,3483,287,98,71,3385,262,633,110,33,34,600,106,5966,353,1213,206,0,25,1213,206,3719,287,18,35,3701,282,1034,121,0,25,1034,121
10,Norwood Park,36933,1214,17999,779,3978,489,0,39,3978,489,11341,578,117,73,11224,581,2680,245,274,96,2406,249,18934,822,3458,478,0,39,3458,478,11216,555,0,39,11216,555,4260,293,0,39,4260,293
11,Jefferson Park,26760,1243,13423,782,3163,481,0,29,3163,481,8723,556,145,77,8578,558,1537,246,256,108,1281,228,13337,715,2639,380,0,29,2639,380,8529,542,23,44,8506,537,2169,272,46,49,2123,275
12,Forest Glen,18542,646,9116,458,2192,265,0,29,2192,265,5574,343,39,39,5535,343,1350,140,109,60,1241,138,9426,455,2245,260,0,29,2245,260,5458,281,0,29,5458,281,1723,174,0,29,1723,174
13,North Park,18562,1003,9003,632,2138,351,0,27,2138,351,5736,479,145,123,5591,458,1129,205,114,56,1015,205,9559,628,2113,365,0,27,2113,365,5631,454,0,27,5631,454,1815,236,18,36,1797,234
14,Albany Park,53540,2062,28116,1362,6936,726,0,45,6936,726,19685,1080,122,101,19563,1078,1495,245,45,51,1450,241,25424,1268,6417,703,0,45,6417,703,16785,842,0,45,16785,842,2222,288,15,49,2207,290
15,Portage Park,63461,1849,30498,1107,7573,756,0,47,7573,756,20321,800,250,109,20071,803,2604,315,240,92,2364,310,32963,1270,7061,694,0,47,7061,694,21535,878,63,72,21472,880,4367,374,12,50,4355,373
16,Irving Park,56160,1945,28260,1260,6169,575,0,47,6169,575,19887,989,297,120,19590,992,2204,299,121,73,2083,294,27900,1219,6838,724,0,47,6838,724,18625,787,14,49,18611,783,2437,294,29,55,2408,294
17,Dunning,41997,1248,20862,842,4341,479,0,40,4341,479,14069,638,88,62,13981,636,2452,254,260,88,2192,258,21135,797,3450,393,0,40,3450,393,13779,613,0,40,13779,613,3906,263,0,40,3906,263
18,Montclare,12279,836,5948,502,1553,308,0,23,1553,308,3694,382,22,31,3672,382,701,161,112,68,589,148,6331,508,1463,307,0,23,1463,307,3884,331,34,43,3850,330,984,189,0,23,984,189
19,Belmont Cragin,77642,2549,38310,1533,10985,870,0,52,10985,870,24933,1161,148,87,24785,1160,2392,287,119,76,2273,283,39332,1500,12235,907,0,52,12235,907,23763,930,41,71,23722,929,3334,349,0,52,3334,349
20,Hermosa,25068,1269,12326,816,3635,455,0,29,3635,455,7889,612,36,56,7853,610,802,195,59,53,743,184,12742,843,3634,493,0,29,3634,493,8045,541,0,29,8045,541,1063,218,0,29,1063,218
21,Avondale,41526,1885,21521,1188,5047,593,0,38,5047,593,15307,948,68,49,15239,948,1167,225,33,43,1134,224,20005,1189,4597,633,0,38,4597,633,13359,768,10,40,13349,769,2049,300,0,38,2049,300
22,Logan Square,73495,1997,37525,1308,7374,710,10,58,7364,710,28161,1046,325,131,27836,1052,1990,282,110,82,1880,277,35970,1276,7177,633,0,57,7177,633,26205,949,53,68,26152,949,2588,308,0,57,2588,308
23,Humboldt Park,54341,2208,26310,1347,8800,913,3,50,8797,913,15577,926,213,100,15364,922,1933,269,185,91,1748,266,28031,1336,7585,816,0,51,7585,816,18132,869,14,54,18118,870,2314,274,0,51,2314,274
24,West Town,83695,2001,42621,1379,6876,659,0,62,6876,659,33740,1156,256,112,33484,1152,2005,284,114,76,1891,277,41074,1286,6186,639,0,62,6186,639,31942,1005,13,62,31929,1005,2946,311,0,62,2946,311
25,Austin,97389,2742,45114,1622,13843,1029,25,65,13818,1028,27468,1175,627,180,26841,1166,3803,350,539,140,3264,335,52275,1768,12573,948,20,68,12553,947,33084,1147,28,67,33056,1146,6618,463,7,61,6611,462
26,West Garfield Park,19358,1315,9268,767,3486,479,0,35,3486,479,5107,518,108,69,4999,517,675,137,18,34,657,136,10090,763,3277,418,0,35,3277,418,5815,469,46,64,5769,456,998,159,0,35,998,159
27,East Garfield Park,21012,1341,8997,802,3651,459,0,38,3651,459,4618,517,79,56,4539,519,728,167,61,49,667,157,12015,810,3792,503,0,38,3792,503,7183,461,15,47,7168,461,1040,150,11,40,1029,150
28,Near West Side,53295,1645,26522,1135,4195,503,0,52,4195,503,20664,978,438,143,20226,963,1663,243,129,71,1534,233,26773,1043,3806,465,0,52,3806,465,21125,853,40,55,21085,854,1842,216,28,67,1814,216
29,North Lawndale,35623,1845,15583,1059,6041,644,0,43,6041,644,8489,736,219,123,8270,725,1053,194,192,76,861,177,20040,1185,6305,672,0,43,6305,672,11790,710,63,73,11727,702,1945,246,19,50,1926,245
30,South Lawndale,62390,2266,32064,1408,9457,787,0,48,9457,787,20886,1041,56,57,20830,1042,1721,258,49,56,1672,257,30326,1344,10251,865,0,48,10251,865,18099,814,41,67,18058,810,1976,276,0,48,1976,276
31,Lower West Side,36577,1700,19564,1120,4564,526,0,42,4564,526,13781,889,44,44,13737,888,1219,227,56,60,1163,220,17013,973,4655,554,0,42,4655,554,10885,628,4,41,10881,629,1473,218,0,42,1473,218
32,Loop,25786,1427,12552,1076,676,262,0,30,676,262,10940,1011,67,91,10873,1012,936,171,219,95,717,174,13234,906,853,322,0,30,853,322,11291,845,34,38,11257,844,1090,197,0,30,1090,197
33,Near South Side,20076,1151,9413,905,1319,341,0,24,1319,341,7475,706,101,93,7374,704,619,226,98,58,521,225,10663,689,1240,275,0,24,1240,275,8309,536,51,62,8258,535,1114,247,0,24,1114,247
34,Armour Square,13710,850,6594,505,1219,252,0,27,1219,252,4194,422,92,88,4102,428,1181,216,43,38,1138,214,7116,563,1140,299,0,27,1140,299,4266,421,0,27,4266,421,1710,226,0,27,1710,226
35,Douglas,18357,845,8244,572,1577,269,0,35,1577,269,5793,480,211,96,5582,478,874,153,185,85,689,142,10113,575,1474,248,0,35,1474,248,7111,458,63,53,7048,459,1528,192,39,58,1489,187
36,Oakland,6260,469,2380,315,866,182,0,19,866,182,1262,234,75,51,1187,233,252,88,80,55,172,69,3880,335,989,207,0,19,989,207,2466,239,0,19,2466,239,425,105,0,19,425,105
37,Fuller Park,2924,543,1445,292,485,169,0,16,485,169,717,212,78,92,639,205,243,67,47,37,196,67,1479,349,356,180,0,16,356,180,895,211,0,16,895,211,228,70,9,19,219,67
38,Grand Boulevard,22964,1171,10050,680,3158,447,0,43,3158,447,5727,483,322,108,5405,478,1165,188,192,88,973,176,12914,767,3073,446,0,43,3073,446,8171,486,59,56,8112,484,1670,194,10,44,1660,193
39,Kenwood,17937,907,8082,589,1982,359,0,31,1982,359,5054,453,147,126,4907,439,1046,181,158,91,888,162,9855,635,1712,281,0,31,1712,281,6597,487,35,40,6562,484,1546,224,0,31,1546,224
40,Washington Park,11141,835,4908,483,1991,301,0,27,1991,301,2397,349,107,64,2290,349,520,138,91,54,429,123,6233,520,1768,295,0,27,1768,295,3983,359,2,25,3981,359,482,121,15,29,467,119
41,Hyde Park,26427,1183,12695,858,1949,334,0,38,1949,334,9356,743,144,88,9212,742,1390,210,156,93,1234,188,13732,692,1597,278,0,38,1597,278,10220,607,37,57,10183,603,1915,219,26,55,1889,215
42,Woodlawn,24291,1269,10858,762,2985,468,0,36,2985,468,6744,571,290,122,6454,548,1129,198,261,88,868,177,13433,784,3002,413,0,36,3002,413,8802,521,25,36,8777,522,1629,221,29,46,1600,217
43,South Shore,46965,2020,20672,1127,5760,717,0,44,5760,717,12839,834,568,172,12271,818,2073,284,325,112,1748,270,26293,1431,5402,695,0,44,5402,695,17398,985,109,83,17289,986,3493,342,17,45,3476,342
44,Chatham,33244,1627,14040,947,4169,610,0,37,4169,610,8234,688,428,145,7806,681,1637,258,480,180,1157,215,19204,1145,4110,559,0,37,4110,559,11618,781,65,62,11553,782,3476,307,16,38,3460,307
45,Avalon Park,9617,760,4380,490,932,239,0,19,932,239,2794,397,139,90,2655,414,654,130,155,68,499,114,5237,460,984,243,0,19,984,243,3040,290,0,19,3040,290,1213,164,13,24,1200,165
46,South Chicago,29402,1591,13414,946,4225,531,0,37,4225,531,7723,669,230,108,7493,672,1466,220,172,81,1294,211,15988,991,4055,509,0,37,4055,509,9581,661,45,57,9536,663,2352,245,46,47,2306,245
47,Burnside,3508,686,1618,405,619,291,0,11,619,291,859,239,26,31,833,239,140,49,39,30,101,49,1890,384,429,195,0,11,429,195,1151,227,0,11,1151,227,310,71,0,11,310,71
48,Calumet Heights,14382,814,6292,539,1455,265,0,27,1455,265,3644,358,233,111,3411,331,1193,179,202,118,991,157,8090,561,1557,312,0,27,1557,312,4406,342,0,27,4406,342,2127,220,20,30,2107,222
49,Roseland,45004,1655,20619,1031,5455,641,0,41,5455,641,12255,731,449,148,11806,732,2909,251,429,110,2480,247,24385,1012,5496,550,35,70,5461,549,14277,712,152,104,14125,716,4612,318,32,47,4580,318
50,Pullman,7262,584,2915,341,832,205,0,19,832,205,1786,246,65,53,1721,252,297,84,55,41,242,74,4347,410,869,242,0,19,869,242,2676,236,0,19,2676,236,802,119,0,19,802,119
