area_id,area_name,b19301d001,b19301d001_moe
1,Rogers Park,307572,62172
2,West Ridge,274461,26391
3,Uptown,449765,56584
4,Lincoln Square,384266,57464
5,North Center,627843,122818
6,Lake View,2032750,401654
7,Lincoln Park,1068672,175050
8,Near North Side,1440942,206421
9,Edison Park,50369,31737
10,Norwood Park,232909,53587
11,Jefferson Park,164003,28131
12,Forest Glen,139380,35974
13,North Park,79751,11179
14,Albany Park,250182,32819
15,Portage Park,386027,52463
16,Irving Park,392080,56960
17,Dunning,388441,100549
18,Montclare,62987,53507
19,Belmont Cragin,269684,42785
20,Hermosa,31266,23889
21,Avondale,168573,47717
22,Logan Square,1052282,148749
23,Humboldt Park,64118,20630
24,West Town,1513175,143311
25,Austin,71975,29339
27,East Garfield Park,113978,41263
28,Near West Side,777399,112289
29,North Lawndale,58551,45336
30,South Lawndale,41295,7498
31,Lower West Side,181653,68950
32,Loop,269520,57012
33,Near South Side,155842,34290
34,Armour Square,51210,6822
35,Douglas,315657,84112
36,Oakland,32639,5526
39,Kenwood,88905,42709
41,Hyde Park,307964,50645
42,Woodlawn,146213,64832
43,South Shore,3167,5874
46,South Chicago,11156,645
49,Roseland,35953,12886
50,Pullman,12035,2549
52,East Side,20751,2081
56,Garfield Ridge,113253,37698
57,Archer Heights,41336,15381
58,Brighton Park,147636,21487
59,McKinley Park,82626,16233
60,Bridgeport,196765,22637
61,New City,69536,12901
62,West Elsdon,80821,19453
63,Gage Park,96726,16472
64,Clearing,125820,21007
65,West Lawn,85611,30314
66,Chicago Lawn,105197,193184
68,Englewood,49517,9251
69,Greater Grand Crossing,12795,4034
70,Ashburn,38942,18374
71,Auburn Gresham,32500,3461
74,Mount Greenwood,18388,2543
75,Morgan Park,76445,19240
76,O'Hare,48128,12242
77,Edgewater,449177,46777
