area_id,area_name,b08303001,b08303001_moe,b08303002,b08303002_moe,b08303003,b08303003_moe,b08303004,b08303004_moe,b08303005,b08303005_moe,b08303006,b08303006_moe,b08303007,b08303007_moe,b08303008,b08303008_moe,b08303009,b08303009_moe,b08303010,b08303010_moe,b08303011,b08303011_moe,b08303012,b08303012_moe,b08303013,b08303013_moe
60,Bridgeport,15244,773,241,99,1184,277,1948,304,1701,271,2273,328,765,180,3160,408,369,148,846,184,1209,240,1266,269,282,112
61,New City,13569,800,81,64,733,188,1297,240,1714,279,1606,265,486,168,2409,316,192,100,652,187,2162,344,1629,292,608,173
62,West Elsdon,7505,473,9,23,326,111,721,184,699,181,944,205,304,129,1392,252,341,131,586,182,1046,228,899,259,238,109
63,Gage Park,14501,935,110,92,303,131,1049,254,1194,283,1646,296,653,198,3491,503,463,156,961,215,2165,361,1878,384,588,241
64,Clearing,10799,686,151,133,291,108,595,171,1024,227,1581,368,1025,283,2060,353,443,147,627,180,1366,272,1283,285,353,112
65,West Lawn,13053,754,141,91,233,139,692,193,735,194,1768,324,621,185,3104,398,375,139,1615,421,1927,353,1538,311,304,111
66,Chicago Lawn,17688,954,68,63,370,158,918,234,969,263,2069,347,821,205,4149,490,815,231,1779,305,2615,393,2343,377,772,230
67,West Englewood,8341,586,50,55,201,100,252,105,774,179,626,159,413,135,1584,255,354,115,514,150,1226,219,1663,303,684,172
68,Englewood,6898,572,29,47,166,85,457,153,470,154,967,208,387,130,1411,276,245,118,449,151,1021,223,871,195,425,129
69,Greater Grand Crossing,10206,679,79,56,374,197,713,182,832,180,969,232,217,96,1692,306,654,226,525,157,1665,281,1430,269,1056,237
70,Ashburn,17890,869,103,64,498,136,1151,265,1456,263,1812,299,797,246,3822,485,880,234,1590,358,3103,469,2112,369,566,162
71,Auburn Gresham,14652,901,137,81,289,123,644,188,1049,243,1477,289,702,204,2541,388,695,204,935,232,2313,333,2419,365,1451,310
72,Beverly,9285,454,110,53,559,151,1007,183,559,136,1041,204,577,155,1685,223,303,101,701,171,1335,213,1110,210,298,100
73,Washington Heights,8765,584,114,91,231,104,436,164,590,165,1179,248,486,171,1441,232,483,169,414,141,1282,259,1382,295,727,195
74,Mount Greenwood,8787,492,195,99,665,169,670,167,859,230,1311,232,501,143,1569,311,240,96,604,163,1203,255,791,204,179,96
75,Morgan Park,8740,614,52,44,490,157,776,203,405,131,1248,351,562,182,1595,299,481,149,538,187,1228,221,1076,210,289,91
76,O'Hare,6937,578,0,38,433,181,578,209,1069,361,840,229,437,174,1293,290,385,166,340,201,1059,305,487,162,16,51
77,Edgewater,28925,1123,389,170,917,277,1766,322,2607,398,3359,490,1113,247,4678,557,807,246,2220,415,6673,618,3600,484,796,216
