area_id,area_name,b19066001,b19066001_moe
1,Rogers Park,9275800,2260736
2,West Ridge,11488500,2264972
3,Uptown,13542700,2482755
4,Lincoln Square,3411200,1540030
5,North Center,1853500,751614
6,Lake View,6780300,1799637
7,Lincoln Park,4731400,1278986
8,Near North Side,10985400,2559253
9,Edison Park,977200,729529
10,Norwood Park,4383200,1751571
11,Jefferson Park,3649100,1363783
12,Forest Glen,472500,402486
13,North Park,2592000,1031500
14,Albany Park,6770400,1851468
15,Portage Park,7067000,1860977
16,Irving Park,6123800,1591958
17,Dunning,4435000,1339839
18,Montclare,2273900,924426
19,Belmont Cragin,15490200,3299851
20,Hermosa,6322400,1897402
21,Avondale,2855500,994206
22,Logan Square,9215900,2179185
23,Humboldt Park,26407100,3944087
24,West Town,9746700,2277652
25,Austin,33372400,4000744
26,West Garfield Park,10517000,1934335
27,East Garfield Park,11385500,2192527
28,Near West Side,11297100,1941425
29,North Lawndale,15708400,2428698
30,South Lawndale,6002900,1556280
31,Lower West Side,2266100,786809
32,Loop,1499000,1561164
33,Near South Side,3046900,1545663
34,Armour Square,3785200,1051412
35,Douglas,5515100,1421643
36,Oakland,3546900,1502855
37,Fuller Park,2020100,645441
38,Grand Boulevard,9398700,1851732
39,Kenwood,6899300,2047769
40,Washington Park,6097500,1384860
41,Hyde Park,2002400,757613
42,Woodlawn,10745800,1944372
43,South Shore,18531100,3068200
44,Chatham,10207100,2172651
45,Avalon Park,1656500,833456
46,South Chicago,10090100,2414053
47,Burnside,605600,446166
48,Calumet Heights,3954800,1275862
49,Roseland,16458100,2773255
50,Pullman,2248500,760700
51,South Deering,3514800,1230604
52,East Side,2455400,866520
53,West Pullman,7277900,1878500
54,Riverdale,2290800,1005784
55,Hegewisch,665100,480453
56,Garfield Ridge,3088200,1031282
57,Archer Heights,1299800,538001
58,Brighton Park,2291300,983905
59,McKinley Park,3054000,1278226
60,Bridgeport,3832700,1157286
61,New City,8052200,1889138
62,West Elsdon,1379300,569049
63,Gage Park,3785300,1195041
64,Clearing,1261800,707655
65,West Lawn,3210500,1368818
66,Chicago Lawn,13373800,2420639
67,West Englewood,13204600,2308263
68,Englewood,13846500,2388845
69,Greater Grand Crossing,9993200,1936134
70,Ashburn,5942800,2511761
71,Auburn Gresham,16030100,2718291
72,Beverly,867200,463854
73,Washington Heights,7141300,1750954
74,Mount Greenwood,1735400,1194737
75,Morgan Park,4080200,1692052
76,O'Hare,1509600,1095389
77,Edgewater,14023900,3883910
