area_id,area_name,b06001001,b06001001_moe,b06001002,b06001002_moe,b06001003,b06001003_moe,b06001004,b06001004_moe,b06001005,b06001005_moe,b06001006,b06001006_moe,b06001007,b06001007_moe,b06001008,b06001008_moe,b06001009,b06001009_moe,b06001010,b06001010_moe,b06001011,b06001011_moe,b06001012,b06001012_moe,b06001013,b06001013_moe,b06001014,b06001014_moe,b06001015,b06001015_moe,b06001016,b06001016_moe,b06001017,b06001017_moe,b06001018,b06001018_moe,b06001019,b06001019_moe,b06001020,b06001020_moe,b06001021,b06001021_moe,b06001022,b06001022_moe,b06001023,b06001023_moe,b06001024,b06001024_moe,b06001025,b06001025_moe,b06001026,b06001026_moe,b06001027,b06001027_moe,b06001028,b06001028_moe,b06001029,b06001029_moe,b06001030,b06001030_moe,b06001031,b06001031_moe,b06001032,b06001032_moe,b06001033,b06001033_moe,b06001034,b06001034_moe,b06001035,b06001035_moe,b06001036,b06001036_moe,b06001037,b06001037_moe,b06001038,b06001038_moe,b06001039,b06001039_moe,b06001040,b06001040_moe,b06001041,b06001041_moe,b06001042,b06001042_moe,b06001043,b06001043_moe,b06001044,b06001044_moe,b06001045,b06001045_moe,b06001046,b06001046_moe,b06001047,b06001047_moe,b06001048,b06001048_moe,b06001049,b06001049_moe,b06001050,b06001050_moe,b06001051,b06001051_moe,b06001052,b06001052_moe,b06001053,b06001053_moe,b06001054,b06001054_moe,b06001055,b06001055_moe,b06001056,b06001056_moe,b06001057,b06001057_moe,b06001058,b06001058_moe,b06001059,b06001059_moe,b06001060,b06001060_moe
1,Rogers Park,57559,2198,4267,533,7258,791,8413,993,11870,950,8511,741,7756,700,3003,399,786,191,1367,277,2430,325,1898,321,26594,1547,3858,514,5518,717,3746,593,4106,541,2577,366,3113,486,1406,271,302,125,534,164,862,202,572,165,13557,916,192,96,412,185,2716,534,3559,474,2220,368,1946,336,690,194,255,108,380,143,488,142,699,203,711,205,17,53,75,80,129,94,84,76,199,112,31,53,95,94,34,71,32,53,15,52,0,48,16697,1574,200,152,1253,410,1822,449,4121,669,3515,567,2666,463,812,239,195,97,421,178,1065,257,627,194
2,West Ridge,73705,2596,5897,743,13155,1077,6645,878,10377,965,9897,723,9833,797,4755,521,1839,345,2004,331,5139,642,4164,458,31406,1685,5214,694,9351,907,2930,430,3487,579,2410,411,2822,404,1009,238,441,202,718,199,1544,301,1480,258,7599,769,224,125,1083,354,342,138,723,205,1445,290,1263,220,978,240,243,105,273,105,503,141,522,166,1413,520,48,73,404,275,177,268,209,157,183,129,104,80,75,91,7,51,32,59,68,76,106,98,33287,2132,411,213,2317,556,3196,699,5958,808,5859,654,5644,677,2693,401,1148,264,981,252,3024,562,2056,366
3,Uptown,54995,1710,2687,453,3874,650,4529,605,14450,973,9789,776,8219,706,3342,452,937,238,1500,318,2930,405,2738,380,23168,1318,2539,448,3196,600,1835,339,4759,576,3661,463,3168,475,1408,296,476,182,547,165,791,185,788,210,17057,993,70,78,160,107,1530,373,6484,639,3246,408,2372,376,916,225,230,111,569,230,832,225,648,189,1010,272,29,52,52,64,64,59,225,124,155,96,157,101,19,50,40,58,115,127,69,81,85,121,13760,1183,49,61,466,203,1100,316,2982,520,2727,519,2522,455,999,263,191,108,269,117,1238,299,1217,249
4,Lincoln Square,38622,1335,2845,389,3486,522,2285,399,10750,714,6870,583,4633,490,2421,338,795,195,1011,222,2233,344,1293,251,17887,1079,2674,366,2595,436,1268,298,4397,529,2542,360,1795,310,843,206,209,97,330,111,658,153,576,155,9648,614,107,85,289,132,384,125,4183,457,2202,320,1104,203,562,160,102,65,234,126,322,109,159,75,702,200,0,40,53,60,26,45,197,111,93,68,77,54,47,67,0,40,61,64,79,80,69,68,10385,1016,64,88,549,261,607,222,1973,397,2033,393,1657,358,969,233,484,165,386,147,1174,334,489,175
5,North Center,33418,1097,3096,360,3147,429,2212,463,9693,652,6423,486,3746,379,1538,242,603,165,459,114,1586,253,915,196,18991,971,2949,358,2784,420,1181,262,5050,515,2698,342,2099,269,697,169,304,120,220,84,649,160,360,102,10013,651,122,70,266,134,843,302,3998,415,2758,328,951,189,351,125,131,92,106,57,219,87,268,132,599,163,0,43,13,46,35,58,37,47,100,60,139,95,105,68,52,56,15,47,59,66,44,49,3815,501,25,51,84,78,153,162,608,166,867,199,557,218,385,130,116,74,118,68,659,189,243,112
6,Lake View,96539,1732,4904,481,4897,511,14068,1107,36969,1380,14557,803,8675,614,3161,364,958,222,1775,292,3490,390,3085,341,40614,1458,4536,465,4115,474,5668,668,12796,867,4763,478,3734,399,1110,204,517,184,814,198,1325,243,1236,241,42780,1441,302,129,340,132,7149,779,20243,1130,7247,569,3349,374,1361,246,238,99,682,203,987,220,882,204,1575,309,21,69,65,85,313,143,427,165,320,156,153,90,27,68,36,68,37,71,80,81,96,93,11570,874,45,73,377,158,938,289,3503,491,2227,364,1439,282,663,191,167,107,242,125,1098,247,871,206
7,Lincoln Park,64631,1722,3245,385,5641,757,11525,1028,18697,984,9215,679,5964,494,2703,336,1086,210,1569,246,3019,338,1967,303,29418,1304,3007,376,4274,691,4635,632,6907,629,3154,401,2534,376,1237,228,445,137,662,147,1621,252,942,184,27711,1198,133,74,822,250,5803,682,10240,760,4265,539,2684,316,1132,218,402,125,642,172,861,182,727,187,900,193,0,51,130,94,163,85,143,71,108,77,67,64,21,53,0,51,99,74,124,94,45,58,6602,660,105,66,415,191,924,250,1407,278,1688,298,679,181,313,113,239,105,166,79,413,138,253,102
8,Near North Side,80516,1818,2417,452,3475,607,7750,798,25412,1327,9391,760,9587,763,4662,486,2239,409,3252,506,7517,620,4814,474,34331,1566,2093,379,2971,594,3023,487,8485,805,3197,443,3954,505,1881,318,1088,295,1445,321,3670,460,2524,372,30893,1399,172,98,232,123,3695,582,11107,983,3863,477,3831,509,1911,317,955,249,1104,249,2596,365,1427,262,1136,360,84,133,51,74,296,176,359,202,40,62,97,112,73,99,4,54,0,54,87,115,45,69,14156,1176,68,85,221,131,736,290,5461,764,2291,426,1705,341,797,217,192,107,703,275,1164,248,818,234
9,Edison Park,11135,498,359,103,1907,237,627,180,1440,246,1704,257,2139,234,720,162,315,132,257,109,728,151,939,153,8514,568,359,103,1739,241,599,180,940,217,1178,204,1897,238,441,123,200,97,186,96,416,107,559,133,1016,260,0,25,36,39,10,21,222,106,302,212,145,80,34,37,79,74,25,36,74,52,89,45,155,84,0,25,46,53,0,25,0,25,18,26,13,30,18,36,0,25,11,26,29,47,20,29,1450,344,0,25,86,120,18,33,278,196,206,118,84,75,227,114,36,37,35,46,209,95,271,111
10,Norwood Park,37429,1230,2312,431,5124,536,2534,378,4124,626,5311,495,5360,465,3208,385,998,192,1108,208,3079,329,4271,413,26139,1094,2267,431,4574,460,1930,320,2575,486,3480,407,3556,385,1781,300,736,170,626,150,1945,281,2669,352,2545,398,45,60,206,219,140,108,313,141,335,152,307,112,313,111,44,49,114,70,239,94,489,126,435,158,0,39,51,78,13,42,19,43,45,60,114,92,37,49,14,42,13,42,85,70,44,47,8310,823,0,39,293,174,451,180,1217,350,1451,305,1383,310,1077,267,204,105,355,124,810,185,1069,226
11,Jefferson Park,26771,1244,1749,326,4056,507,2139,357,3858,514,3841,435,4131,471,1777,319,727,193,787,206,1726,279,1980,315,16526,1111,1569,309,3445,455,1445,285,2118,414,1725,313,2254,357,901,247,370,122,494,176,956,210,1249,226,2051,444,21,30,240,214,141,102,307,126,372,123,398,129,117,67,10,32,84,63,155,76,206,147,569,241,122,130,114,99,37,49,36,63,62,51,61,58,91,68,0,29,0,29,11,32,35,37,7625,901,37,51,257,169,516,237,1397,336,1682,317,1418,352,668,192,347,155,209,98,604,147,490,162
12,Forest Glen,18542,646,1193,220,3244,317,1338,277,1721,280,2495,238,2962,323,1158,197,551,139,807,152,1470,224,1603,234,13231,717,1153,217,3133,311,1205,276,1143,249,1460,217,1735,288,599,135,311,97,417,116,999,177,1076,202,1758,279,17,37,49,65,93,65,140,85,404,134,385,118,221,96,44,44,137,69,55,42,213,103,164,91,0,29,0,29,0,29,82,72,44,47,0,29,10,32,8,30,20,32,0,29,0,29,3389,412,23,44,62,56,40,39,356,142,587,166,842,232,328,120,188,83,233,79,416,161,314,124
13,North Park,18739,1008,1129,246,3122,508,1814,329,2664,461,2565,399,2550,329,838,167,430,134,566,152,1543,289,1518,274,8960,766,995,243,2483,430,1156,280,942,237,742,231,1108,234,256,92,110,68,169,77,421,204,578,163,2261,347,83,59,160,94,196,111,334,153,319,140,366,116,252,102,61,57,63,45,236,93,191,88,246,104,0,27,30,42,65,64,33,43,14,34,7,28,27,40,25,33,0,27,40,53,5,24,7272,827,51,51,449,213,397,132,1355,394,1490,314,1069,237,303,98,234,97,334,130,846,230,744,214
14,Albany Park,53897,2062,4531,594,8827,837,5791,640,11342,942,8526,733,6609,598,2762,404,531,166,1077,228,1932,333,1969,365,21966,1334,4249,580,6749,690,2301,399,3158,445,1860,358,1649,273,686,165,177,96,221,97,456,167,460,150,5750,543,129,106,190,110,828,267,1738,314,1026,219,675,179,259,119,86,83,180,100,306,139,333,134,1333,432,42,54,138,113,181,133,143,111,181,110,313,166,134,103,6,46,21,50,107,119,67,78,24848,1669,111,96,1750,429,2481,477,6303,848,5459,668,3972,528,1683,334,262,106,655,184,1063,218,1109,276
15,Portage Park,63619,1847,3821,551,10813,926,5366,621,9835,811,10030,760,8952,664,3850,424,1830,293,2104,355,3688,400,3330,375,36275,1647,3603,549,9463,845,3755,537,4857,590,4370,503,4035,463,1362,240,647,162,707,165,1592,269,1884,288,4917,582,88,81,558,228,403,190,780,211,941,246,810,224,392,127,177,90,72,61,414,146,282,97,1930,450,88,82,119,97,35,64,268,166,308,151,473,235,107,75,101,102,30,52,332,167,69,77,20497,1337,42,62,673,228,1173,344,3930,567,4411,593,3634,500,1989,332,905,219,1295,312,1350,258,1095,229
16,Irving Park,56513,1956,4586,518,8484,793,4571,606,11810,876,9342,721,7345,612,3042,392,1106,232,1416,280,2684,350,2127,301,30197,1505,4283,497,7386,743,2452,383,5091,549,3749,450,3258,429,1261,232,499,142,470,146,910,192,838,178,6964,607,200,142,336,168,446,157,1882,304,1757,291,956,189,397,140,107,74,263,150,337,116,283,115,1342,285,35,58,39,62,82,82,132,94,127,85,270,129,197,100,111,103,89,58,162,87,98,100,18010,1360,68,71,723,218,1591,429,4705,707,3709,557,2861,420,1187,265,389,152,594,184,1275,260,908,223
17,Dunning,42115,1249,2140,341,5655,522,3805,531,6305,658,5706,485,6460,555,3155,354,925,226,1600,256,3089,341,3275,285,23516,1150,2037,337,4858,514,2488,356,3199,516,2561,348,2755,343,1370,218,352,107,652,152,1475,215,1769,225,2466,352,74,57,278,128,154,87,316,126,279,124,464,146,242,96,42,45,80,62,221,87,316,101,1136,285,26,41,120,111,51,54,237,133,121,77,120,88,71,52,66,55,81,75,177,91,66,72,14997,1051,3,39,399,127,1112,412,2553,401,2745,386,3121,455,1472,285,465,192,787,196,1216,247,1124,215
18,Montclare,12401,838,928,250,2088,383,1033,215,2037,370,1497,290,1575,285,878,205,220,98,379,164,540,138,1226,269,6604,629,884,245,1698,299,604,165,1061,305,476,143,458,145,323,122,97,62,142,91,203,82,658,209,988,300,44,50,182,158,41,51,156,89,77,55,68,44,61,63,17,26,24,31,84,52,234,105,432,161,0,23,18,22,57,65,34,39,70,62,16,25,53,57,35,38,21,36,49,38,79,79,4377,579,0,23,190,137,331,116,786,258,874,233,1033,237,441,160,71,66,192,128,204,92,255,113
19,Belmont Cragin,77885,2548,6469,675,16751,1195,8583,829,12200,903,11108,867,10259,754,3796,436,1247,229,1663,284,3484,392,2325,304,39318,1910,6172,651,14778,1140,5800,697,5320,629,2374,397,1758,333,921,209,181,92,256,113,942,214,816,174,4056,581,194,152,377,162,360,188,513,162,666,227,657,199,346,183,173,119,130,92,335,132,305,129,4372,578,25,50,189,119,161,109,434,170,573,195,1079,265,570,159,169,87,297,133,709,201,166,90,30139,1690,78,85,1407,373,2262,423,5933,688,7495,758,6765,674,1959,315,724,178,980,222,1498,265,1038,237
20,Hermosa,25068,1269,2010,345,5259,539,3052,461,3590,510,4052,486,2936,397,1406,273,243,97,655,193,1171,268,694,182,12519,924,1942,341,4421,497,2235,388,1541,299,1122,265,634,174,248,114,52,48,30,38,118,65,176,82,867,256,50,48,132,87,52,50,83,67,228,143,151,96,19,39,15,35,22,36,13,35,102,64,2797,556,18,38,177,185,79,124,256,141,325,144,683,205,303,139,66,52,318,138,424,183,148,84,8885,957,0,29,529,207,686,227,1710,364,2377,440,1468,303,836,209,110,71,285,123,616,206,268,126
21,Avondale,41542,1885,3371,462,6273,739,4993,667,9313,811,6263,616,4380,550,2120,347,723,198,874,205,2236,400,996,195,20443,1223,3293,459,5724,701,2840,480,3534,501,2064,331,1283,249,522,147,113,71,165,98,585,188,320,109,3184,420,42,69,64,58,273,121,1226,250,686,178,364,133,172,99,100,77,56,62,130,66,71,53,1367,364,7,37,55,62,59,60,120,91,259,148,342,197,125,77,34,48,62,63,156,104,148,86,16548,1439,29,49,430,196,1821,442,4433,690,3254,500,2391,440,1301,299,476,170,591,173,1365,326,457,144
22,Logan Square,73786,1997,5230,516,9328,802,8120,783,21109,1048,12214,761,7732,582,2814,383,958,231,1539,258,3009,380,1733,258,37513,1559,5072,505,8349,761,4991,619,9184,696,4462,458,2926,362,904,188,294,114,283,106,533,150,515,143,16013,818,129,98,375,174,1701,347,7876,572,3416,354,1428,252,295,100,84,70,171,84,397,133,141,87,4461,515,9,58,94,77,82,78,326,164,439,150,833,187,539,177,191,98,490,149,989,231,469,151,15799,1187,20,65,510,189,1346,323,3723,539,3897,513,2545,395,1076,264,389,172,595,177,1090,261,608,170
23,Humboldt Park,54351,2209,4862,646,11529,1066,6251,689,9106,795,6626,625,6412,614,2616,383,1130,234,1569,317,2659,326,1591,266,33293,1912,4572,604,10107,973,4691,604,5658,616,3858,514,2680,446,751,192,147,79,167,97,454,169,208,99,7489,744,144,114,452,247,493,195,945,275,606,218,1015,240,543,180,359,144,700,206,1384,248,848,191,3920,536,20,59,176,129,331,157,395,155,476,176,723,204,435,139,272,112,392,218,408,143,292,116,9649,1076,126,131,794,383,736,234,2108,421,1686,308,1994,314,887,245,352,144,310,138,413,141,243,130
24,West Town,84087,2008,5230,540,7840,774,8733,814,29371,1172,14455,786,7845,580,2921,368,1148,232,1379,240,2725,338,2440,327,41908,1685,4908,525,6858,748,5194,615,12848,836,6299,536,2824,372,1120,217,479,144,434,126,479,144,465,132,24920,1036,144,103,414,180,2495,433,12952,797,5010,476,1786,247,611,180,218,108,284,127,493,134,513,153,3748,502,74,84,126,85,138,103,412,164,462,176,741,240,371,129,160,113,174,93,697,211,393,159,13511,979,104,106,442,168,906,243,3159,481,2684,403,2494,356,819,205,291,125,487,146,1056,209,1069,215
25,Austin,98162,2739,6562,691,19854,1245,10458,830,13379,940,11313,778,14156,853,6486,565,2282,312,2887,357,6473,502,4312,422,73169,2620,6386,677,19087,1241,9760,806,11752,859,9080,713,9866,754,3383,435,877,204,1014,230,1233,241,731,184,20241,1075,176,145,656,223,407,145,554,205,1292,289,3351,477,2549,344,1355,238,1619,269,4964,448,3318,379,803,233,0,61,13,64,34,70,139,109,105,94,137,109,133,109,13,63,93,82,110,92,26,66,3949,717,0,61,98,85,257,142,934,334,836,234,802,202,421,169,37,63,161,89,166,89,237,131
26,West Garfield Park,19377,1316,1747,338,5035,598,2364,420,2356,347,2287,306,2371,348,928,189,275,99,341,108,1012,186,661,136,15489,1273,1669,328,4742,586,2220,396,2226,339,2038,282,1697,290,540,150,67,46,64,55,165,88,61,51,3771,426,78,82,283,151,95,85,113,73,228,94,673,205,388,122,201,87,272,96,840,166,600,127,69,81,0,35,5,34,49,78,0,35,2,36,0,35,0,35,6,34,0,35,7,35,0,35,48,46,0,35,5,35,0,35,17,43,19,39,1,33,0,35,1,33,5,34,0,35,0,35
27,East Garfield Park,21316,1354,1926,354,5517,696,2346,377,2904,386,2734,348,2499,364,844,203,398,112,379,104,920,167,849,154,17402,1337,1863,347,5234,672,2226,368,2447,341,2368,331,1863,312,412,133,203,86,255,93,263,103,268,108,3392,367,63,67,225,123,102,94,253,110,274,129,526,150,422,148,185,72,121,64,656,132,565,119,71,70,0,38,41,59,0,38,7,38,11,39,9,39,0,38,0,38,3,37,0,38,0,38,451,187,0,38,17,45,18,41,197,123,81,75,101,77,10,39,10,39,0,38,1,37,16,45
28,Near West Side,54151,1661,2904,382,5547,665,8111,828,16626,905,7911,606,4964,479,2371,316,817,179,1335,257,2198,268,1367,226,30129,1464,2610,348,5011,642,4928,672,6924,582,4003,426,3207,401,1319,256,483,139,596,168,648,147,400,132,15010,847,241,137,376,172,1606,341,5777,561,2318,340,1198,212,780,168,222,90,550,153,1203,194,739,166,645,201,33,59,63,76,155,108,72,68,183,111,59,72,46,73,0,52,20,53,4,51,10,52,8367,753,20,55,97,70,1422,340,3853,541,1407,258,500,131,226,107,112,89,169,113,343,141,218,107
29,North Lawndale,36074,1850,3063,432,9296,888,4397,508,4765,534,3796,441,4630,467,1851,280,582,163,648,159,1678,234,1368,219,28578,1751,3002,420,9003,876,4179,500,4311,502,3094,399,3037,368,978,196,325,113,223,90,290,110,136,74,6550,567,61,76,262,145,156,96,251,100,518,158,1273,242,796,183,247,121,388,125,1378,216,1220,211,41,49,0,43,0,43,0,43,0,43,9,42,13,42,13,42,0,43,0,43,6,42,0,43,905,280,0,43,31,55,62,69,203,117,175,88,307,184,64,68,10,45,37,60,4,42,12,43
30,South Lawndale,70557,2333,6311,639,13589,1020,10776,824,13398,981,10255,692,7584,600,2529,387,983,225,1176,237,2341,342,1615,278,35328,1686,5984,618,11662,961,6948,610,4935,504,2749,332,1850,262,385,113,130,79,90,72,294,117,301,108,3621,515,123,88,255,131,611,285,728,234,407,135,518,142,214,98,55,57,111,73,285,93,314,106,677,215,52,62,102,88,61,66,135,95,61,62,102,80,34,60,57,71,5,47,58,66,10,49,30931,1474,152,105,1570,350,3156,523,7600,806,7038,624,5114,528,1896,352,741,205,970,220,1704,307,990,227
31,Lower West Side,36577,1700,2942,419,6277,660,4858,622,7947,703,5339,521,3615,462,1598,257,680,191,629,166,1285,244,1407,248,16751,1118,2829,408,5057,588,2511,417,3062,416,1498,295,782,197,268,102,140,73,39,43,230,115,335,108,3732,457,69,71,316,139,736,245,1081,245,445,142,259,122,129,84,91,72,112,79,204,101,290,139,617,241,19,44,85,104,60,53,95,82,76,75,83,77,66,74,0,42,0,42,71,63,62,64,15477,1088,25,55,819,229,1551,353,3709,533,3320,426,2491,410,1135,223,449,168,478,145,780,186,720,178
