area_id,area_name,b14004001,b14004001_moe,b14004002,b14004002_moe,b14004003,b14004003_moe,b14004004,b14004004_moe,b14004005,b14004005_moe,b14004006,b14004006_moe,b14004007,b14004007_moe,b14004008,b14004008_moe,b14004009,b14004009_moe,b14004010,b14004010_moe,b14004011,b14004011_moe,b14004012,b14004012_moe,b14004013,b14004013_moe,b14004014,b14004014_moe,b14004015,b14004015_moe,b14004016,b14004016_moe,b14004017,b14004017_moe,b14004018,b14004018_moe,b14004019,b14004019_moe,b14004020,b14004020_moe,b14004021,b14004021_moe,b14004022,b14004022_moe,b14004023,b14004023_moe,b14004024,b14004024_moe,b14004025,b14004025_moe,b14004026,b14004026_moe,b14004027,b14004027_moe,b14004028,b14004028_moe,b14004029,b14004029_moe,b14004030,b14004030_moe,b14004031,b14004031_moe,b14004032,b14004032_moe,b14004033,b14004033_moe
1,Rogers Park,47961,1713,23984,1104,1289,287,2,52,512,174,421,171,354,143,2208,461,0,48,1352,412,568,156,288,142,20487,1031,833,253,2012,429,5356,616,12286,731,23977,1207,1452,281,20,50,657,203,416,135,359,148,3070,626,0,48,2068,601,669,177,333,127,19455,1018,1072,260,1812,324,4440,500,12131,784
2,West Ridge,57178,1916,27899,1210,1816,417,22,53,1175,359,434,185,185,97,1300,491,0,51,612,258,425,305,263,140,24783,1057,1162,256,2085,534,4302,565,17234,804,29279,1145,1680,296,8,52,732,183,659,214,281,122,770,206,0,51,390,155,196,112,184,91,26829,1089,1333,278,1651,357,4361,543,19484,838
3,Uptown,49323,1420,25757,1078,852,225,0,48,318,149,348,160,186,89,1362,265,0,48,443,171,693,192,226,117,23543,1071,534,188,1488,333,6648,671,14873,849,23566,958,1124,248,0,48,349,130,546,173,229,122,1409,294,0,48,578,187,567,177,264,140,21033,901,355,164,1353,344,5648,530,13677,723
4,Lincoln Square,33118,1023,16359,675,536,186,0,40,130,83,271,114,135,128,881,225,34,66,200,129,392,153,255,125,14942,658,348,135,712,207,4654,434,9228,574,16759,692,752,189,0,40,262,127,337,128,153,76,927,180,0,40,301,117,414,119,212,84,15080,676,445,165,680,168,4682,431,9273,527
5,North Center,27674,850,13650,667,353,132,0,43,178,111,119,74,56,51,667,197,0,43,275,151,289,109,103,62,12630,621,229,97,629,260,4389,425,7383,425,14024,586,720,186,0,43,298,144,270,97,152,74,707,186,0,43,149,102,413,143,145,81,12597,542,270,124,683,225,4213,360,7431,419
6,Lake View,87406,1504,42988,1279,1632,349,0,66,560,252,892,228,180,113,4275,632,0,66,2149,537,1674,289,452,172,37081,1166,349,140,3274,523,14754,934,18704,782,44418,1296,2506,395,0,66,1109,285,1087,251,310,128,5177,618,0,66,2321,424,2426,364,430,201,36735,1185,319,116,4655,570,16136,954,15625,665
7,Lincoln Park,56663,1342,27421,1029,755,195,0,51,283,108,382,151,90,71,3424,498,5,50,2425,445,879,215,115,71,23242,921,482,131,2243,465,8088,688,12429,581,29242,1022,1094,238,0,51,566,174,358,145,170,88,4243,524,14,54,2939,466,1196,241,94,66,23905,905,417,112,3069,567,7794,575,12625,577
8,Near North Side,75100,1587,34276,1265,947,271,0,54,295,151,417,197,235,128,3080,591,0,54,1320,417,1490,378,270,122,30249,1114,315,132,1561,379,9756,812,18617,858,40824,1257,1611,350,0,54,666,231,769,254,176,99,3599,551,0,54,1588,368,1649,349,362,190,35614,1149,161,89,2320,422,11331,852,21802,885
9,Edison Park,9249,434,4263,309,225,139,0,25,39,34,150,130,36,43,168,83,10,27,28,37,92,76,38,37,3870,291,137,77,66,57,558,169,3109,271,4986,310,292,117,0,25,146,80,76,57,70,53,223,88,0,25,125,69,70,55,28,34,4471,266,233,107,223,108,494,135,3521,211
10,Norwood Park,30770,899,14615,626,746,253,8,40,495,201,188,122,55,58,419,153,0,39,217,108,86,70,116,80,13450,588,388,143,732,200,1749,395,10581,478,16155,626,684,181,0,39,275,114,216,103,193,107,403,143,0,39,149,88,181,103,73,57,15068,603,381,133,666,246,1704,293,12317,487
11,Jefferson Park,21805,961,10723,624,371,142,0,29,277,113,67,76,27,45,326,117,0,29,126,71,157,94,43,39,10026,614,463,196,652,225,1826,333,7085,457,11082,563,993,308,23,46,447,186,295,193,228,112,302,119,9,31,100,74,112,78,81,55,9787,508,344,119,537,148,1401,248,7505,443
12,Forest Glen,14823,500,7333,352,328,117,0,29,233,98,84,61,11,33,202,105,0,29,125,82,30,55,47,47,6803,308,409,115,456,141,708,163,5230,250,7490,348,259,130,0,29,128,86,81,81,50,44,341,112,0,29,184,79,91,80,66,44,6890,337,309,111,212,113,727,181,5642,255
