area_id,area_name,b19202g001,b19202g001_moe
1,Rogers Park,233688,108114
2,West Ridge,9866,32789
3,Uptown,72971,167295
4,Lincoln Square,129852,62980
5,North Center,179944,222942
6,Lake View,549486,256293
7,Lincoln Park,501392,225615
8,Near North Side,324764,182999
13,North Park,6548,53705
14,Albany Park,272115,223080
16,Irving Park,41875,65834
20,Hermosa,51382,25472
21,Avondale,73416,82762
22,Logan Square,269072,139301
23,Humboldt Park,21328,21103
24,West Town,562187,203388
28,Near West Side,707378,496264
31,Lower West Side,91887,56968
32,Loop,302063,147395
33,Near South Side,52610,69327
35,Douglas,127140,35321
39,Kenwood,38311,25736
41,Hyde Park,217931,214652
42,Woodlawn,183640,173110
43,South Shore,19808,19881
44,Chatham,36485,27423
46,South Chicago,18125,14308
49,Roseland,75625,70836
57,Archer Heights,34091,13790
60,Bridgeport,35938,21920
61,New City,4531,1889
65,West Lawn,14375,89149
68,Englewood,15795,19085
72,Beverly,117813,169862
75,Morgan Park,55490,228391
77,Edgewater,228773,96333
