area_id,area_name,b19301a001,b19301a001_moe
1,Rogers Park,350126,20493
2,West Ridge,399836,58104
3,Uptown,542709,27866
4,Lincoln Square,497098,27498
5,North Center,864437,58865
6,Lake View,2132596,66667
7,Lincoln Park,1525114,64383
8,Near North Side,2073150,127470
9,Edison Park,121678,10226
10,Norwood Park,283476,19369
11,Jefferson Park,168298,9807
12,Forest Glen,187235,13841
13,North Park,139259,13295
14,Albany Park,308087,25222
15,Portage Park,384076,20349
16,Irving Park,474969,23242
17,Dunning,296843,11219
18,Montclare,48477,5445
19,Belmont Cragin,306159,15733
20,Hermosa,105151,10923
21,Avondale,211760,13326
22,Logan Square,898834,35788
23,Humboldt Park,262273,27441
24,West Town,1508303,52017
25,Austin,389144,54770
26,West Garfield Park,92037,47741
27,East Garfield Park,247424,73176
28,Near West Side,950862,56353
29,North Lawndale,243042,48757
30,South Lawndale,192095,10561
31,Lower West Side,227792,16135
32,Loop,336033,35294
33,Near South Side,254741,66478
34,Armour Square,116256,20835
35,Douglas,375462,516810
36,Oakland,75805,16096
37,Fuller Park,24293,10726
38,Grand Boulevard,484773,86365
39,Kenwood,420774,88121
40,Washington Park,64464,39844
41,Hyde Park,507464,68894
42,Woodlawn,264387,31647
43,South Shore,340408,129898
44,Chatham,74941,47874
45,Avalon Park,115670,64723
46,South Chicago,237793,143066
48,Calumet Heights,116144,36696
49,Roseland,166807,54118
50,Pullman,45589,10322
51,South Deering,73663,19312
52,East Side,104255,9704
53,West Pullman,73279,44527
54,Riverdale,20195,7556
55,Hegewisch,48920,5205
56,Garfield Ridge,245895,11962
57,Archer Heights,94483,7929
58,Brighton Park,131399,8602
59,McKinley Park,98575,9446
60,Bridgeport,272963,19034
61,New City,236254,33310
62,West Elsdon,65682,6378
63,Gage Park,107474,8750
64,Clearing,180257,9921
65,West Lawn,124022,9170
66,Chicago Lawn,162018,19942
67,West Englewood,135590,25086
68,Englewood,67319,18217
69,Greater Grand Crossing,51300,16946
70,Ashburn,200219,17104
71,Auburn Gresham,77982,74493
72,Beverly,299784,18752
73,Washington Heights,105542,23727
74,Mount Greenwood,142527,6767
75,Morgan Park,187522,23683
76,O'Hare,112432,14427
77,Edgewater,651437,33078
