area_id,area_name,b19025d001,b19025d001_moe
1,Rogers Park,81749500,22603755
2,West Ridge,267831900,31295014
3,Uptown,184612200,31183808
4,Lincoln Square,106664000,22045792
5,North Center,51331700,15120573
6,Lake View,372352300,62577241
7,Lincoln Park,183663100,40553876
8,Near North Side,632994400,103621061
9,Edison Park,3148800,3541757
10,Norwood Park,51046800,23666076
11,Jefferson Park,62503200,19187726
12,Forest Glen,77454000,20458980
13,North Park,93677100,16450696
14,Albany Park,131145800,24309332
15,Portage Park,75336000,22152018
16,Irving Park,102284000,26068959
17,Dunning,40975000,13725792
18,Montclare,14592900,16464279
19,Belmont Cragin,20824300,8513919
20,Hermosa,1660800,1693369
21,Avondale,28779900,10210411
22,Logan Square,125227500,34531324
23,Humboldt Park,2226200,2162520
24,West Town,174363000,33562430
25,Austin,5179900,4213321
28,Near West Side,394491700,80013466
31,Lower West Side,7620900,6137913
32,Loop,264224400,74648934
33,Near South Side,169167300,40518353
34,Armour Square,132888200,18936543
35,Douglas,31807800,9357631
39,Kenwood,18205200,10282238
41,Hyde Park,67309300,14158380
42,Woodlawn,6044700,2820578
56,Garfield Ridge,6761300,4623374
58,Brighton Park,41942100,8630199
59,McKinley Park,41354700,9864767
60,Bridgeport,191280900,24282648
61,New City,12946100,4734969
62,West Elsdon,5019600,4180672
63,Gage Park,2191700,1858565
76,O'Hare,26894800,11686420
77,Edgewater,159167200,26336747
