area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
1,Rogers Park,26546,1426,13669,913,12563,891,10291,782,10,49,10281,782,9520,752,761,213,2272,478,1106,215,256,105,241,102,15,54,850,191,12877,927,11325,883,8549,698,0,48,8549,698,7968,691,581,163,2776,428,1552,303,235,93,206,88,29,54,1317,293
2,West Ridge,31752,1594,15318,963,12705,939,10011,802,0,51,10011,802,9097,767,914,247,2694,486,2613,328,468,147,441,143,27,59,2145,310,16434,924,12628,908,8698,705,0,51,8698,705,8049,684,649,209,3930,541,3806,380,539,156,465,145,74,80,3267,352
3,Uptown,30214,1188,15515,799,14269,780,12232,705,32,67,12200,702,11236,677,964,247,2037,421,1246,216,269,96,231,90,38,55,977,198,14699,761,12567,725,10689,655,0,48,10689,655,9943,594,746,230,1878,316,2132,320,210,93,197,90,13,49,1922,316
4,Lincoln Square,24509,988,12390,630,11122,591,10017,546,19,43,9998,548,9073,532,925,242,1105,262,1268,219,214,83,165,73,49,58,1054,215,12119,615,10599,563,8824,506,0,40,8824,506,8180,481,644,194,1775,294,1520,270,259,141,259,141,0,40,1261,252
5,North Center,24482,826,12046,622,11211,619,10241,582,16,49,10225,580,9730,570,495,147,970,199,835,169,133,69,116,66,17,42,702,159,12436,556,11187,533,9294,518,0,43,9294,518,8858,508,436,131,1893,283,1249,202,203,90,186,87,17,45,1046,199
6,Lake View,75262,1531,36884,1223,34411,1206,31274,1098,29,72,31245,1097,29760,1088,1485,290,3137,473,2473,283,658,172,643,171,15,69,1815,245,38378,1266,35247,1255,30973,1201,0,66,30973,1201,29854,1183,1119,231,4274,465,3131,314,475,147,433,137,42,82,2656,296
7,Lincoln Park,48953,1317,23374,946,21201,920,18473,871,0,51,18473,871,17611,864,862,186,2728,396,2173,258,759,154,737,151,22,54,1414,226,25579,984,23412,959,18833,887,0,51,18833,887,17905,874,928,187,4579,473,2167,268,391,126,391,126,0,51,1776,245
8,Near North Side,58338,1564,26822,1185,22113,1107,19300,1034,0,54,19300,1034,18227,992,1073,307,2813,441,4709,410,1949,299,1905,295,44,65,2760,334,31516,1147,25456,1105,20432,1038,0,54,20432,1038,19561,1024,871,221,5024,531,6060,454,1546,311,1430,298,116,110,4514,398
9,Edison Park,8814,445,4046,326,3449,316,3051,310,0,25,3051,310,2866,288,185,87,398,148,597,111,82,48,82,48,0,25,515,108,4768,311,3744,307,2902,292,0,25,2902,292,2703,284,199,89,842,207,1024,120,43,43,43,43,0,25,981,114
10,Norwood Park,27151,836,13031,572,10315,522,8726,486,0,39,8726,486,8143,473,583,162,1589,303,2716,256,355,117,277,102,78,60,2361,255,14120,611,9838,553,7855,553,0,39,7855,553,6956,559,899,228,1983,288,4282,324,433,137,419,135,14,44,3849,315
