area_id,area_name,c21001a001,c21001a001_moe,c21001a002,c21001a002_moe,c21001a003,c21001a003_moe,c21001a004,c21001a004_moe,c21001a005,c21001a005_moe,c21001a006,c21001a006_moe,c21001a007,c21001a007_moe,c21001a008,c21001a008_moe,c21001a009,c21001a009_moe,c21001a010,c21001a010_moe,c21001a011,c21001a011_moe,c21001a012,c21001a012_moe,c21001a013,c21001a013_moe,c21001a014,c21001a014_moe,c21001a015,c21001a015_moe
1,Rogers Park,26144,1392,13505,905,12399,883,530,148,11869,874,1106,215,449,133,657,167,12639,901,11087,856,78,70,11009,856,1552,303,11,51,1541,301
2,West Ridge,30976,1547,14855,925,12242,897,538,192,11704,892,2613,328,846,183,1767,294,16121,904,12315,885,58,66,12257,880,3806,380,6,51,3800,380
3,Uptown,29953,1168,15431,795,14185,776,514,157,13671,762,1246,216,480,131,766,184,14522,744,12390,703,14,48,12376,702,2132,320,19,51,2113,316
4,Lincoln Square,24096,952,12147,612,10879,570,671,204,10208,558,1268,219,427,116,841,188,11949,594,10429,539,8,41,10421,539,1520,270,0,40,1520,270
5,North Center,24157,805,11875,611,11040,609,474,129,10566,614,835,169,285,87,550,147,12282,539,11033,513,14,43,11019,514,1249,202,42,74,1207,204
6,Lake View,74864,1517,36684,1219,34211,1202,1113,215,33098,1199,2473,283,878,175,1595,247,38180,1254,35049,1244,36,67,35013,1245,3131,314,39,73,3092,313
7,Lincoln Park,48535,1306,23134,936,20961,911,550,165,20411,904,2173,258,770,174,1403,213,25401,979,23234,954,28,57,23206,953,2167,268,6,50,2161,268
8,Near North Side,58116,1563,26683,1182,21974,1105,1026,285,20948,1114,4709,410,1939,294,2770,338,31433,1143,25373,1102,80,73,25293,1102,6060,454,55,84,6005,448
9,Edison Park,8553,425,3941,319,3344,307,382,161,2962,282,597,111,310,91,287,87,4612,296,3588,293,18,35,3570,288,1024,120,0,25,1024,120
10,Norwood Park,26704,816,12746,555,10030,509,960,212,9070,535,2716,256,1348,204,1368,211,13958,600,9676,544,3,38,9673,544,4282,324,0,39,4282,324
11,Jefferson Park,17175,887,8460,567,7125,543,401,129,6724,552,1335,214,629,166,706,165,8715,519,6661,485,0,29,6661,485,2054,262,7,30,2047,262
12,Forest Glen,11219,509,5582,335,4347,321,294,99,4053,332,1235,134,605,110,630,135,5637,319,4063,301,27,36,4036,304,1574,155,15,34,1559,157
13,North Park,8718,674,4281,407,3428,380,115,60,3313,375,853,195,229,94,624,178,4437,415,3117,361,46,51,3071,358,1320,197,20,39,1300,196
14,Albany Park,18525,1043,9382,705,8505,679,447,161,8058,682,877,203,207,86,670,183,9143,582,7900,536,32,56,7868,540,1243,231,0,45,1243,231
15,Portage Park,33979,1251,15880,746,13602,700,733,162,12869,692,2278,287,910,181,1368,243,18099,821,14172,766,73,73,14099,762,3927,362,9,48,3918,360
16,Irving Park,29163,1408,14651,889,13129,853,864,186,12265,863,1522,229,493,126,1029,192,14512,789,12561,747,134,93,12427,748,1951,256,11,48,1940,256
17,Dunning,29808,1052,14409,675,12157,645,621,138,11536,651,2252,250,807,142,1445,237,15399,644,11687,609,23,46,11664,609,3712,263,6,40,3706,264
18,Montclare,6540,585,3122,365,2465,379,149,68,2316,361,657,155,404,133,253,97,3418,354,2614,322,27,31,2587,320,804,167,0,23,804,167
19,Belmont Cragin,23469,1514,12045,938,10203,894,397,124,9806,875,1842,256,499,139,1343,228,11424,791,9167,731,13,56,9154,730,2257,280,0,52,2257,280
20,Hermosa,7061,778,3317,457,2939,440,167,92,2772,426,378,134,46,43,332,130,3744,486,3223,451,0,29,3223,451,521,149,0,29,521,149
21,Avondale,23737,1380,11925,873,10901,851,326,113,10575,852,1024,197,162,80,862,185,11812,806,10036,755,10,40,10026,755,1776,268,23,45,1753,265
22,Logan Square,48271,1506,25095,1009,23397,996,661,166,22736,996,1698,258,326,117,1372,238,23176,919,20970,897,144,115,20826,890,2206,290,0,57,2206,290
23,Humboldt Park,10569,973,5354,616,4814,597,214,118,4600,581,540,147,162,89,378,124,5215,513,4730,487,12,53,4718,487,485,141,0,51,485,141
24,West Town,55219,1530,28131,1045,26651,1026,804,187,25847,1018,1480,240,240,92,1240,229,27088,1014,24836,972,20,64,24816,972,2252,284,0,62,2252,284
25,Austin,6121,545,3075,375,2614,351,188,96,2426,344,461,133,181,94,280,116,3046,309,2330,293,0,61,2330,293,716,174,11,61,705,174
26,West Garfield Park,279,132,123,79,115,75,19,45,96,68,8,37,0,35,8,37,156,83,144,79,0,35,144,79,12,34,0,35,12,34
27,East Garfield Park,689,184,380,121,318,112,21,39,297,109,62,51,16,41,46,54,309,100,256,91,0,38,256,91,53,50,0,38,53,50
28,Near West Side,22991,1002,11525,653,10975,643,422,136,10553,629,550,142,231,111,319,101,11466,652,10925,625,54,80,10871,627,541,144,0,52,541,144
29,North Lawndale,1119,246,541,153,527,151,80,72,447,131,14,44,3,41,11,44,578,148,494,132,0,43,494,132,84,73,0,43,84,73
30,South Lawndale,32837,1546,18077,1035,16904,1018,202,107,16702,1016,1173,216,93,61,1080,213,14760,830,13284,797,0,48,13284,797,1476,245,0,48,1476,245
31,Lower West Side,13849,1101,7622,753,6890,729,180,98,6710,715,732,169,250,107,482,130,6227,534,5284,492,68,80,5216,483,943,168,0,42,943,168
32,Loop,16366,1137,8356,855,7602,851,185,92,7417,849,754,155,363,97,391,149,8010,634,7263,640,21,34,7242,641,747,191,32,43,715,185
33,Near South Side,8817,820,4266,669,4090,645,82,63,4008,632,176,92,87,83,89,59,4551,423,4248,426,15,21,4233,424,303,147,0,24,303,147
34,Armour Square,1569,256,751,160,648,146,60,57,588,137,103,52,55,40,48,37,818,161,719,147,0,27,719,147,99,53,0,27,99,53
35,Douglas,2417,365,1341,245,1267,243,53,53,1214,240,74,50,41,44,33,41,1076,215,911,203,0,35,911,203,165,69,0,35,165,69
36,Oakland,175,108,78,59,78,59,0,19,78,59,0,19,0,19,0,19,97,60,97,60,0,19,97,60,0,19,0,19,0,19
37,Fuller Park,55,42,23,21,23,21,0,16,23,21,0,16,0,16,0,16,32,25,23,21,0,16,23,21,9,17,0,16,9,17
38,Grand Boulevard,745,218,333,115,282,100,4,42,278,99,51,56,51,56,0,43,412,134,380,131,0,43,380,131,32,48,6,43,26,47
39,Kenwood,3160,364,1779,277,1431,260,33,39,1398,258,348,110,74,48,274,110,1381,194,1048,176,0,31,1048,176,333,115,0,31,333,115
