area_id,area_name,b16010001,b16010001_moe,b16010002,b16010002_moe,b16010003,b16010003_moe,b16010004,b16010004_moe,b16010005,b16010005_moe,b16010006,b16010006_moe,b16010007,b16010007_moe,b16010008,b16010008_moe,b16010009,b16010009_moe,b16010010,b16010010_moe,b16010011,b16010011_moe,b16010012,b16010012_moe,b16010013,b16010013_moe,b16010014,b16010014_moe,b16010015,b16010015_moe,b16010016,b16010016_moe,b16010017,b16010017_moe,b16010018,b16010018_moe,b16010019,b16010019_moe,b16010020,b16010020_moe,b16010021,b16010021_moe,b16010022,b16010022_moe,b16010023,b16010023_moe,b16010024,b16010024_moe,b16010025,b16010025_moe,b16010026,b16010026_moe,b16010027,b16010027_moe,b16010028,b16010028_moe,b16010029,b16010029_moe,b16010030,b16010030_moe,b16010031,b16010031_moe,b16010032,b16010032_moe,b16010033,b16010033_moe,b16010034,b16010034_moe,b16010035,b16010035_moe,b16010036,b16010036_moe,b16010037,b16010037_moe,b16010038,b16010038_moe,b16010039,b16010039_moe,b16010040,b16010040_moe,b16010041,b16010041_moe,b16010042,b16010042_moe,b16010043,b16010043_moe,b16010044,b16010044_moe,b16010045,b16010045_moe,b16010046,b16010046_moe,b16010047,b16010047_moe,b16010048,b16010048_moe,b16010049,b16010049_moe,b16010050,b16010050_moe,b16010051,b16010051_moe,b16010052,b16010052_moe,b16010053,b16010053_moe
1,Rogers Park,37621,1332,6832,851,3755,618,905,245,2427,538,160,87,130,111,133,110,3077,553,1471,320,635,216,812,400,111,98,48,61,6738,671,4342,541,2440,404,1380,346,173,100,72,73,277,138,2396,391,1565,294,482,199,221,102,45,59,83,114,8856,710,6428,618,4384,544,821,224,490,179,156,114,577,167,2428,381,1743,320,206,120,287,136,108,81,84,69,15195,807,13370,755,10237,673,917,232,1232,282,612,183,372,151,1825,323,1135,222,203,159,304,139,118,90,65,75
2,West Ridge,48008,1521,9963,1032,4784,704,494,200,2302,551,967,277,540,220,481,220,5179,678,1194,268,1159,383,1463,365,596,241,767,292,9825,844,5795,635,1884,360,933,285,1902,377,431,184,645,235,4030,511,1781,319,712,227,903,268,235,122,399,173,11042,804,7661,652,3187,432,1229,300,1451,313,1016,272,778,264,3381,474,1758,288,366,175,667,232,278,143,312,217,17178,1041,12317,834,6695,611,643,225,2307,450,1449,352,1223,334,4861,628,2177,368,187,125,1721,480,543,197,233,151
3,Uptown,43905,1298,5194,648,2119,459,638,234,964,315,58,60,303,173,156,135,3075,442,1273,279,790,244,387,160,487,197,138,95,6927,739,3677,570,2071,408,794,283,205,127,389,211,218,138,3250,452,2064,368,170,107,478,173,402,166,136,99,8953,811,5759,660,4051,478,369,151,382,163,454,334,503,244,3194,498,2177,411,166,96,323,141,167,155,361,200,22831,978,20152,936,16051,851,1321,366,1395,302,1023,281,362,188,2679,393,1761,280,132,119,544,211,140,82,102,108
4,Lincoln Square,30006,909,4017,544,1828,375,239,113,1148,338,226,135,172,124,43,68,2189,404,871,218,628,203,400,189,69,54,221,189,3776,498,2487,404,1065,253,653,261,555,212,132,91,82,61,1289,252,764,184,149,108,228,117,69,85,79,86,5898,584,4625,509,2701,389,782,250,625,196,356,157,161,102,1273,248,853,186,82,79,180,112,146,106,12,43,16315,774,14551,698,11555,643,730,208,1265,268,751,217,250,116,1764,298,1180,225,90,88,161,79,212,112,121,125
5,North Center,24963,744,1134,263,414,140,157,73,169,91,26,49,62,80,0,43,720,203,245,119,403,165,45,49,16,46,11,45,3087,399,1881,289,1265,229,488,180,84,65,44,56,0,43,1206,262,661,166,354,175,114,66,41,56,36,72,3734,377,2841,349,2274,310,320,120,173,88,70,77,4,42,893,173,703,153,118,77,40,50,23,48,9,44,17008,690,15201,660,13720,672,672,176,541,142,226,106,42,58,1807,255,1327,205,196,117,141,78,101,89,42,77
6,Lake View,72670,1436,1881,324,530,174,183,124,268,125,49,78,12,67,18,73,1351,280,604,193,395,168,231,118,91,99,30,74,4394,487,2562,360,1914,332,409,133,63,76,8,66,168,99,1832,308,1120,233,148,92,215,117,309,172,40,78,9934,717,7888,664,6371,606,810,247,322,142,224,133,161,94,2046,298,1663,262,109,87,236,141,38,70,0,66,56461,1427,49692,1360,41901,1332,2232,384,3367,483,1703,329,489,211,6769,593,5133,507,297,131,742,199,382,202,215,192
7,Lincoln Park,44220,1165,1607,277,342,136,246,126,72,69,16,54,8,51,0,51,1265,239,810,178,302,130,124,82,29,67,0,51,1818,314,754,195,560,170,46,66,123,86,0,51,25,60,1064,246,873,224,93,79,98,87,0,51,0,51,4447,486,2939,421,2434,383,167,94,212,121,76,83,50,80,1508,230,1223,211,115,75,141,79,29,57,0,51,36348,1128,31215,1065,26730,1027,1323,346,2265,387,590,178,307,176,5133,425,4468,403,109,65,415,124,111,76,30,54
8,Near North Side,66874,1503,1662,337,480,201,326,145,109,145,45,65,0,54,0,54,1182,274,867,226,204,149,65,89,22,63,24,60,4160,566,1998,436,1415,340,328,256,128,93,39,63,88,85,2162,355,1537,302,169,135,306,126,35,61,115,78,9871,827,6295,697,5098,643,522,213,567,220,95,86,13,58,3576,456,3138,435,83,75,320,119,0,54,35,60,51181,1429,40922,1342,32569,1328,1162,300,4276,607,2237,421,678,206,10259,784,7533,651,387,178,1209,308,953,312,177,104
9,Edison Park,8242,341,611,165,239,122,139,86,9,26,91,91,0,25,0,25,372,121,271,113,21,31,63,49,0,25,17,35,1566,269,721,189,690,187,9,26,16,25,6,25,0,25,845,165,694,158,0,25,135,94,7,25,9,27,2601,293,1905,276,1480,242,129,96,280,167,16,36,0,25,696,144,566,134,26,48,94,55,10,27,0,25,3464,345,2979,331,2464,315,93,59,273,109,139,127,10,27,485,122,378,107,50,57,56,46,1,19,0,25
10,Norwood Park,27459,769,3151,400,883,215,280,122,182,89,303,122,118,112,0,39,2268,310,1153,213,237,107,745,189,67,77,66,76,7519,590,4206,491,2535,376,442,175,1165,318,64,63,0,39,3313,376,2617,330,155,109,405,136,136,122,0,39,8230,631,6204,594,4203,466,486,191,1254,380,212,146,49,56,2026,285,1759,262,41,54,182,93,21,43,23,42,8559,625,6616,558,4744,482,488,166,800,211,424,176,160,112,1943,277,1419,236,95,69,261,117,140,78,28,46
