area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
27,East Garfield Park,20502,1280,9255,1099,2672,621,8575,962,17109,1224,7252,1030,2339,562,7518,928,2957,656,1829,512,313,249,815,277,175,156,69,102,14,39,92,95,242,141,86,91,6,38,150,95,19,41,19,41,0,38,0,38
28,Near West Side,50718,1560,12829,1185,3487,612,34402,1244,38046,1501,8604,938,2710,560,26732,1234,8803,949,2866,669,448,178,5489,649,1161,284,591,198,63,62,507,198,1762,330,325,122,266,145,1171,259,946,352,443,270,0,52,503,222
29,North Lawndale,35010,1805,15802,1388,5858,1007,13350,1281,28951,1679,12655,1237,4677,862,11619,1207,5655,1005,2934,695,1136,486,1585,488,146,113,71,99,0,43,75,68,229,133,119,113,45,67,65,64,29,50,23,50,0,43,6,42
30,South Lawndale,60855,2182,19826,1812,13807,1657,27222,1987,54197,2222,16790,1697,12118,1532,25289,1929,5600,1002,2671,713,1356,511,1573,460,245,199,80,74,0,48,165,191,521,234,158,120,199,186,164,109,292,173,127,104,134,148,31,60
31,Lower West Side,36092,1677,9800,1166,5783,873,20509,1495,29408,1712,6842,1023,4679,803,17887,1497,5664,911,2506,645,856,253,2302,501,328,143,231,129,0,42,97,70,487,207,151,78,142,173,194,84,205,98,70,69,106,78,29,45
32,Loop,23253,1178,3414,677,444,165,19395,1112,15826,1082,1590,407,334,153,13902,1050,3749,777,833,320,50,50,2866,667,790,332,154,121,0,30,636,313,2108,743,579,480,39,46,1490,480,780,310,258,224,21,42,501,229
33,Near South Side,19736,1120,2512,718,900,376,16324,1184,15025,1216,1843,658,577,257,12605,1175,2970,692,448,258,291,274,2231,533,207,261,0,24,0,24,207,261,1212,457,107,86,19,35,1086,438,322,250,114,139,13,28,195,208
34,Armour Square,13582,841,5072,690,2050,458,6460,878,11485,880,3742,576,1728,411,6015,877,1322,391,920,334,197,164,205,125,43,59,11,28,0,27,32,53,345,277,187,246,41,52,117,98,387,219,212,166,84,114,91,86
35,Douglas,16386,750,5285,667,1313,300,9788,684,11772,693,3250,505,900,226,7622,632,3095,487,1266,314,282,163,1547,349,270,109,82,63,8,35,180,100,553,221,245,168,74,90,234,120,696,319,442,244,49,73,205,123
36,Oakland,6193,463,2490,514,874,307,2829,448,5287,462,2186,454,727,304,2374,445,871,291,304,146,147,114,420,217,13,28,0,19,0,19,13,28,19,36,0,19,0,19,19,36,3,16,0,19,0,19,3,16
