area_id,area_name,b17011001,b17011001_moe,b17011002,b17011002_moe,b17011003,b17011003_moe,b17011004,b17011004_moe,b17011005,b17011005_moe
14,Albany Park,2259400,1202585,1108300,759258,1151200,955626,811800,856778,339400,427536
19,Belmont Cragin,3518200,1717376,264500,214628,3253700,1710413,106700,112091,3146900,1714200
20,Hermosa,1317600,781333,218800,210748,1098900,769126,598800,595943,500100,565461
23,Humboldt Park,14234200,3555829,1356900,996721,12877300,3642298,775400,651948,12101800,3606626
25,Austin,14196100,3150694,1919500,1217850,12276600,2898706,1792400,891983,10484200,2802552
29,North Lawndale,5025900,1793333,379000,483708,4646900,1682431,413800,433000,4233100,1647168
30,South Lawndale,12920100,2804245,4768800,1592960,8151400,2368478,2731700,1330000,5419800,1988104
31,Lower West Side,5088400,1492752,668500,491715,4419900,1434908,737600,547524,3682300,1376184
46,South Chicago,4426200,1212585,875200,493809,3551000,1098416,669200,667546,2881700,1089957
51,South Deering,4426400,1556839,842000,711594,3584400,1573353,137900,167257,3446400,1567927
58,Brighton Park,7188200,2231193,2904600,1439695,4283700,1818687,1646400,957644,2637400,1610598
61,New City,3731700,1658795,1811600,1349560,1920100,1025239,473900,668467,1446200,839193
62,West Elsdon,3186100,1563788,1656400,1221267,1529700,1081351,705800,686689,824000,837666
66,Chicago Lawn,12828900,3196098,3392900,1828392,9435900,2833427,2854100,1619656,6581800,2304781
