area_id,area_name,b01002d001,b01002d001_moe,b01002d002,b01002d002_moe,b01002d003,b01002d003_moe
1,Rogers Park,453,78,471,109,466,90
2,West Ridge,540,37,540,59,555,49
3,Uptown,457,37,465,64,512,67
4,Lincoln Square,400,34,424,50,418,75
5,North Center,477,57,467,85,541,79
6,Lake View,1004,64,974,87,997,130
7,Lincoln Park,504,57,476,95,579,91
8,Near North Side,611,55,576,62,635,105
9,Edison Park,69,47,54,62,69,49
10,Norwood Park,265,49,270,78,278,45
11,Jefferson Park,211,19,214,30,215,28
12,Forest Glen,163,22,161,40,170,38
13,North Park,150,43,106,20,156,23
14,Albany Park,467,43,460,47,454,58
15,Portage Park,486,55,474,77,510,66
16,Irving Park,556,79,552,109,560,82
17,Dunning,336,49,296,92,333,63
18,Montclare,78,47,30,31,80,19
19,Belmont Cragin,340,35,348,43,314,35
20,Hermosa,38,32,38,58,27,52
21,Avondale,224,45,229,108,200,41
22,Logan Square,470,44,477,40,438,83
23,Humboldt Park,24,13,24,13,38,41
24,West Town,736,37,733,51,801,99
25,Austin,104,27,78,41,109,30
28,Near West Side,522,42,520,47,491,74
29,North Lawndale,17,1,51,61,12,0
31,Lower West Side,107,47,117,13,82,79
32,Loop,139,20,141,22,144,27
33,Near South Side,114,8,109,30,117,6
34,Armour Square,192,13,186,23,201,16
35,Douglas,155,16,157,29,153,86
39,Kenwood,96,28,99,40,92,20
41,Hyde Park,351,23,343,30,399,64
42,Woodlawn,79,12,70,22,85,17
49,Roseland,32,7,28,54,32,11
52,East Side,47,45,34,34,47,39
56,Garfield Ridge,215,67,200,94,158,77
57,Archer Heights,66,35,75,35,53,41
58,Brighton Park,335,29,288,43,376,49
59,McKinley Park,188,29,191,35,196,23
60,Bridgeport,382,23,363,33,397,31
61,New City,78,43,113,47,73,26
62,West Elsdon,169,31,160,76,205,74
63,Gage Park,136,79,151,114,155,84
64,Clearing,24,4,50,1,23,0
65,West Lawn,58,35,69,74,58,21
66,Chicago Lawn,102,44,106,67,98,39
71,Auburn Gresham,37,1,37,8,57,6
74,Mount Greenwood,40,1,45,37,40,1
76,O'Hare,61,10,59,7,66,13
77,Edgewater,657,66,661,91,709,93
