area_id,area_name,b25026001,b25026001_moe,b25026002,b25026002_moe,b25026003,b25026003_moe,b25026004,b25026004_moe,b25026005,b25026005_moe,b25026006,b25026006_moe,b25026007,b25026007_moe,b25026008,b25026008_moe,b25026009,b25026009_moe,b25026010,b25026010_moe,b25026011,b25026011_moe,b25026012,b25026012_moe,b25026013,b25026013_moe,b25026014,b25026014_moe,b25026015,b25026015_moe
1,Rogers Park,54629,2112,16660,1368,655,268,10096,1130,3372,704,1190,433,874,363,473,250,37969,2163,8716,1362,25585,2031,2906,753,602,379,142,92,18,54
2,West Ridge,72242,2574,36393,2044,1041,544,18690,1781,9446,1384,3872,770,1740,477,1604,427,35849,2724,6931,1527,25597,2519,1992,539,785,295,395,326,149,138
3,Uptown,52122,1621,17431,1095,689,237,11882,1024,3080,543,1219,404,380,158,181,144,34691,1713,7183,933,22428,1729,3808,728,843,331,298,204,131,135
4,Lincoln Square,38022,1337,17156,1275,593,313,8893,1021,4060,651,2005,477,918,284,687,255,20866,1424,4593,883,13782,1256,1508,404,813,313,82,127,88,76
5,North Center,33314,1088,20290,1122,1032,309,12077,1018,3595,634,1602,344,909,322,1075,302,13024,903,3570,569,7452,683,919,292,574,276,211,224,298,239
6,Lake View,96065,1725,39240,1485,1744,435,26120,1310,5618,656,3244,532,1446,343,1068,411,56825,1713,17706,1381,34522,1543,2997,583,1151,379,274,137,175,131
7,Lincoln Park,61161,1634,31270,1538,1965,541,18392,1106,6146,1137,2621,486,1315,278,831,240,29891,1377,10428,1098,17414,1169,976,335,473,164,488,237,112,124
8,Near North Side,78732,1796,36655,1490,1736,412,22746,1318,6382,696,3846,725,1621,394,324,176,42077,1841,13600,1378,24915,1441,2411,709,784,286,255,123,112,156
9,Edison Park,11130,498,9301,542,295,171,3721,530,2564,492,1136,340,866,241,719,190,1829,489,569,267,1074,380,168,118,0,25,18,26,0,25
10,Norwood Park,36826,1210,29806,1155,516,241,11841,1275,7665,992,4527,664,2726,471,2531,434,7020,1125,712,382,5038,1074,818,451,296,259,97,95,59,63
11,Jefferson Park,26744,1244,18515,1200,617,286,7427,1063,5322,924,2702,608,1134,315,1313,362,8229,1175,1437,706,5608,984,767,320,309,213,31,36,77,78
12,Forest Glen,18514,645,16733,665,542,257,6873,725,5017,741,2266,435,889,219,1146,251,1781,478,330,196,1100,347,250,269,55,89,18,30,28,50
13,North Park,18117,994,10908,1006,131,121,4243,914,3289,697,2189,685,718,255,338,137,7209,878,1523,504,4455,730,1027,366,136,128,68,62,0,27
14,Albany Park,52775,2045,18830,1451,966,307,8839,1240,4898,909,2610,627,1011,354,506,201,33945,2091,5781,1114,24699,2129,3014,918,356,194,73,104,22,47
15,Portage Park,63442,1849,38656,1906,1195,503,15072,1565,12393,1403,4785,833,2761,560,2450,406,24786,1806,4199,936,17873,1768,1756,530,501,233,277,205,180,119
16,Irving Park,55961,1945,28431,1882,1054,471,12396,1291,8711,1374,3046,638,1982,501,1242,330,27530,2026,4790,911,19751,1924,2287,659,546,239,95,77,61,60
17,Dunning,41958,1248,32976,1275,1142,457,13846,1139,9789,1045,4430,773,1842,369,1927,331,8982,1079,1296,454,6349,968,871,341,310,249,115,159,41,66
18,Montclare,12272,836,7765,840,87,92,4379,716,1587,523,873,396,431,247,408,137,4507,803,688,384,2967,689,586,277,191,125,24,25,51,81
19,Belmont Cragin,77585,2549,40566,2481,829,365,18816,2178,14732,1691,3456,743,1122,301,1611,380,37019,2467,4664,966,27912,2362,3035,829,967,487,395,280,46,61
20,Hermosa,25046,1269,11801,1257,249,194,4979,1092,4150,899,1793,532,470,227,160,98,13245,1279,1999,588,9206,1206,1464,520,552,376,0,29,24,33
21,Avondale,41489,1883,18320,1674,667,472,7121,1148,6887,1231,2252,560,872,278,521,220,23169,1764,5445,1189,14112,1557,2989,717,395,264,173,117,55,55
22,Logan Square,73309,1996,29264,1671,1151,314,15336,1187,6526,1113,3682,716,1734,437,835,252,44045,1983,10179,1147,28560,1753,3453,696,1309,498,328,169,216,222
23,Humboldt Park,54106,2209,20398,1827,478,344,7490,1334,5035,1097,3617,782,2839,723,939,325,33708,2195,5625,1101,21849,2050,4051,913,1702,720,339,196,142,95
24,West Town,83508,2001,33988,1631,1600,394,20764,1186,4379,756,3716,790,1902,504,1627,501,49520,1941,12534,1291,30643,1764,4189,788,1196,352,435,204,523,268
25,Austin,96799,2726,42727,2289,1205,572,12747,1431,9335,1280,9601,1416,7182,1025,2657,581,54072,2582,9886,1439,33607,2213,5196,972,2612,604,2257,631,514,246
26,West Garfield Park,19169,1316,4688,760,107,116,1139,383,570,302,737,377,814,377,1321,327,14481,1356,2994,660,8829,1133,1677,755,408,238,102,69,471,230
27,East Garfield Park,20661,1333,5352,816,291,196,1586,432,1621,545,390,164,359,179,1105,400,15309,1275,2706,590,9883,1126,1628,672,571,391,331,265,190,97
28,Near West Side,50255,1496,19563,1104,1368,353,14337,999,2545,579,666,258,261,129,386,196,30692,1453,7763,798,18628,1289,3126,722,504,192,504,224,167,122
29,North Lawndale,35296,1829,8046,979,124,127,3064,646,922,302,1329,494,520,262,2087,489,27250,1813,5226,902,17391,1623,2448,569,967,380,421,203,797,421
30,South Lawndale,62094,2265,23052,1876,936,445,7183,1297,7304,1203,4428,853,2633,746,568,199,39042,2246,7249,1140,25877,2104,4028,876,1213,481,624,351,51,71
31,Lower West Side,36454,1702,11023,1357,263,145,3408,755,4513,1025,1151,413,1000,307,688,232,25431,1595,4494,779,17501,1538,2351,602,593,363,372,239,120,120
32,Loop,23531,1213,10462,976,542,244,7436,911,1823,513,396,166,265,151,0,30,13069,1190,4463,886,8180,924,327,212,56,62,28,52,15,36
33,Near South Side,20049,1140,10221,918,1233,574,8041,903,776,216,164,152,0,24,7,26,9828,1013,2992,1031,5631,684,739,421,78,129,304,271,84,120
34,Armour Square,13703,850,5608,810,229,219,2965,707,998,324,920,467,317,183,179,85,8095,797,1261,461,5483,746,898,259,274,193,91,64,88,64
35,Douglas,16501,742,3867,446,69,54,1858,367,1062,347,372,189,314,209,192,102,12634,710,3139,540,7206,642,1502,324,388,132,298,192,101,63
36,Oakland,6249,467,1619,428,31,45,1099,313,208,182,42,59,0,19,239,229,4630,503,718,319,3247,465,194,80,413,270,47,56,11,18
37,Fuller Park,2910,546,1304,451,0,16,327,266,539,421,226,147,39,33,173,94,1606,378,193,109,1167,357,125,97,69,45,6,16,46,54
38,Grand Boulevard,22872,1165,6637,768,160,86,4079,629,1183,392,350,165,345,177,520,246,16235,1099,2732,598,11720,1082,1155,253,310,180,124,79,194,126
39,Kenwood,17852,902,6130,631,204,118,3187,536,1160,284,824,299,513,198,242,107,11722,844,2221,473,7549,867,1314,306,526,190,95,77,17,33
40,Washington Park,11056,830,2232,514,122,85,1161,332,500,262,177,218,63,63,209,196,8824,779,2097,499,5398,699,945,324,265,150,46,57,73,77
41,Hyde Park,23793,986,9907,766,401,195,4639,597,2821,559,832,233,827,224,387,145,13886,963,3860,599,8466,851,1184,379,271,163,56,48,49,51
42,Woodlawn,23389,1249,5605,787,183,154,2532,529,1059,394,439,200,932,466,460,158,17784,1199,3496,732,11497,1044,1884,475,478,225,285,166,144,94
43,South Shore,46693,2016,12673,1142,69,75,4146,771,3334,709,1402,475,1695,402,2027,537,34020,1905,6590,1081,22385,1763,2870,663,1204,361,585,204,386,183
44,Chatham,33220,1625,12909,973,209,163,3654,697,2865,562,1387,424,1795,487,2999,557,20311,1630,2413,655,14654,1456,1461,506,1049,408,239,163,495,277
45,Avalon Park,9612,760,6939,717,16,28,2036,549,1633,452,953,358,1246,376,1055,317,2673,624,528,213,1679,544,151,114,70,66,194,221,51,47
46,South Chicago,29334,1591,12535,1220,398,343,4058,891,3015,758,1917,487,1894,523,1253,395,16799,1474,3149,804,10257,1332,2047,578,809,316,216,119,321,250
47,Burnside,3508,686,2234,593,0,11,521,379,270,193,212,145,1026,562,205,274,1274,512,183,238,847,434,137,116,57,89,50,83,0,11
48,Calumet Heights,14377,814,10944,781,138,128,2955,570,1979,515,1301,408,2851,587,1720,417,3433,805,1174,538,1541,565,395,305,71,63,169,105,83,56
49,Roseland,44588,1645,25166,1437,526,281,6584,1067,4503,869,2226,468,6995,947,4332,662,19422,1608,3183,1048,12646,1344,1915,510,506,230,793,342,379,183
50,Pullman,7262,584,3299,358,38,51,937,285,561,214,348,187,765,217,650,223,3963,589,338,246,2107,463,735,375,257,181,202,144,324,191
51,South Deering,16405,1031,9205,908,59,64,2276,599,2418,726,1798,479,2101,574,553,239,7200,1098,1840,684,3934,786,614,274,619,545,132,168,61,75
52,East Side,23507,1386,16016,1406,50,59,7161,1227,4597,865,2286,553,1198,341,724,189,7491,1164,1373,560,5098,1014,480,220,435,397,9,29,96,94
53,West Pullman,30711,1645,17700,1251,244,210,4837,1015,2936,667,3097,661,5619,874,967,219,13011,1629,2238,775,9190,1482,808,317,378,322,300,269,97,116
54,Riverdale,6770,722,642,195,0,16,91,105,59,95,133,85,34,45,325,177,6128,709,1061,450,4224,585,647,348,45,55,151,142,0,16
55,Hegewisch,10148,927,7255,881,56,75,3064,622,2230,747,567,291,506,192,832,274,2893,906,882,634,1502,591,371,415,0,19,46,45,92,146
56,Garfield Ridge,33839,1074,28816,1130,578,234,12010,1206,8333,1070,3292,590,2087,351,2516,428,5023,896,802,404,3743,818,228,147,61,54,76,97,113,109
57,Archer Heights,13424,778,8879,942,443,272,4528,824,2484,496,709,311,386,166,329,126,4545,800,671,297,3345,752,511,284,10,29,0,27,8,27
58,Brighton Park,44050,1806,20915,1734,476,245,8409,1245,8441,1341,2150,581,503,208,936,234,23135,1793,3875,913,16641,1656,2313,803,170,90,126,89,10,44
59,McKinley Park,16396,924,9585,948,322,175,3970,724,2983,640,1250,382,435,175,625,183,6811,846,1151,396,4612,726,1026,487,22,35,0,25,0,25
60,Bridgeport,32396,1332,17059,1200,476,221,7261,957,5183,830,2082,425,1071,269,986,296,15337,1203,3475,744,9576,1060,1525,494,507,243,221,137,33,51
61,New City,41888,1894,18266,1434,706,328,7486,1060,4944,923,2598,627,1803,393,729,228,23622,1883,4949,908,15358,1750,2226,604,673,301,410,253,6,46
62,West Elsdon,18969,1099,14058,1075,283,212,7262,1153,4286,831,1200,381,276,132,751,212,4911,922,1176,504,3329,779,295,294,89,73,11,29,11,29
63,Gage Park,39444,1744,23527,1735,977,538,9814,1389,10374,1351,1538,515,440,197,384,144,15917,1702,2779,815,11991,1600,1006,351,96,78,10,43,35,52
64,Clearing,22706,981,17615,896,368,197,8194,860,4379,727,1769,593,893,264,2012,438,5091,868,1410,485,3402,798,198,99,24,40,13,36,44,62
65,West Lawn,32935,1269,26658,1359,698,412,16708,1460,6254,1020,1134,327,903,333,961,259,6277,1123,1021,592,4403,933,632,385,92,79,21,45,108,94
66,Chicago Lawn,54585,2223,27211,1946,283,224,12085,1740,9631,1316,3419,678,1488,398,305,140,27374,2164,5608,1201,19318,1869,1794,568,449,239,157,161,48,82
67,West Englewood,35043,1617,15722,1219,597,367,3372,749,2320,673,2177,497,5301,736,1955,405,19321,1500,3415,718,12503,1313,1657,566,458,263,1060,422,228,166
68,Englewood,28684,1517,8653,1022,143,149,2471,649,1134,403,1140,418,1077,408,2688,546,20031,1457,4383,833,12349,1345,1921,558,876,263,353,204,149,88
69,Greater Grand Crossing,32405,1519,11831,1058,242,185,3500,748,2302,575,1909,501,1313,435,2565,539,20574,1428,3247,666,13258,1291,2427,655,839,365,358,165,445,235
70,Ashburn,42292,1588,36733,1702,842,354,16868,1805,12521,1422,3002,755,1875,718,1625,402,5559,1111,896,546,3691,980,682,329,53,72,130,170,107,106
71,Auburn Gresham,49561,1881,24574,1541,149,91,5509,996,4844,893,2509,594,6209,998,5354,894,24987,1704,4282,898,16496,1574,2125,621,1081,442,679,298,324,273
72,Beverly,21203,812,18153,801,261,188,6832,714,4394,639,3253,565,2270,417,1143,254,3050,565,211,181,1831,444,548,450,164,118,271,187,25,47
73,Washington Heights,25804,1155,17578,1093,277,201,4158,705,2873,625,2034,577,4130,785,4106,624,8226,1068,1137,436,5327,897,778,419,292,207,458,255,234,189
74,Mount Greenwood,17907,771,16678,758,291,179,6313,771,5277,856,2518,690,996,220,1283,257,1229,374,185,109,816,340,72,58,132,149,24,42,0,25
75,Morgan Park,22280,1067,17287,1030,400,237,5424,833,4631,887,2337,515,2034,424,2461,562,4993,907,562,288,3530,786,197,89,184,165,175,198,345,314
76,O'Hare,13674,1091,6681,927,436,325,3733,884,1172,449,760,287,344,125,236,191,6993,1141,1020,359,5252,1139,460,316,195,132,44,64,22,49
77,Edgewater,52728,1661,21596,1399,726,315,11737,1024,5066,815,2414,592,1059,295,594,183,31132,1658,7393,981,19776,1512,2901,681,781,266,175,134,106,89
