area_id,area_name,b07011001,b07011001_moe,b07011002,b07011002_moe,b07011003,b07011003_moe,b07011004,b07011004_moe,b07011005,b07011005_moe,b07011006,b07011006_moe
1,Rogers Park,80780,11179,102666,12838,50519,20752,56136,38728,59271,25777,35843,64551
2,West Ridge,21886,5272,25053,6434,19921,4853,16103,567,25947,13735,6477,3341
3,Uptown,123465,14125,136825,18128,122780,39806,77666,45891,85561,29820,49831,67912
6,Lake View,369389,18215,418296,22744,330502,57946,179734,105261,265625,79241,350974,178678
7,Lincoln Park,203209,14545,237261,21029,167822,43250,161541,103387,147511,56923,136988,89927
8,Near North Side,611676,31077,674205,39923,554649,75012,337323,153118,481318,149552,627416,227343
13,North Park,48894,4951,54383,8989,34905,12898,22813,5321,24459,12023,15512,231693
21,Avondale,29793,3204,29613,3275,36111,15810,15750,75301,22375,35408,25703,23447
22,Logan Square,104899,15618,112444,20784,84325,33977,108725,85580,107260,24391,89713,47041
24,West Town,167882,10106,173305,10275,154283,30680,84533,66322,130452,114010,212041,158123
28,Near West Side,172910,18365,208005,28417,129142,53256,86952,57783,116369,61405,79695,54433
32,Loop,205490,19367,229686,17580,180395,63401,150276,196065,95620,147347,305540,201510
33,Near South Side,53995,2846,55459,5996,45313,23347,45733,9230,52608,23174,18839,136940
34,Armour Square,11489,2442,12813,5577,12727,8194,20938,43201,5556,3463,6793,2499
35,Douglas,40174,5702,46614,7747,34992,19859,46714,31586,35291,2723,30716,33934
41,Hyde Park,92891,13082,116208,26511,61027,15965,34321,12789,44397,24589,47389,27752
60,Bridgeport,21655,2457,20596,2505,24943,16872,31875,21312,46548,33767,4609,6404
63,Gage Park,19557,3792,20566,4945,18732,4580,4241,5461,7188,38185,14769,144
76,O'Hare,60797,7994,58346,7112,71802,14918,80147,15555,89796,78406,65864,6426
77,Edgewater,96647,13116,107729,11493,91121,43580,53968,12718,47912,50691,46294,83562
