area_id,area_name,b11002a001,b11002a001_moe,b11002a002,b11002a002_moe,b11002a003,b11002a003_moe,b11002a004,b11002a004_moe,b11002a005,b11002a005_moe,b11002a006,b11002a006_moe,b11002a007,b11002a007_moe,b11002a008,b11002a008_moe,b11002a009,b11002a009_moe,b11002a010,b11002a010_moe,b11002a011,b11002a011_moe,b11002a012,b11002a012_moe
1,Rogers Park,29113,1705,16155,1595,11548,1396,11396,1349,152,146,1914,698,1647,592,267,195,2693,807,2487,766,206,114,12958,1039
2,West Ridge,40352,2338,33047,2411,25693,2274,25693,2274,0,51,2613,1007,2359,835,254,218,4741,955,4586,925,155,126,7305,704
3,Uptown,31590,1352,14503,1333,11392,1223,11248,1180,144,127,721,292,691,289,30,51,2390,637,2293,617,97,72,17087,917
4,Lincoln Square,28367,1300,17903,1352,14886,1245,14855,1245,31,49,709,357,634,331,75,75,2308,570,2228,553,80,63,10464,729
5,North Center,30219,1136,20322,1186,17474,1135,17303,1122,171,122,965,387,812,339,153,86,1883,433,1778,406,105,80,9897,723
6,Lake View,82746,1874,34751,1760,29464,1623,29340,1613,124,116,1880,534,1617,473,263,131,3407,783,2950,603,457,305,47995,1514
7,Lincoln Park,53804,1689,26778,1668,23937,1647,23850,1643,87,99,877,349,767,317,110,75,1964,470,1736,391,228,126,27026,1180
8,Near North Side,60190,1716,26814,1585,24060,1532,23988,1519,72,92,967,414,871,361,96,145,1787,533,1787,533,0,54,33376,1341
9,Edison Park,10806,510,8732,580,7125,581,7098,578,27,46,546,251,538,249,8,27,1061,390,1014,370,47,54,2074,324
10,Norwood Park,32751,1197,27560,1342,22303,1333,22229,1332,74,60,1342,422,1280,400,62,59,3915,820,3810,804,105,77,5191,443
11,Jefferson Park,21393,1319,17789,1429,13313,1384,13207,1370,106,87,1690,641,1428,522,262,164,2786,670,2684,646,102,82,3604,385
12,Forest Glen,14890,681,12971,747,11451,744,11444,743,7,29,638,375,554,308,84,87,882,313,873,312,9,31,1919,269
13,North Park,10464,845,8404,860,6478,783,6440,773,38,51,977,551,910,533,67,61,949,377,930,371,19,39,2060,293
14,Albany Park,23177,1563,17755,1618,13427,1390,13203,1337,224,166,1658,628,1558,601,100,81,2670,719,2536,673,134,123,5422,606
15,Portage Park,42390,1769,34678,1870,25558,1675,25363,1648,195,165,2021,587,1796,529,225,104,7099,1234,6782,1181,317,145,7712,614
16,Irving Park,37276,1896,29597,1911,21270,1688,21130,1676,140,89,2827,842,2602,753,225,147,5500,916,5168,855,332,182,7679,642
17,Dunning,35806,1381,30780,1528,22620,1503,22402,1467,218,137,2436,642,2303,622,133,79,5724,903,5616,893,108,63,5026,546
18,Montclare,7838,780,6406,821,4149,715,4092,702,57,66,796,392,728,353,68,78,1461,523,1380,491,81,79,1432,265
19,Belmont Cragin,31225,2208,27332,2251,17561,1747,17281,1713,280,195,3247,976,2762,801,485,347,6524,1289,6140,1229,384,156,3893,446
20,Hermosa,9531,1105,8517,1115,5196,892,5196,892,0,29,1084,455,982,409,102,84,2237,765,2033,680,204,133,1014,262
21,Avondale,30828,1890,25173,1997,15590,1658,15311,1630,279,158,2858,863,2546,801,312,172,6725,1261,6433,1236,292,129,5655,612
22,Logan Square,59710,2047,40707,2146,27376,1932,27280,1924,96,82,5234,1061,4563,944,671,209,8097,1080,7621,1011,476,166,19003,977
23,Humboldt Park,14391,1386,11881,1394,6826,1145,6670,1107,156,129,1511,565,1405,530,106,74,3544,896,3311,828,233,158,2510,417
24,West Town,63660,1899,35872,1861,26495,1618,26284,1589,211,154,2439,583,2193,527,246,128,6938,1049,6434,937,504,207,27788,1186
25,Austin,7849,794,6660,786,5041,663,4999,655,42,69,323,232,279,208,44,70,1296,452,1213,441,83,71,1189,238
26,West Garfield Park,396,260,297,235,194,188,183,173,11,37,0,35,0,35,0,35,103,146,103,146,0,35,99,116
27,East Garfield Park,662,240,476,223,317,180,317,180,0,38,68,112,51,88,17,45,91,94,91,94,0,38,186,110
28,Near West Side,24071,1154,12171,1010,9913,844,9867,842,46,61,670,346,630,341,40,56,1588,515,1496,487,92,82,11900,792
29,North Lawndale,1116,322,929,318,740,264,740,264,0,43,110,151,89,120,21,53,79,89,75,87,4,42,187,95
30,South Lawndale,45087,2295,41521,2347,25331,2052,25124,2039,207,159,5700,1199,4876,1030,824,281,10490,1360,9607,1255,883,224,3566,606
31,Lower West Side,17947,1510,13588,1477,7755,1246,7740,1244,15,46,1983,581,1768,537,215,104,3850,780,3650,743,200,95,4359,609
32,Loop,16399,1106,8645,1164,7542,1073,7542,1073,0,30,352,289,322,277,30,54,751,384,708,359,43,73,7754,781
33,Near South Side,10351,1045,5760,933,4980,934,4940,929,40,42,130,124,102,97,28,33,650,287,624,281,26,26,4591,656
34,Armour Square,1787,316,1304,306,938,274,921,272,17,35,188,121,170,111,18,34,178,148,178,148,0,27,483,159
35,Douglas,1170,292,704,268,565,226,565,226,0,35,87,139,87,139,0,35,52,50,49,49,3,34,466,135
36,Oakland,355,203,355,203,261,195,261,195,0,19,0,19,0,19,0,19,94,95,94,95,0,19,0,19
37,Fuller Park,95,81,86,81,76,78,76,78,0,16,10,20,10,20,0,16,0,16,0,16,0,16,9,17
38,Grand Boulevard,985,390,806,375,651,324,651,324,0,43,0,43,0,43,0,43,155,187,155,187,0,43,179,112
39,Kenwood,3533,451,2117,394,1827,370,1796,368,31,38,91,123,91,123,0,31,199,128,186,119,13,34,1416,288
40,Washington Park,44,56,40,55,40,55,40,55,0,27,0,27,0,27,0,27,0,27,0,27,0,27,4,25
41,Hyde Park,11641,903,6461,717,5774,687,5670,666,104,121,171,109,148,95,23,44,516,221,485,196,31,60,5180,657
42,Woodlawn,1222,268,916,248,713,215,713,215,0,36,109,107,80,79,29,56,94,87,94,87,0,36,306,120
43,South Shore,721,345,520,335,251,202,251,202,0,44,0,44,0,44,0,44,269,304,257,302,12,47,201,102
44,Chatham,97,71,19,46,0,37,0,37,0,37,0,37,0,37,0,37,19,46,19,46,0,37,78,65
45,Avalon Park,166,176,117,166,117,166,117,166,0,19,0,19,0,19,0,19,0,19,0,19,0,19,49,61
46,South Chicago,5606,788,4864,784,3244,676,3244,676,0,37,996,425,920,396,76,53,624,272,572,248,52,49,742,188
47,Burnside,42,64,42,64,0,11,0,11,0,11,0,11,0,11,0,11,42,64,42,64,0,11,0,11
48,Calumet Heights,329,166,243,162,75,67,75,67,0,27,61,106,36,64,25,51,107,110,90,97,17,34,86,65
49,Roseland,248,124,93,88,17,56,17,56,0,41,32,61,32,61,0,41,44,63,44,63,0,41,155,97
50,Pullman,876,191,617,202,455,221,455,221,0,19,41,53,31,42,10,20,121,109,121,109,0,19,259,82
51,South Deering,3677,580,3288,603,1893,514,1893,514,0,25,211,144,200,135,11,28,1184,481,1087,444,97,78,389,158
52,East Side,17724,1445,16123,1478,10455,1306,10426,1305,29,43,1458,578,1201,464,257,171,4210,977,4123,954,87,65,1601,381
53,West Pullman,921,357,857,361,723,346,723,346,0,39,109,127,73,92,36,67,25,53,25,53,0,39,64,53
54,Riverdale,133,85,133,85,86,63,86,63,0,16,47,79,47,79,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,8130,923,6664,972,4677,925,4658,922,19,32,792,389,716,357,76,70,1195,526,1120,466,75,88,1466,357
56,Garfield Ridge,25170,1124,21896,1182,17053,1188,17023,1185,30,48,1927,606,1778,569,149,112,2916,574,2800,552,116,73,3274,333
57,Archer Heights,8808,874,8098,874,5572,825,5445,812,127,68,1188,430,1018,357,170,129,1338,437,1310,422,28,39,710,172
58,Brighton Park,28205,1816,25748,1849,17426,1662,17212,1632,214,134,2702,816,2432,734,270,133,5620,1071,5103,971,517,193,2457,458
59,McKinley Park,8510,912,7160,932,4781,858,4760,855,21,28,641,326,512,247,129,96,1738,520,1620,489,118,72,1350,291
60,Bridgeport,15668,1030,11716,1039,7379,859,7314,850,65,63,1264,394,1083,338,181,87,3073,631,2913,604,160,78,3952,437
61,New City,19604,1508,17911,1529,11328,1297,11298,1293,30,52,2833,715,2532,636,301,135,3750,797,3484,734,266,125,1693,335
62,West Elsdon,12432,1251,11568,1253,7697,1260,7619,1256,78,62,1508,617,1427,578,81,73,2363,682,2288,652,75,70,864,187
63,Gage Park,22309,1809,21119,1842,14910,1739,14655,1701,255,236,1702,618,1562,573,140,90,4507,1150,4041,1024,466,224,1190,220
64,Clearing,17238,966,14365,1056,9641,1048,9622,1049,19,36,1806,625,1491,492,315,147,2918,651,2733,582,185,128,2873,378
65,West Lawn,12834,1219,11586,1217,9013,1169,8895,1151,118,109,726,296,668,270,58,59,1847,524,1658,465,189,117,1248,248
66,Chicago Lawn,6735,955,6180,941,4154,760,4093,752,61,67,618,330,560,286,58,84,1408,477,1305,438,103,81,555,158
67,West Englewood,367,223,276,210,189,187,166,158,23,60,48,89,36,74,12,50,39,77,39,77,0,48,91,89
68,Englewood,185,155,86,99,0,36,0,36,0,36,0,36,0,36,0,36,86,99,86,99,0,36,99,123
69,Greater Grand Crossing,225,182,130,157,33,54,33,54,0,38,0,38,0,38,0,38,97,152,85,136,12,40,95,100
70,Ashburn,12068,1234,10759,1265,8155,1168,8104,1163,51,70,954,427,913,408,41,55,1650,497,1614,488,36,45,1309,228
71,Auburn Gresham,205,186,182,184,95,141,95,141,0,46,64,120,58,111,6,46,23,58,23,58,0,46,23,49
72,Beverly,13364,584,11706,611,10156,621,10145,621,11,32,615,260,525,218,90,71,935,301,906,295,29,40,1658,215
73,Washington Heights,173,173,136,174,0,33,0,33,0,33,0,33,0,33,0,33,136,174,108,133,28,56,37,48
74,Mount Greenwood,16867,751,15044,834,12838,925,12834,926,4,26,894,385,835,362,59,68,1312,372,1287,366,25,35,1823,280
75,Morgan Park,7302,477,6005,514,4798,460,4773,452,25,48,269,189,241,165,28,45,938,407,837,349,101,115,1297,284
76,O'Hare,11216,1219,8470,1327,6584,1257,6584,1257,0,38,1254,629,1198,573,56,79,632,325,632,325,0,38,2746,364
77,Edgewater,34840,1509,16949,1474,12731,1254,12696,1254,35,63,1754,816,1584,741,170,122,2464,623,2305,589,159,96,17891,1026
