area_id,area_name,b05003f001,b05003f001_moe,b05003f002,b05003f002_moe,b05003f003,b05003f003_moe,b05003f004,b05003f004_moe,b05003f005,b05003f005_moe,b05003f006,b05003f006_moe,b05003f007,b05003f007_moe,b05003f008,b05003f008_moe,b05003f009,b05003f009_moe,b05003f010,b05003f010_moe,b05003f011,b05003f011_moe,b05003f012,b05003f012_moe,b05003f013,b05003f013_moe,b05003f014,b05003f014_moe,b05003f015,b05003f015_moe,b05003f016,b05003f016_moe,b05003f017,b05003f017_moe,b05003f018,b05003f018_moe,b05003f019,b05003f019_moe,b05003f020,b05003f020_moe,b05003f021,b05003f021_moe,b05003f022,b05003f022_moe,b05003f023,b05003f023_moe
27,East Garfield Park,155,96,89,69,9,39,9,39,0,38,0,38,0,38,80,67,47,51,33,57,0,38,33,57,66,68,16,45,16,45,0,38,0,38,0,38,50,57,22,37,28,56,28,56,0,38
28,Near West Side,1699,442,865,299,225,171,221,170,4,52,0,52,4,52,640,198,472,181,168,103,73,76,95,85,834,202,147,103,147,103,0,52,0,52,0,52,687,173,500,150,187,101,139,92,48,67
29,North Lawndale,900,327,613,265,145,96,145,96,0,43,0,43,0,43,468,241,101,78,367,237,89,74,278,200,287,120,41,59,41,59,0,43,0,43,0,43,246,114,114,78,132,84,56,57,76,65
30,South Lawndale,14132,1741,7534,1000,2197,454,1987,429,210,120,0,48,210,120,5337,724,1851,399,3486,562,769,196,2717,531,6598,874,2300,447,2137,436,163,128,0,48,163,128,4298,556,1338,288,2960,438,919,211,2041,381
31,Lower West Side,16090,1684,8726,1041,2347,433,2106,392,241,113,10,45,231,111,6379,801,1779,359,4600,686,875,214,3725,657,7364,832,2387,423,2130,395,257,126,60,80,197,103,4977,580,1452,313,3525,450,1049,218,2476,396
32,Loop,789,360,393,171,0,30,0,30,0,30,0,30,0,30,393,171,159,123,234,126,118,122,116,96,396,307,0,30,0,30,0,30,0,30,0,30,396,307,307,295,89,93,31,58,58,79
33,Near South Side,463,250,161,115,15,29,15,29,0,24,0,24,0,24,146,112,105,88,41,69,0,24,41,69,302,205,18,35,18,35,0,24,0,24,0,24,284,198,235,193,49,62,35,57,14,27
34,Armour Square,435,279,225,163,27,42,27,42,0,27,0,27,0,27,198,153,45,59,153,143,1,25,152,143,210,161,0,27,0,27,0,27,0,27,0,27,210,161,97,95,113,97,11,31,102,96
35,Douglas,269,141,148,88,21,43,21,43,0,35,0,35,0,35,127,84,44,57,83,71,45,57,38,53,121,84,15,37,15,37,0,35,0,35,0,35,106,79,63,65,43,57,0,35,43,57
36,Oakland,82,78,62,57,0,19,0,19,0,19,0,19,0,19,62,57,39,45,23,40,0,19,23,40,20,34,0,19,0,19,0,19,0,19,0,19,20,34,20,34,0,19,0,19,0,19
