area_id,area_name,b20017f001,b20017f001_moe,b20017f002,b20017f002_moe,b20017f003,b20017f003_moe,b20017f004,b20017f004_moe,b20017f005,b20017f005_moe,b20017f006,b20017f006_moe,b20017f007,b20017f007_moe
1,Rogers Park,31409,13760,45634,22085,50488,21219,27237,29820,26484,3285,26504,11689,25623,17486
2,West Ridge,16667,3227,16023,7461,18773,90,6910,13007,19348,11743,21534,27206,17880,28802
3,Uptown,34255,1959,31250,13782,35500,14372,5833,2946,34255,1623,33918,688,35921,24638
12,Forest Glen,30332,18663,40625,7342,41583,8197,6350,54100,18102,7705,18704,981,8750,13307
13,North Park,30568,8381,33870,17425,61765,34936,24664,9282,23248,14605,54290,30470,16775,18219
14,Albany Park,136358,17863,155061,27266,192473,24024,105541,40910,121709,25323,165217,22362,92771,45826
15,Portage Park,196276,24597,205550,32840,240812,53105,151352,152782,197197,60883,269355,56934,75526,57694
16,Irving Park,93254,25057,91667,14998,127070,60040,56597,18483,78934,21833,91762,98160,41996,32808
17,Dunning,25962,7832,27212,19426,27464,22392,14180,31688,16667,4147,17240,126159,9750,67
18,Montclare,24375,8259,24559,12892,25781,26447,23824,17134,23929,12757,33173,19821,7188,3967
19,Belmont Cragin,337820,22178,393874,34390,494538,34830,204451,39174,273457,22071,376979,62614,165068,28290
20,Hermosa,134062,10345,159228,28055,175776,17364,71933,45016,116106,18893,160036,30459,60117,18240
21,Avondale,102745,24651,115188,27434,161904,37273,57232,19152,82702,20885,108148,68498,47925,77812
22,Logan Square,51326,21408,66225,41156,70544,9826,18174,15491,42999,24917,43988,34661,24889,44968
23,Humboldt Park,191205,18657,214808,34790,265435,37610,128642,90161,163772,28130,222102,35564,107806,66388
24,West Town,144028,61547,152275,97200,248064,82039,55008,104169,110676,54211,209962,59699,66510,26916
25,Austin,34196,10611,37750,30875,52031,28067,16618,26035,32989,24609,38542,12893,8292,4997
28,Near West Side,54334,41121,72679,130887,130229,92772,40972,52011,28063,35377,88486,65417,13229,11779
29,North Lawndale,9839,6343,9456,464,14023,4524,8669,302,42583,30076,43417,14093,22500,50388
30,South Lawndale,170608,34153,200462,33096,266770,43003,129529,37786,184450,54520,286567,93159,99232,28461
31,Lower West Side,166229,16575,183330,19640,221388,26910,120330,20777,132243,28022,205833,77436,79721,12833
51,South Deering,17428,9597,24397,10728,24009,13191,32989,28670,11617,1753,32885,33309,11162,4780
52,East Side,120466,33192,129121,33837,165133,29403,69088,39233,108322,55881,161631,56264,44341,26847
56,Garfield Ridge,51033,19557,66313,56961,109086,56331,29836,38632,48614,6059,55559,25885,22788,7867
57,Archer Heights,64449,15866,64345,24487,92555,22207,44262,30579,59515,5393,77552,23246,53423,17834
58,Brighton Park,163279,25895,173324,42345,257417,55375,125728,35461,136093,31648,201078,48112,67750,17574
59,McKinley Park,96542,18826,111503,31542,135878,32620,77336,40558,71449,28507,103144,39546,44845,49105
60,Bridgeport,27054,9129,24299,76599,73295,198426,16793,10425,28239,6315,27188,1871,33500,50386
61,New City,116430,10110,126037,16658,171596,43543,81595,32281,89172,20816,132890,34356,69242,37802
62,West Elsdon,95301,13794,100929,18203,141828,36649,68897,16853,91398,24194,149016,24645,29123,39437
63,Gage Park,134142,13058,159205,17656,187749,19256,113966,23740,104550,19583,147354,13149,64371,14362
64,Clearing,115265,20346,191567,71261,205950,55922,121362,82951,94611,20234,130767,30707,82806,45377
65,West Lawn,169354,13857,180816,22222,202749,28267,128565,57979,148431,19460,180234,24421,84937,23363
66,Chicago Lawn,161633,37620,176214,23056,192791,32500,117236,31196,119626,38687,191095,26293,72098,24628
70,Ashburn,77730,10271,84866,9856,99484,27341,65966,28967,56020,23983,88859,14194,33572,8197
