area_id,area_name,b20017d001,b20017d001_moe,b20017d002,b20017d002_moe,b20017d003,b20017d003_moe,b20017d004,b20017d004_moe,b20017d005,b20017d005_moe,b20017d006,b20017d006_moe,b20017d007,b20017d007_moe
1,Rogers Park,65989,36438,116951,68872,142519,41481,25398,46206,25827,33018,54018,50482,22262,18741
2,West Ridge,183811,27427,189435,19982,230262,33648,83132,57671,145109,47872,257596,66663,57672,23363
3,Uptown,105725,59758,95603,115920,209830,21399,46705,12338,100306,51591,135770,82943,41586,33293
4,Lincoln Square,195191,47857,178987,54816,255448,106112,141295,61098,178758,113117,313468,153082,87032,99914
6,Lake View,261110,43282,311803,136603,372261,162510,98102,294739,245038,53472,274205,88418,110464,52629
7,Lincoln Park,106121,78164,149840,75223,204156,100495,126190,86880,85146,217861,362867,244846,57934,129785
8,Near North Side,527785,108411,579728,135031,679772,242486,364490,200303,441764,169902,665234,202140,157842,152551
10,Norwood Park,41838,22437,41250,37521,72292,15726,4779,37846,42159,40844,40682,34810,102321,2031
11,Jefferson Park,121673,59849,101418,86233,190665,176538,23260,63070,135674,212199,252683,169241,30779,38009
12,Forest Glen,53894,11336,53594,16265,63665,18757,3872,14967,54728,20170,64250,36550,17222,67206
13,North Park,81153,11498,83693,31900,106622,71735,43412,22957,77843,11994,93514,28778,39136,30513
14,Albany Park,196547,42237,173673,73199,278840,83434,124272,214255,203123,47057,265876,80837,131010,48947
15,Portage Park,100272,23186,95866,17528,111745,41311,85113,63493,96305,87068,157947,58647,26477,168788
16,Irving Park,161596,60981,208361,45797,219426,100958,110725,85558,222686,176902,358326,210564,105073,62097
19,Belmont Cragin,72813,53115,72917,48314,105750,49434,44306,54799,47250,79462,83125,59347,17679,32559
28,Near West Side,396866,61683,450052,76831,589458,83981,298121,121253,370036,70875,574734,92146,146231,44602
32,Loop,203188,57080,256747,90503,316031,68962,102968,94851,168166,27107,317152,147863,74792,71051
33,Near South Side,118437,18254,138042,33028,142731,40078,51607,26383,110671,21989,116141,29218,55219,94008
34,Armour Square,44122,7606,51424,20210,85287,30979,30717,7107,44266,8043,65351,27111,28047,6374
35,Douglas,61092,19285,73851,22507,99609,32719,16188,18732,47795,8492,117867,58634,37403,9444
39,Kenwood,12039,11393,5833,21929,41563,19952,3815,3314,14519,14064,43500,40279,12083,2905
41,Hyde Park,76096,15806,80347,57068,137598,46345,37875,30990,77560,27135,98317,24700,62396,33643
58,Brighton Park,119124,47233,108306,137935,282071,179742,42232,16064,139294,52784,183429,63186,79140,100660
59,McKinley Park,60799,21133,45987,46747,88906,54171,16129,56383,67358,18510,93792,32825,40831,11141
60,Bridgeport,173784,35904,222561,80806,349053,80929,100427,61497,165953,57960,280276,52092,96193,17146
61,New City,33194,26864,31806,32238,52951,48427,21250,29536,35833,30121,43333,20162,10625,10285
76,O'Hare,25804,21344,41806,18532,42465,25294,25804,48600,22232,2736,35804,24858,20119,22347
77,Edgewater,160024,80801,237385,134109,389178,119720,75976,74176,202495,78921,280356,129475,157862,92638
