area_id,area_name,b08203001,b08203001_moe,b08203002,b08203002_moe,b08203003,b08203003_moe,b08203004,b08203004_moe,b08203005,b08203005_moe,b08203006,b08203006_moe,b08203007,b08203007_moe,b08203008,b08203008_moe,b08203009,b08203009_moe,b08203010,b08203010_moe,b08203011,b08203011_moe,b08203012,b08203012_moe,b08203013,b08203013_moe,b08203014,b08203014_moe,b08203015,b08203015_moe,b08203016,b08203016_moe,b08203017,b08203017_moe,b08203018,b08203018_moe,b08203019,b08203019_moe,b08203020,b08203020_moe,b08203021,b08203021_moe,b08203022,b08203022_moe,b08203023,b08203023_moe,b08203024,b08203024_moe,b08203025,b08203025_moe,b08203026,b08203026_moe,b08203027,b08203027_moe,b08203028,b08203028_moe,b08203029,b08203029_moe,b08203030,b08203030_moe
63,Gage Park,9405,238,1350,213,3300,337,3207,352,983,214,565,160,1930,242,742,168,801,178,358,115,0,41,29,44,3605,323,536,143,1551,250,1141,212,261,117,116,66,2371,288,56,49,702,176,1109,229,366,129,138,79,1499,256,16,46,246,110,599,187,356,129,282,118
64,Clearing,8389,219,757,191,3700,360,2952,324,714,153,266,135,2069,240,496,148,1291,231,256,89,6,32,20,35,3299,328,225,110,1818,281,1065,233,183,75,8,32,2240,293,32,49,466,165,1428,232,291,108,23,37,781,180,4,30,125,87,203,90,234,100,215,130
65,West Lawn,9111,215,911,185,3605,343,3089,328,1095,219,411,132,1873,255,571,144,831,176,364,115,107,89,0,34,3528,347,287,126,1886,295,1098,229,213,120,44,42,2580,294,40,47,807,210,1291,233,370,121,72,71,1130,211,13,37,81,62,336,125,405,141,295,110
66,Chicago Lawn,15416,427,3829,399,6700,479,3407,380,1147,200,333,119,4252,399,2168,307,1657,259,356,125,71,58,0,49,6759,481,1382,279,3698,383,1259,245,351,128,69,69,3452,359,202,108,1185,248,1479,263,437,133,149,84,953,201,77,75,160,96,313,114,288,107,115,79
67,West Englewood,10364,339,3729,323,4550,336,1520,211,418,121,147,76,4598,328,2289,264,1824,236,368,112,85,64,32,52,4104,324,1178,198,2160,258,618,144,117,69,31,50,1322,196,191,83,489,123,428,114,179,90,35,62,340,107,71,71,77,60,106,71,37,52,49,60
68,Englewood,9803,383,4842,353,3525,329,1194,221,189,92,53,42,4911,355,3258,303,1325,222,325,106,3,35,0,36,3583,341,1372,230,1754,246,428,130,21,36,8,37,1110,200,203,88,346,107,396,142,132,88,33,41,199,87,9,37,100,71,45,47,33,52,12,36
69,Greater Grand Crossing,12605,368,4760,370,5769,403,1608,228,350,116,118,77,5201,378,2795,312,1986,252,284,91,107,76,29,50,5480,374,1617,248,3123,330,637,160,97,69,6,39,1616,239,317,124,540,155,622,154,101,54,36,52,308,107,31,50,120,75,65,55,45,48,47,56
70,Ashburn,12780,230,833,196,4298,404,5462,461,1545,234,642,178,2672,279,541,165,1317,206,716,170,90,78,8,39,4851,401,292,110,2250,316,1886,309,305,118,118,95,4019,367,0,41,641,188,2530,348,630,158,218,112,1238,230,0,41,90,61,330,134,520,166,298,121
71,Auburn Gresham,17173,440,5929,450,7086,475,3307,352,734,178,117,82,7038,481,3203,356,2750,320,964,196,121,76,0,46,7111,491,2157,303,3543,387,1170,217,231,101,10,47,2555,344,463,146,678,177,1085,226,283,134,46,62,469,142,106,84,115,81,88,73,99,73,61,67
72,Beverly,7705,196,456,148,2881,278,3131,237,970,181,267,90,1733,211,239,111,990,170,441,106,63,45,0,29,3153,280,194,94,1637,249,1026,164,229,96,67,54,2319,227,16,31,242,93,1517,195,474,132,70,44,500,108,7,29,12,28,147,59,204,74,130,68
73,Washington Heights,9308,303,1816,258,4448,371,2215,277,645,146,184,94,3334,308,1035,204,1607,227,563,157,127,71,2,32,4165,364,687,190,2281,313,875,179,275,107,47,63,1579,237,94,82,552,165,639,152,195,79,99,73,230,102,0,33,8,34,138,91,48,45,36,43
74,Mount Greenwood,6589,208,325,94,1971,249,3260,261,687,161,346,146,1253,181,213,78,618,132,332,103,26,31,64,88,2855,267,101,55,1286,223,1327,214,104,59,37,38,1980,254,11,28,67,46,1482,236,342,122,78,45,501,132,0,25,0,25,119,73,215,90,167,89
75,Morgan Park,8009,269,1068,202,3126,335,2817,289,792,196,206,93,2385,251,665,166,1240,204,468,120,0,31,12,34,3168,323,343,118,1674,297,847,164,255,100,49,49,1982,255,52,47,155,77,1445,238,287,107,43,39,474,161,8,32,57,55,57,42,250,137,102,77
76,O'Hare,6108,207,606,184,3259,320,1883,304,303,143,57,65,1261,253,199,105,689,185,359,160,0,38,14,42,3076,336,314,146,2059,318,600,190,103,99,0,38,1568,279,93,79,472,176,832,210,163,113,8,39,203,139,0,38,39,63,92,96,37,68,35,62
77,Edgewater,29110,543,11683,664,13429,664,3511,400,277,106,210,123,7632,537,4651,446,2538,344,319,124,28,56,96,110,14894,666,5789,529,7886,580,1143,247,40,55,36,50,5784,489,1054,236,2858,388,1712,280,148,88,12,49,800,211,189,109,147,86,337,149,61,59,66,67
