area_id,area_name,b18101a001,b18101a001_moe,b18101a002,b18101a002_moe,b18101a003,b18101a003_moe,b18101a004,b18101a004_moe,b18101a005,b18101a005_moe,b18101a006,b18101a006_moe,b18101a007,b18101a007_moe,b18101a008,b18101a008_moe,b18101a009,b18101a009_moe,b18101a010,b18101a010_moe
1,Rogers Park,29289,1697,3726,604,11,45,3715,604,23314,1345,1555,305,21759,1320,2249,353,885,224,1364,257
2,West Ridge,39918,2305,9541,1222,132,115,9409,1216,24341,1528,2203,382,22138,1471,6036,526,2584,366,3452,437
3,Uptown,31852,1345,2676,511,68,63,2608,506,26241,1119,1532,310,24709,1066,2935,369,1505,283,1430,255
4,Lincoln Square,27470,1215,3673,481,133,99,3540,456,21175,871,1071,253,20104,868,2622,376,962,215,1660,300
5,North Center,29713,1088,5556,512,169,103,5387,511,22073,797,725,198,21348,783,2084,290,795,180,1289,250
6,Lake View,82627,1779,7811,683,108,92,7703,679,69252,1507,2358,363,66894,1490,5564,450,2060,283,3504,385
7,Lincoln Park,55491,1707,7314,803,282,207,7032,685,44129,1273,1152,247,42977,1254,4048,372,1079,218,2969,331
8,Near North Side,60842,1674,2832,467,77,72,2755,460,47297,1521,1151,249,46146,1518,10713,621,2768,403,7945,586
9,Edison Park,10637,549,2084,299,0,25,2084,299,6932,434,459,158,6473,423,1621,156,558,119,1063,140
10,Norwood Park,32522,1161,6209,669,159,89,6050,666,19674,801,1543,311,18131,767,6639,353,2456,286,4183,327
11,Jefferson Park,21485,1268,4310,639,44,48,4266,639,13786,864,899,203,12887,853,3389,362,1219,221,2170,331
12,Forest Glen,14406,687,3187,310,84,76,3103,316,8410,494,574,168,7836,488,2809,202,908,184,1901,211
13,North Park,10555,849,1944,419,131,149,1813,365,6508,624,565,191,5943,622,2103,308,688,178,1415,306
14,Albany Park,22587,1396,4250,591,177,102,4073,575,16327,976,1518,300,14809,931,2010,324,1037,235,973,228
15,Portage Park,41376,1712,7509,785,179,89,7330,780,27709,1186,2312,359,25397,1137,6158,482,2444,343,3714,364
16,Irving Park,36996,1890,7992,763,392,162,7600,720,25638,1357,2328,384,23310,1301,3366,382,1283,248,2083,281
17,Dunning,35635,1358,5857,556,148,82,5709,548,23818,1004,1556,289,22262,988,5960,364,2244,261,3716,342
