area_id,area_name,c23002f001,c23002f001_moe,c23002f002,c23002f002_moe,c23002f003,c23002f003_moe,c23002f004,c23002f004_moe,c23002f005,c23002f005_moe,c23002f006,c23002f006_moe,c23002f007,c23002f007_moe,c23002f008,c23002f008_moe,c23002f009,c23002f009_moe,c23002f010,c23002f010_moe,c23002f011,c23002f011_moe,c23002f012,c23002f012_moe,c23002f013,c23002f013_moe,c23002f014,c23002f014_moe,c23002f015,c23002f015_moe,c23002f016,c23002f016_moe,c23002f017,c23002f017_moe,c23002f018,c23002f018_moe,c23002f019,c23002f019_moe,c23002f020,c23002f020_moe,c23002f021,c23002f021_moe,c23002f022,c23002f022_moe,c23002f023,c23002f023_moe,c23002f024,c23002f024_moe,c23002f025,c23002f025_moe,c23002f026,c23002f026_moe,c23002f027,c23002f027_moe
1,Rogers Park,3364,748,2132,529,2092,528,1855,515,0,48,1855,515,1755,508,100,82,237,139,40,54,14,50,0,48,14,50,26,48,1232,339,1199,334,691,224,0,48,691,224,625,220,66,71,508,187,33,52,0,48,0,48,0,48,33,52
2,West Ridge,3936,944,1963,502,1765,476,1555,417,0,51,1555,417,1462,412,93,93,210,199,198,170,84,138,84,138,0,51,114,113,1973,509,1686,436,955,289,0,51,955,289,813,258,142,108,731,256,287,195,37,74,37,74,0,51,250,188
3,Uptown,2319,603,1500,428,1456,425,1190,402,0,48,1190,402,1140,385,50,78,266,133,44,56,19,51,19,51,0,48,25,53,819,270,698,254,415,214,0,48,415,214,382,208,33,55,283,192,121,96,52,81,52,81,0,48,69,67
4,Lincoln Square,2389,650,1111,359,1073,357,1015,350,0,40,1015,350,971,347,44,50,58,68,38,60,27,58,27,58,0,40,11,42,1278,353,1200,345,839,287,0,40,839,287,737,262,102,111,361,161,78,67,0,40,0,40,0,40,78,67
5,North Center,705,293,342,154,325,153,172,79,0,43,172,79,172,79,0,43,153,114,17,45,0,43,0,43,0,43,17,45,363,184,356,184,288,141,0,43,288,141,256,126,32,51,68,79,7,43,0,43,0,43,0,43,7,43
6,Lake View,1217,291,634,190,607,186,587,185,0,66,587,185,578,184,9,67,20,68,27,71,0,66,0,66,0,66,27,71,583,196,569,195,479,178,0,66,479,178,451,159,28,77,90,90,14,68,0,66,0,66,0,66,14,68
7,Lincoln Park,829,240,446,175,396,170,272,151,0,51,272,151,249,148,23,54,124,93,50,64,0,51,0,51,0,51,50,64,383,145,330,136,248,123,0,51,248,123,209,114,39,66,82,70,53,64,0,51,0,51,0,51,53,64
8,Near North Side,1404,492,661,299,634,296,518,256,0,54,518,256,485,253,33,62,116,129,27,69,0,54,0,54,0,54,27,69,743,349,680,340,560,323,0,54,560,323,504,315,56,77,120,90,63,96,14,58,14,58,0,54,49,94
9,Edison Park,60,46,20,27,8,25,8,25,0,25,8,25,8,25,0,25,0,25,12,26,12,26,12,26,0,25,0,25,40,39,40,39,29,35,0,25,29,35,15,31,14,29,11,26,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,1307,515,551,259,529,258,501,254,6,41,495,253,493,253,2,37,28,47,22,40,0,39,0,39,0,39,22,40,756,300,715,297,529,222,0,39,529,222,460,208,69,59,186,123,41,47,0,39,0,39,0,39,41,47
