area_id,area_name,b08130001,b08130001_moe,b08130002,b08130002_moe,b08130003,b08130003_moe,b08130004,b08130004_moe,b08130005,b08130005_moe,b08130006,b08130006_moe,b08130007,b08130007_moe,b08130008,b08130008_moe,b08130009,b08130009_moe,b08130010,b08130010_moe,b08130011,b08130011_moe,b08130012,b08130012_moe,b08130013,b08130013_moe,b08130014,b08130014_moe,b08130015,b08130015_moe,b08130016,b08130016_moe,b08130017,b08130017_moe,b08130018,b08130018_moe,b08130019,b08130019_moe,b08130020,b08130020_moe,b08130021,b08130021_moe,b08130022,b08130022_moe,b08130023,b08130023_moe,b08130024,b08130024_moe,b08130025,b08130025_moe,b08130026,b08130026_moe,b08130027,b08130027_moe,b08130028,b08130028_moe,b08130029,b08130029_moe,b08130030,b08130030_moe,b08130031,b08130031_moe
1,Rogers Park,29987,1240,29733,1230,28626,1195,1107,229,254,122,11299,842,11227,839,10581,818,646,170,72,64,2667,449,2572,439,2363,425,209,111,95,93,11559,893,11506,890,11288,889,218,105,53,74,1996,425,1973,423,1959,423,14,52,23,48,758,214,747,214,727,210,20,50,11,48,1708,347
2,West Ridge,31544,1410,31359,1416,29799,1421,1560,325,185,96,18516,1077,18438,1075,17149,1056,1289,280,78,70,3784,670,3760,669,3578,650,182,156,24,55,5390,641,5364,640,5286,640,78,83,26,57,1845,400,1845,400,1845,400,0,51,0,51,687,207,630,198,619,197,11,52,57,76,1322,290
3,Uptown,31694,1148,31446,1145,30187,1160,1259,248,248,107,10903,783,10752,780,9793,771,959,205,151,90,1769,433,1741,432,1670,421,71,66,28,50,13793,888,13784,888,13574,892,210,119,9,48,1595,316,1574,313,1563,313,11,49,21,55,1500,321,1461,316,1453,316,8,48,39,59,2134,352
4,Lincoln Square,23019,819,22760,815,21583,806,1177,230,259,104,11121,738,10984,734,10097,716,887,197,137,83,1647,335,1611,332,1531,330,80,58,36,54,7462,590,7462,590,7252,581,210,119,0,40,861,199,802,194,802,194,0,40,59,54,708,194,681,191,681,191,0,40,27,45,1220,230
5,North Center,20718,729,20617,729,19235,699,1382,263,101,55,10592,597,10545,596,9469,566,1076,226,47,48,1473,299,1467,299,1329,274,138,134,6,43,5540,463,5540,463,5385,448,155,86,0,43,759,177,759,177,759,177,0,43,0,43,673,168,625,164,612,163,13,46,48,49,1681,296
6,Lake View,68129,1434,67116,1433,62904,1418,4212,515,1013,212,21887,961,21372,950,18088,856,3284,433,515,149,3792,454,3741,452,3414,426,327,156,51,67,32813,1248,32731,1247,32198,1237,533,230,82,73,3513,479,3398,472,3388,472,10,65,115,99,1921,347,1671,331,1613,318,58,86,250,131,4203,475
7,Lincoln Park,40875,1123,39826,1095,37183,1073,2643,350,1049,320,14400,771,13937,766,11847,699,2090,321,463,154,2122,340,2025,335,1883,325,142,89,97,71,16911,898,16861,897,16471,887,390,128,50,61,2858,383,2737,356,2734,356,3,50,121,110,1995,428,1677,355,1659,354,18,53,318,228,2589,332
8,Near North Side,50700,1470,49560,1465,46858,1466,2702,447,1140,245,13993,931,13354,925,11238,850,2116,411,639,180,1424,358,1343,350,1185,332,158,100,81,78,12576,868,12454,859,12144,842,310,155,122,134,15446,1078,15330,1078,15239,1074,91,76,116,100,3740,550,3558,539,3531,538,27,61,182,110,3521,536
9,Edison Park,5862,391,5780,382,5354,352,426,139,82,65,4303,408,4249,399,3863,369,386,133,54,53,318,156,312,156,312,156,0,25,6,25,650,176,650,176,650,176,0,25,0,25,292,130,292,130,252,118,40,54,0,25,46,46,24,32,24,32,0,25,22,39,253,121
10,Norwood Park,17562,809,17503,809,16127,787,1376,265,59,59,13417,716,13358,716,12134,689,1224,239,59,59,1497,345,1497,345,1375,329,122,104,0,39,1772,347,1772,347,1772,347,0,39,0,39,227,132,227,132,209,129,18,45,0,39,95,67,95,67,83,65,12,42,0,39,554,174
11,Jefferson Park,12572,676,12405,680,11573,696,832,226,167,92,8877,538,8729,542,8019,543,710,190,148,88,1250,305,1231,303,1176,300,55,69,19,39,1727,318,1727,318,1673,314,54,68,0,29,263,112,263,112,250,109,13,35,0,29,100,65,100,65,100,65,0,29,0,29,355,134
12,Forest Glen,9048,443,9018,446,8351,438,667,167,30,35,6140,439,6117,443,5485,415,632,166,23,34,939,258,939,258,930,258,9,31,0,29,1215,229,1215,229,1189,227,26,34,0,29,317,113,310,112,310,112,0,29,7,29,77,61,77,61,77,61,0,29,0,29,360,108
13,North Park,8237,605,8170,611,7690,599,480,140,67,61,5080,498,5069,497,4667,485,402,122,11,29,945,252,945,252,873,244,72,56,0,27,1106,259,1106,259,1106,259,0,27,0,27,479,160,479,160,473,159,6,28,0,27,203,92,147,76,147,76,0,27,56,60,424,163
14,Albany Park,26801,1288,26747,1290,25523,1298,1224,277,54,57,12417,850,12407,851,11502,845,905,249,10,44,2996,485,2959,487,2843,479,116,92,37,57,8698,895,8698,895,8541,881,157,95,0,45,1224,270,1221,270,1184,267,37,59,3,44,382,148,378,148,369,147,9,46,4,44,1084,280
15,Portage Park,31046,1174,30885,1170,28349,1138,2536,406,161,102,19613,999,19501,1000,17772,977,1729,321,112,86,4042,586,4020,585,3383,546,637,211,22,57,5171,559,5171,559,5022,547,149,89,0,47,774,215,774,215,761,216,13,50,0,47,526,191,499,184,491,183,8,48,27,64,920,232
16,Irving Park,28693,1190,28422,1190,26840,1185,1582,288,271,128,16223,936,16120,928,14899,926,1221,251,103,103,2968,443,2939,444,2790,434,149,83,29,56,6321,602,6266,601,6107,599,159,95,55,76,1002,250,943,247,943,247,0,47,59,60,744,200,719,197,666,185,53,80,25,51,1435,341
17,Dunning,21257,904,21146,900,19689,884,1457,268,111,80,16142,856,16081,853,14932,841,1149,211,61,64,2309,371,2259,367,1966,325,293,171,50,62,1887,306,1887,306,1887,306,0,40,0,40,436,185,436,185,421,184,15,43,0,40,285,175,285,175,285,175,0,40,0,40,198,88
18,Montclare,5205,455,5146,446,4462,421,684,178,59,72,3533,415,3495,401,2937,365,558,169,38,63,743,237,743,237,617,227,126,70,0,23,648,174,648,174,648,174,0,23,0,23,49,50,49,50,49,50,0,23,0,23,166,95,145,88,145,88,0,23,21,38,66,47
