area_id,area_name,b17020i001,b17020i001_moe,b17020i002,b17020i002_moe,b17020i003,b17020i003_moe,b17020i004,b17020i004_moe,b17020i005,b17020i005_moe,b17020i006,b17020i006_moe,b17020i007,b17020i007_moe,b17020i008,b17020i008_moe,b17020i009,b17020i009_moe,b17020i010,b17020i010_moe,b17020i011,b17020i011_moe,b17020i012,b17020i012_moe,b17020i013,b17020i013_moe,b17020i014,b17020i014_moe,b17020i015,b17020i015_moe,b17020i016,b17020i016_moe,b17020i017,b17020i017_moe
1,Rogers Park,14018,1595,4618,1088,851,316,129,112,529,231,472,194,2493,600,93,88,51,83,9400,1339,893,249,141,106,788,256,693,268,6610,961,248,115,27,49
2,West Ridge,15215,2093,4610,1428,663,347,52,79,689,280,780,316,2237,691,126,131,63,112,10605,1581,825,275,205,144,886,329,776,251,6757,1099,759,333,397,196
3,Uptown,6886,1025,2273,685,193,203,61,69,50,61,144,111,1688,497,16,48,121,127,4613,795,207,115,31,59,153,107,193,153,3775,660,233,130,21,52
4,Lincoln Square,7442,1192,1667,730,126,114,35,67,163,150,194,187,936,382,126,137,87,133,5775,961,577,267,82,76,531,221,275,158,3995,656,210,134,105,77
5,North Center,4346,701,332,132,8,43,0,43,0,43,39,63,236,110,31,46,18,46,4014,683,119,69,48,57,162,100,205,126,2959,543,319,162,202,131
6,Lake View,7255,773,1039,280,94,104,20,67,116,91,14,68,765,213,2,65,28,71,6216,720,240,118,101,90,242,110,240,141,4938,611,220,110,235,107
7,Lincoln Park,3852,646,763,261,29,57,0,51,52,91,45,67,508,175,98,98,31,53,3089,579,290,146,46,61,292,143,238,105,2035,417,135,77,53,60
8,Near North Side,4401,760,857,277,0,54,9,56,0,54,0,54,767,256,81,114,0,54,3544,712,236,143,0,54,60,89,63,79,2929,639,111,82,145,97
9,Edison Park,500,208,10,25,0,25,0,25,0,25,0,25,0,25,0,25,10,25,490,206,10,27,23,43,83,67,45,48,276,122,53,50,0,25
10,Norwood Park,4884,855,309,182,0,39,27,55,37,47,50,58,195,106,0,39,0,39,4575,825,636,303,60,59,655,294,339,143,2642,553,166,81,77,62
11,Jefferson Park,5321,839,335,219,58,76,41,48,67,77,0,29,169,100,0,29,0,29,4986,842,552,181,72,57,401,147,750,235,3088,582,71,56,52,50
12,Forest Glen,2408,518,542,307,64,69,42,56,138,121,76,82,222,119,0,29,0,29,1866,459,127,99,47,53,302,134,160,108,1086,278,73,69,71,94
13,North Park,3373,777,669,382,159,162,0,27,15,34,52,83,383,219,30,53,30,51,2704,699,189,111,33,42,254,196,345,187,1701,394,92,61,90,68
14,Albany Park,28068,2126,6781,1390,689,309,145,95,929,331,1102,340,3794,727,63,66,59,63,21287,1824,2224,449,331,143,1987,348,1732,366,14327,1344,439,182,247,141
15,Portage Park,26332,1815,4620,1061,518,269,86,93,970,349,790,285,2090,477,151,116,15,54,21712,1735,1707,361,412,144,2233,406,2105,388,14366,1191,615,196,274,116
16,Irving Park,25395,1959,4747,1024,758,282,161,109,644,247,628,234,2431,528,97,75,28,56,20648,1883,1707,328,346,162,2192,471,1508,315,13842,1275,561,165,492,184
