area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
1,Rogers Park,14202,1601,4530,747,28,54,4502,745,9253,1086,283,133,8970,1069,419,161,119,77,300,142
2,West Ridge,15215,2093,4876,980,94,102,4782,970,8994,1280,463,220,8531,1236,1345,402,419,181,926,365
3,Uptown,6945,1025,1091,367,13,50,1078,366,5463,819,267,131,5196,815,391,144,199,113,192,113
4,Lincoln Square,7442,1192,1983,607,68,60,1915,606,4931,754,475,213,4456,713,528,235,206,110,322,179
5,North Center,4376,706,611,224,59,69,552,209,3195,557,130,82,3065,545,570,212,197,97,373,187
6,Lake View,7262,773,1067,274,43,72,1024,268,5710,646,360,159,5350,628,485,145,166,89,319,126
7,Lincoln Park,4127,658,998,304,41,65,957,296,2812,484,200,127,2612,436,317,124,74,63,243,116
8,Near North Side,4475,763,368,157,0,54,368,157,3770,688,170,121,3600,680,337,161,152,126,185,113
9,Edison Park,500,208,161,124,0,25,161,124,276,122,28,30,248,120,63,54,39,50,24,32
10,Norwood Park,4899,856,1825,521,37,49,1788,519,2831,578,143,166,2688,545,243,90,55,48,188,87
11,Jefferson Park,5342,842,1962,419,13,32,1949,417,3257,571,281,131,2976,545,123,83,62,56,61,51
12,Forest Glen,2408,518,956,284,25,49,931,283,1308,302,84,63,1224,291,144,114,44,54,100,84
13,North Park,3413,783,1047,420,0,27,1047,420,2124,451,154,105,1970,447,242,122,90,70,152,89
14,Albany Park,28164,2130,9149,1047,138,96,9011,1043,18207,1493,1194,287,17013,1478,808,241,203,111,605,208
15,Portage Park,26388,1818,8877,993,272,129,8605,972,16456,1186,1101,257,15355,1147,1055,251,457,156,598,199
16,Irving Park,25434,1957,7983,955,559,210,7424,864,16273,1271,1432,328,14841,1190,1178,277,343,146,835,229
17,Dunning,9697,941,2958,478,65,65,2893,472,6055,610,261,130,5794,607,684,171,252,91,432,140
18,Montclare,6401,831,2238,443,58,51,2180,448,3740,466,301,131,3439,439,423,184,261,132,162,88
19,Belmont Cragin,59957,2572,20368,1341,892,251,19476,1290,37256,1679,3197,504,34059,1610,2333,360,886,202,1447,296
20,Hermosa,22612,1359,7109,674,279,127,6830,647,14160,920,1622,390,12538,865,1343,300,677,206,666,211
21,Avondale,27177,2097,7626,897,162,106,7464,892,18142,1438,1034,258,17108,1400,1409,328,532,155,877,276
22,Logan Square,35015,1981,9242,901,279,120,8963,891,22993,1409,1522,277,21471,1385,2780,383,986,197,1794,321
23,Humboldt Park,27823,1805,8853,1006,439,162,8414,985,17517,1164,2330,383,15187,1111,1453,288,661,182,792,204
24,West Town,23965,1615,6056,780,196,113,5860,749,15591,1130,1542,294,14049,1082,2318,337,973,204,1345,285
25,Austin,8723,1151,3179,562,174,104,3005,536,5162,760,389,156,4773,739,382,144,197,110,185,103
26,West Garfield Park,235,158,75,72,0,35,75,72,153,124,50,60,103,85,7,35,0,35,7,35
27,East Garfield Park,328,151,123,94,0,38,123,94,200,91,20,41,180,90,5,37,5,37,0,38
28,Near West Side,4617,601,926,235,10,53,916,233,3504,455,382,161,3122,431,187,87,72,73,115,68
29,North Lawndale,1750,426,544,208,24,45,520,198,1158,312,27,45,1131,310,48,53,13,45,35,49
