area_id,area_name,b16004001,b16004001_moe,b16004002,b16004002_moe,b16004003,b16004003_moe,b16004004,b16004004_moe,b16004005,b16004005_moe,b16004006,b16004006_moe,b16004007,b16004007_moe,b16004008,b16004008_moe,b16004009,b16004009_moe,b16004010,b16004010_moe,b16004011,b16004011_moe,b16004012,b16004012_moe,b16004013,b16004013_moe,b16004014,b16004014_moe,b16004015,b16004015_moe,b16004016,b16004016_moe,b16004017,b16004017_moe,b16004018,b16004018_moe,b16004019,b16004019_moe,b16004020,b16004020_moe,b16004021,b16004021_moe,b16004022,b16004022_moe,b16004023,b16004023_moe,b16004024,b16004024_moe,b16004025,b16004025_moe,b16004026,b16004026_moe,b16004027,b16004027_moe,b16004028,b16004028_moe,b16004029,b16004029_moe,b16004030,b16004030_moe,b16004031,b16004031_moe,b16004032,b16004032_moe,b16004033,b16004033_moe,b16004034,b16004034_moe,b16004035,b16004035_moe,b16004036,b16004036_moe,b16004037,b16004037_moe,b16004038,b16004038_moe,b16004039,b16004039_moe,b16004040,b16004040_moe,b16004041,b16004041_moe,b16004042,b16004042_moe,b16004043,b16004043_moe,b16004044,b16004044_moe,b16004045,b16004045_moe,b16004046,b16004046_moe,b16004047,b16004047_moe,b16004048,b16004048_moe,b16004049,b16004049_moe,b16004050,b16004050_moe,b16004051,b16004051_moe,b16004052,b16004052_moe,b16004053,b16004053_moe,b16004054,b16004054_moe,b16004055,b16004055_moe,b16004056,b16004056_moe,b16004057,b16004057_moe,b16004058,b16004058_moe,b16004059,b16004059_moe,b16004060,b16004060_moe,b16004061,b16004061_moe,b16004062,b16004062_moe,b16004063,b16004063_moe,b16004064,b16004064_moe,b16004065,b16004065_moe,b16004066,b16004066_moe,b16004067,b16004067_moe
1,Rogers Park,53292,1991,7258,791,3786,599,2522,486,2021,439,241,129,222,177,38,58,320,216,284,212,36,51,0,48,0,48,101,147,0,48,0,48,97,146,4,47,529,250,501,248,28,53,0,48,0,48,41706,1572,26777,1313,8402,1066,3822,611,1522,361,1824,446,1234,438,3452,683,2105,392,583,228,542,370,222,137,1339,391,937,277,171,104,111,79,120,159,1736,356,1283,276,318,138,135,128,0,48,4328,465,2767,423,399,153,178,106,62,54,101,97,58,70,868,225,154,97,250,161,383,157,81,77,264,150,109,93,51,69,88,78,16,50,30,55,0,48,14,50,16,53,0,48
2,West Ridge,67808,2299,13155,1077,5896,743,2323,575,1662,450,500,248,140,112,21,60,2908,712,2492,691,315,145,101,107,0,51,818,277,566,224,128,98,124,116,0,51,1210,436,787,360,296,180,127,105,0,51,45350,1742,16835,1053,8177,1193,3959,628,1486,351,1812,488,920,422,10603,1233,5229,692,3228,616,1725,448,421,210,5026,954,2639,719,1376,379,861,279,150,113,4709,903,2777,653,1072,379,726,255,134,115,9303,716,4418,470,1227,397,217,123,205,141,372,206,433,239,2143,399,786,300,571,181,429,129,357,175,816,229,291,143,120,82,257,114,148,114,699,272,169,110,157,109,272,205,101,88
3,Uptown,52308,1570,3874,650,2516,586,592,231,342,182,113,98,108,99,29,62,226,115,123,93,58,65,45,68,0,48,249,141,175,108,46,71,28,63,0,48,291,183,269,166,22,61,0,48,0,48,42766,1378,29981,1224,4982,788,2906,553,826,249,993,350,257,167,3236,550,2407,480,446,199,285,127,98,91,2661,574,1390,374,808,335,379,188,84,88,1906,500,1274,380,546,218,86,86,0,48,5668,541,2986,397,487,162,229,149,110,71,132,100,16,47,916,236,235,132,105,76,314,151,262,129,1081,274,277,150,140,85,397,168,267,188,198,148,44,66,128,136,26,61,0,48
4,Lincoln Square,35777,1175,3486,522,1718,319,1042,397,812,318,182,197,48,64,0,40,442,159,357,141,65,73,20,43,0,40,205,149,205,149,0,40,0,40,0,40,79,88,72,88,7,40,0,40,0,40,28765,925,18508,863,4342,717,1983,429,1265,396,782,294,312,145,3512,517,2206,379,760,218,499,181,47,62,1685,411,1065,326,411,164,199,128,10,42,718,249,386,155,257,160,60,60,15,39,3526,390,1897,281,482,212,77,68,171,146,114,81,120,99,495,193,168,91,135,91,162,113,30,48,394,158,158,86,106,77,118,98,12,43,258,204,78,67,34,46,70,96,76,94
5,North Center,30322,978,3147,429,2621,395,370,185,249,166,66,74,55,65,0,43,147,109,69,61,78,101,0,43,0,43,0,43,0,43,0,43,0,43,0,43,9,44,9,44,0,43,0,43,0,43,24674,816,20777,767,2386,478,1629,325,462,183,280,159,15,49,981,209,749,182,182,84,50,54,0,43,430,188,358,179,48,50,24,49,0,43,100,90,91,89,9,44,0,43,0,43,2501,296,1421,212,583,216,201,108,254,155,96,74,32,68,229,90,136,66,61,68,22,48,10,44,215,111,113,86,70,60,32,53,0,43,53,79,0,43,53,79,0,43,0,43
6,Lake View,91635,1609,4897,511,3953,480,519,158,383,130,77,78,59,81,0,66,290,123,243,112,47,79,0,66,0,66,94,118,29,69,0,66,61,116,4,66,41,71,41,71,0,66,0,66,0,66,80163,1480,66451,1532,4819,594,3492,483,823,251,489,184,15,67,4852,594,4283,576,365,184,204,126,0,66,2720,482,2018,377,548,202,154,148,0,66,1321,373,802,249,405,204,102,84,12,68,6575,471,4599,433,487,155,174,94,189,113,81,94,43,71,931,211,358,124,287,120,221,137,65,85,404,167,149,104,80,87,114,109,61,95,154,120,93,112,34,75,27,73,0,66
7,Lincoln Park,61386,1662,5641,757,4552,692,301,167,266,164,28,58,7,51,0,51,743,299,668,269,70,104,5,50,0,51,28,62,10,52,18,60,0,51,0,51,17,58,17,58,0,51,0,51,0,51,50759,1299,43222,1324,2309,414,1846,374,246,115,173,97,44,65,3507,482,2991,438,413,159,103,78,0,51,1179,253,902,215,201,131,76,71,0,51,542,216,463,202,70,92,9,53,0,51,4986,431,4088,386,358,135,116,73,106,77,114,92,22,52,475,149,262,103,126,89,44,66,43,71,41,57,19,53,0,51,8,51,14,54,24,56,7,51,0,51,17,56,0,51
8,Near North Side,78099,1717,3475,607,3037,592,110,92,103,92,0,54,7,55,0,54,176,118,124,105,32,62,20,59,0,54,63,81,51,80,12,57,0,54,0,54,89,87,57,83,32,61,0,54,0,54,62293,1561,48510,1591,3113,599,2315,442,490,203,163,122,145,222,6229,794,5474,742,596,225,159,90,0,54,3372,565,2162,456,1030,332,171,113,9,55,1069,297,823,241,150,94,96,85,0,54,12331,673,10471,636,332,164,132,95,113,122,74,84,13,58,1139,254,615,185,165,112,287,150,72,71,269,198,124,93,39,70,45,91,61,110,120,80,82,73,14,58,24,60,0,54
9,Edison Park,10776,481,1907,237,1658,245,78,89,32,45,46,80,0,25,0,25,130,106,130,106,0,25,0,25,0,25,41,62,41,62,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,7202,415,5957,479,284,143,265,142,8,25,11,26,0,25,792,233,445,148,178,101,169,127,0,25,169,136,108,92,48,60,6,25,7,25,0,25,0,25,0,25,0,25,0,25,1667,153,1318,171,61,61,51,55,0,25,10,25,0,25,242,110,129,67,96,73,17,34,0,25,10,27,10,27,0,25,0,25,0,25,36,47,9,27,0,25,0,25,27,38
10,Norwood Park,35117,1093,5124,536,3685,454,419,165,378,164,5,35,36,49,0,39,853,364,796,358,32,43,25,52,0,39,146,115,126,111,7,39,13,42,0,39,21,43,21,43,0,39,0,39,0,39,22643,903,14981,792,2242,532,1494,411,172,86,259,84,317,300,4168,693,1908,399,1428,359,804,319,28,47,993,394,600,329,256,132,92,86,45,51,259,149,157,114,65,61,37,64,0,39,7350,397,5426,400,273,102,125,83,77,64,65,52,6,38,1314,246,487,136,458,143,267,114,102,89,270,131,182,114,20,43,17,38,51,64,67,61,38,47,29,56,0,39,0,39
11,Jefferson Park,25022,1127,4056,507,2380,391,828,273,683,263,31,42,114,156,0,29,382,201,325,192,23,33,34,59,0,29,234,116,158,97,64,60,12,33,0,29,232,262,164,200,9,31,59,73,0,29,17260,896,9537,768,2305,510,1555,358,412,161,257,127,81,134,3951,823,1624,411,1114,330,1054,379,159,125,1131,367,552,210,326,158,189,111,64,60,336,232,208,128,128,135,0,29,0,29,3706,402,2531,305,91,75,20,33,0,29,61,67,10,31,881,221,323,134,171,82,320,123,67,75,162,97,42,40,35,42,0,29,85,84,41,52,26,48,0,29,15,36,0,29
12,Forest Glen,17349,610,3244,317,2407,310,452,173,431,175,9,31,12,33,0,29,230,99,165,85,32,37,33,57,0,29,133,109,103,102,30,45,0,29,0,29,22,38,22,38,0,29,0,29,0,29,11032,471,7242,583,1071,266,932,255,102,64,37,36,0,29,1455,378,1100,329,262,135,93,68,0,29,832,287,361,154,246,130,202,166,23,45,432,230,294,199,73,79,65,63,0,29,3073,204,2159,232,81,75,45,54,6,29,30,40,0,29,638,181,337,111,156,80,106,75,39,59,148,103,77,89,58,57,13,34,0,29,47,48,7,30,40,48,0,29,0,29
13,North Park,17610,939,3122,508,1502,369,595,355,560,352,24,32,11,29,0,27,517,227,443,204,28,38,46,62,0,27,468,233,385,226,83,58,0,27,0,27,40,57,40,57,0,27,0,27,0,27,11427,733,5206,519,1931,447,1102,301,312,161,358,187,159,117,1857,440,1122,335,446,184,255,150,34,38,1671,340,775,234,548,180,317,142,31,39,762,438,513,412,163,86,44,63,42,73,3061,345,1465,270,217,106,41,39,47,45,64,63,65,62,604,227,193,91,179,109,204,114,28,41,627,187,162,117,209,116,199,101,57,44,148,100,40,42,13,30,38,49,57,75
14,Albany Park,49366,1858,8827,837,2149,413,5636,749,4148,630,1022,330,386,186,80,100,543,215,489,199,40,60,14,47,0,45,299,140,214,126,85,75,0,45,0,45,200,149,97,88,103,129,0,45,0,45,36638,1457,11546,818,17384,1498,5026,633,3751,561,5333,789,3274,757,3560,583,1762,335,924,244,683,281,191,149,2933,684,1591,440,813,302,523,248,6,46,1215,479,524,229,394,219,242,195,55,74,3901,434,1506,275,775,237,144,123,92,68,232,130,307,142,621,229,175,100,76,64,133,86,237,186,948,238,150,75,262,120,304,118,232,146,51,62,19,53,12,46,20,53,0,45
15,Portage Park,59798,1711,10813,926,4327,568,4918,771,4281,723,273,162,341,179,23,52,1122,287,914,257,171,115,24,51,13,50,204,135,171,129,33,61,0,47,0,47,242,194,242,194,0,47,0,47,0,47,41967,1307,16675,1023,14743,1183,9025,960,2369,414,2284,424,1065,326,8425,840,3293,503,2547,459,1871,411,714,263,1576,496,848,280,522,255,188,105,18,54,548,250,302,146,148,125,81,86,17,54,7018,520,4188,423,1007,249,231,126,328,147,208,123,240,114,1563,302,329,127,495,166,539,160,200,129,222,110,25,49,130,90,67,69,0,47,38,59,3,44,0,47,35,61,0,47
16,Irving Park,51927,1822,8484,793,4033,602,3961,637,3131,583,489,192,327,182,14,52,268,145,235,141,33,58,0,47,0,47,100,77,70,69,12,49,18,55,0,47,122,104,91,91,31,69,0,47,0,47,38632,1401,18082,948,14816,1218,6730,689,3148,501,3416,645,1522,572,2921,491,1795,355,619,196,421,176,86,75,1982,493,1169,363,611,239,163,106,39,70,831,346,319,216,255,122,257,261,0,47,4811,460,2368,315,1110,269,174,121,182,96,572,166,182,105,719,184,321,123,210,95,161,93,27,54,564,233,230,149,240,130,74,73,20,56,50,74,50,74,0,47,0,47,0,47
17,Dunning,39975,1178,5655,522,2731,422,1431,290,1301,278,67,79,63,80,0,40,1317,259,1065,234,210,113,42,43,0,40,65,58,56,57,8,41,1,39,0,40,111,101,82,92,0,40,29,61,0,40,27956,956,11884,854,5254,557,3562,465,848,228,738,171,106,81,9811,924,3979,599,2444,381,2818,452,570,202,831,270,605,235,147,98,79,62,0,40,176,88,142,74,26,46,0,40,8,40,6364,355,3722,299,579,153,192,108,99,67,121,81,167,92,1821,272,543,149,420,123,708,190,150,81,169,94,103,86,33,46,33,47,0,40,73,61,31,48,9,42,21,52,12,41
18,Montclare,11473,771,2088,383,605,210,1347,322,1140,301,128,71,73,53,6,19,73,68,73,68,0,23,0,23,0,23,46,75,46,75,0,23,0,23,0,23,17,31,17,31,0,23,0,23,0,23,7619,576,2312,456,3467,472,2050,367,479,144,749,258,189,105,1416,364,529,217,306,138,535,218,46,58,333,212,231,184,102,102,0,23,0,23,91,96,35,44,16,31,40,64,0,23,1766,280,1045,254,324,119,47,35,64,57,141,67,72,74,382,148,123,80,60,56,168,102,31,52,5,19,0,23,0,23,0,23,5,19,10,23,0,23,0,23,10,23,0,23
19,Belmont Cragin,71416,2315,16751,1195,3524,600,12547,1060,10173,951,1298,322,981,260,95,97,414,179,267,134,124,111,23,60,0,52,223,207,223,207,0,52,0,52,0,52,43,67,15,56,28,61,0,52,0,52,48856,1730,8235,872,35457,1703,16159,1214,5634,634,10002,947,3662,559,4215,603,898,224,1200,284,1693,354,424,182,751,317,455,235,251,158,45,56,0,52,198,144,53,64,82,94,63,83,0,52,5809,494,2102,312,2215,352,231,107,399,113,885,244,700,199,1335,257,397,161,308,118,474,140,156,91,136,89,37,60,64,69,35,60,0,52,21,60,0,52,21,60,0,52,0,52
