area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
1,Rogers Park,55070,2108,11317,1001,209,116,105,88,104,84,11108,990,3778,789,7330,728,40066,1513,3017,490,1292,309,1725,363,37049,1490,8513,1040,28536,1296,3687,419,1439,297,552,211,887,205,2248,333,593,199,1655,294
2,West Ridge,72693,2583,18999,1412,362,173,268,154,94,90,18637,1387,5202,1161,13435,1124,44903,1740,3428,492,802,240,2626,429,41475,1720,7085,1051,34390,1666,8791,702,3493,423,638,190,2855,393,5298,612,489,199,4809,591
3,Uptown,53569,1703,6488,819,135,105,81,98,54,60,6353,803,1958,519,4395,688,41987,1381,3378,510,2089,404,1289,297,38609,1320,7362,915,31247,1182,5094,519,2282,360,1101,274,1181,258,2812,401,892,268,1920,337
4,Lincoln Square,38116,1327,6318,689,180,106,45,67,135,90,6138,675,1012,456,5126,516,28459,919,1709,340,643,228,1066,264,26750,917,2465,449,24285,901,3339,388,1193,229,228,121,965,217,2146,327,240,169,1906,296
5,North Center,33372,1094,6213,548,157,95,7,43,150,95,6056,548,142,84,5914,546,24658,815,835,214,222,137,613,169,23823,793,1487,334,22336,782,2501,296,943,186,162,84,781,171,1558,260,105,82,1453,266
6,Lake View,96324,1728,9775,699,150,96,28,71,122,92,9625,700,671,253,8954,660,80021,1477,3098,416,915,239,2183,343,76923,1463,8762,847,68161,1443,6528,467,2371,307,394,148,1977,288,4157,408,486,154,3671,389
7,Lincoln Park,61618,1651,8770,834,309,208,44,60,265,205,8461,722,488,214,7973,713,48329,1220,1565,298,751,195,814,202,46764,1207,5602,676,41162,1144,4519,386,1286,246,258,122,1028,208,3233,337,386,134,2847,324
8,Near North Side,78942,1806,5861,725,86,73,0,54,86,73,5775,723,1762,534,4013,568,60848,1544,1946,334,614,201,1332,277,58902,1553,7055,783,51847,1558,12233,679,3273,440,621,253,2652,380,8960,645,625,189,8335,632
9,Edison Park,11135,498,2266,248,104,124,0,25,104,124,2162,275,56,60,2106,274,7202,415,478,159,46,37,432,155,6724,408,149,105,6575,385,1667,153,558,119,28,29,530,116,1109,139,51,42,1058,144
10,Norwood Park,36905,1214,7413,703,170,90,25,45,145,85,7243,700,329,202,6914,711,22552,903,1662,318,222,120,1440,296,20890,871,916,279,19974,895,6940,348,2510,289,217,114,2293,276,4430,334,229,116,4201,326
11,Jefferson Park,26671,1234,5713,649,57,52,21,44,36,41,5656,647,482,244,5174,621,17252,895,1229,252,114,93,1115,235,16023,873,902,246,15121,890,3706,402,1286,240,168,79,1118,224,2420,348,184,103,2236,341
12,Forest Glen,18542,646,4437,340,146,96,0,29,146,96,4291,349,360,210,3931,350,11032,471,730,179,94,76,636,167,10302,466,556,190,9746,469,3073,204,1021,199,158,113,863,180,2052,210,99,59,1953,209
13,North Park,18260,1001,4251,575,158,155,14,38,144,151,4093,575,566,262,3527,549,11065,736,861,223,203,112,658,200,10204,731,1128,304,9076,719,2944,333,971,224,211,140,760,180,1973,302,152,76,1821,304
14,Albany Park,52900,2050,13341,1088,239,114,62,61,177,103,13102,1082,3826,875,9276,875,35842,1444,2778,432,831,249,1947,364,33064,1469,5849,861,27215,1421,3717,420,1709,317,330,170,1379,263,2008,371,407,193,1601,321
15,Portage Park,63405,1848,14578,1079,425,149,136,95,289,123,14153,1057,3212,785,10941,872,41856,1302,3342,419,716,239,2626,355,38514,1305,3964,610,34550,1360,6971,510,2783,361,306,138,2477,338,4188,396,275,124,3913,385
16,Irving Park,56115,1946,12962,950,717,228,211,133,506,189,12245,873,2305,597,9940,761,38512,1394,3417,485,882,240,2535,426,35095,1321,4146,611,30949,1334,4641,454,1729,297,269,117,1460,277,2912,356,267,125,2645,341
