area_id,area_name,b18104001,b18104001_moe,b18104002,b18104002_moe,b18104003,b18104003_moe,b18104004,b18104004_moe,b18104005,b18104005_moe,b18104006,b18104006_moe,b18104007,b18104007_moe,b18104008,b18104008_moe,b18104009,b18104009_moe,b18104010,b18104010_moe,b18104011,b18104011_moe,b18104012,b18104012_moe,b18104013,b18104013_moe,b18104014,b18104014_moe,b18104015,b18104015_moe,b18104016,b18104016_moe,b18104017,b18104017_moe,b18104018,b18104018_moe,b18104019,b18104019_moe,b18104020,b18104020_moe,b18104021,b18104021_moe,b18104022,b18104022_moe,b18104023,b18104023_moe,b18104024,b18104024_moe,b18104025,b18104025_moe,b18104026,b18104026_moe,b18104027,b18104027_moe,b18104028,b18104028_moe,b18104029,b18104029_moe,b18104030,b18104030_moe,b18104031,b18104031_moe,b18104032,b18104032_moe,b18104033,b18104033_moe
1,Rogers Park,52231,1967,26103,1233,3424,520,46,66,3378,514,10200,884,212,120,9988,873,10940,692,383,152,10557,683,988,207,56,60,932,199,551,166,49,51,502,163,26128,1301,3750,532,30,49,3720,529,10050,888,210,124,9840,880,10180,715,552,181,9628,702,1191,217,27,50,1164,214,957,240,196,102,761,216
2,West Ridge,66847,2287,32662,1389,6364,695,124,106,6240,681,9022,935,207,118,8815,940,13651,708,544,169,13107,692,2184,363,99,73,2085,355,1441,234,270,115,1171,212,34185,1402,6775,736,46,63,6729,732,7964,691,104,93,7860,684,14280,710,652,211,13628,697,2804,432,161,93,2643,423,2362,342,520,180,1842,311
3,Uptown,50983,1566,27028,1149,2405,447,36,53,2369,444,9880,802,136,84,9744,799,12915,805,684,220,12231,759,1112,241,106,63,1006,232,716,191,201,109,515,162,23955,1016,1469,340,30,57,1439,338,9036,672,160,105,8876,666,10184,633,502,161,9682,619,1643,313,114,75,1529,309,1623,313,290,172,1333,260
4,Lincoln Square,35271,1168,17387,731,1642,331,67,64,1575,330,6335,514,39,73,6296,512,7838,507,232,138,7606,496,1145,210,46,69,1099,204,427,132,47,55,380,126,17884,797,1831,382,68,77,1763,373,6659,502,7,40,6652,502,7627,477,291,129,7336,477,1072,241,41,53,1031,239,695,167,188,99,507,142
5,North Center,30306,978,15050,706,1645,249,37,58,1608,248,5863,595,42,53,5821,591,6483,406,107,58,6376,403,772,164,58,74,714,153,287,86,12,45,275,84,15256,688,1502,313,69,70,1433,303,6026,456,20,52,6006,454,6286,385,174,119,6112,366,814,165,59,53,755,159,628,170,84,83,544,154
6,Lake View,91521,1606,44903,1329,2343,383,53,76,2290,383,23263,1204,294,137,22969,1198,16446,749,508,163,15938,743,1717,244,67,80,1650,239,1134,201,157,100,977,186,46618,1368,2554,352,26,68,2528,350,27734,1247,239,123,27495,1240,12653,631,265,111,12388,625,1760,255,133,118,1627,239,1917,260,337,131,1580,250
7,Lincoln Park,60783,1644,29525,1138,2803,403,222,202,2581,355,14293,977,126,72,14167,977,10048,520,357,166,9691,508,1522,221,63,73,1459,214,859,197,116,110,743,173,31258,1174,2823,491,29,55,2794,488,15922,940,71,68,15851,940,10375,512,251,95,10124,508,1353,227,63,66,1290,222,785,161,130,72,655,144
8,Near North Side,77898,1714,35451,1293,1582,331,65,70,1517,325,14839,1083,23,57,14816,1079,13674,756,397,147,13277,756,3504,412,180,136,3324,397,1852,276,99,73,1753,268,42447,1356,1893,454,21,57,1872,454,18323,1049,35,57,18288,1049,15354,801,202,105,15152,801,3986,407,166,99,3820,402,2891,375,267,157,2624,346
9,Edison Park,10776,481,5007,346,891,172,23,40,868,177,933,192,18,36,915,190,2550,255,50,42,2500,256,273,88,0,25,273,88,360,97,65,56,295,88,5769,345,1016,194,41,62,975,177,1134,222,0,25,1134,222,2585,191,131,91,2454,200,455,106,0,25,455,106,579,129,63,44,516,124
10,Norwood Park,34621,1077,16690,688,2669,356,12,41,2657,354,3447,481,46,53,3401,480,7894,434,266,111,7628,419,1423,207,0,39,1423,207,1257,203,52,54,1205,201,17931,741,2455,381,78,60,2377,376,3190,391,97,89,3093,382,8026,398,220,100,7806,402,1638,208,68,57,1570,202,2622,272,229,99,2393,269
11,Jefferson Park,25011,1127,12496,720,2236,399,36,41,2200,395,3105,418,38,41,3067,414,5618,410,228,109,5390,405,767,173,32,39,735,170,770,194,33,38,737,192,12515,630,1817,276,10,32,1807,274,2884,382,47,56,2837,382,5645,375,122,81,5523,367,959,182,11,29,948,182,1210,219,111,63,1099,208
12,Forest Glen,17349,610,8576,436,1652,229,102,68,1550,220,1636,251,52,51,1584,244,3938,234,68,67,3870,234,713,141,39,59,674,134,637,132,60,49,577,129,8773,402,1592,216,0,29,1592,216,1423,242,0,29,1423,242,4035,212,106,71,3929,219,757,139,72,62,685,132,966,175,234,119,732,138
13,North Park,17433,935,8387,611,1522,315,42,48,1480,314,2469,420,61,55,2408,416,3267,293,69,74,3198,295,637,170,55,67,582,162,492,133,66,52,426,128,9046,589,1600,327,57,76,1543,300,2005,289,88,74,1917,262,3626,317,108,102,3518,307,883,168,159,92,724,156,932,206,145,91,787,185
14,Albany Park,49009,1857,25630,1275,4450,567,72,67,4378,559,9266,798,260,125,9006,796,10419,661,513,231,9906,648,830,184,73,59,757,175,665,193,141,97,524,168,23379,1153,4372,571,26,59,4346,567,7866,651,170,113,7696,638,8919,579,350,139,8569,580,1048,218,133,85,915,207,1174,247,137,92,1037,220
15,Portage Park,59640,1714,28691,1051,5766,667,152,106,5614,661,7489,627,222,106,7267,624,12832,624,448,170,12384,605,1449,253,70,82,1379,240,1155,206,72,59,1083,200,30949,1162,5047,566,117,88,4930,556,7670,657,142,101,7528,650,13865,659,334,131,13531,660,2239,302,174,105,2065,286,2128,272,254,102,1874,258
16,Irving Park,51574,1811,26012,1186,3921,478,125,84,3796,461,8464,735,149,106,8315,732,11423,672,532,173,10891,653,1350,239,123,82,1227,226,854,187,94,81,760,173,25562,1099,4500,570,244,140,4256,509,7878,612,125,85,7753,608,10747,593,414,154,10333,582,1302,219,17,50,1285,218,1135,208,180,93,955,189
17,Dunning,39857,1176,19532,791,3011,408,64,51,2947,407,5321,501,158,96,5163,498,8748,456,190,79,8558,463,1346,232,111,73,1235,224,1106,158,62,51,1044,153,20325,758,2640,335,7,40,2633,335,4758,500,131,100,4627,488,9021,440,279,118,8742,432,1738,231,81,60,1657,225,2168,222,262,96,1906,212
18,Montclare,11351,767,5507,471,1112,255,53,50,1059,257,1571,273,122,143,1449,253,2123,269,69,73,2054,267,191,76,29,35,162,69,510,153,100,78,410,132,5844,454,976,239,8,20,968,239,1494,272,53,64,1441,264,2390,263,78,72,2312,257,331,112,7,19,324,111,653,167,125,84,528,140
