area_id,area_name,b16005h001,b16005h001_moe,b16005h002,b16005h002_moe,b16005h003,b16005h003_moe,b16005h004,b16005h004_moe,b16005h005,b16005h005_moe,b16005h006,b16005h006_moe,b16005h007,b16005h007_moe,b16005h008,b16005h008_moe,b16005h009,b16005h009_moe,b16005h010,b16005h010_moe,b16005h011,b16005h011_moe
1,Rogers Park,20941,1147,18315,1111,17122,1092,1193,257,1106,251,87,67,2626,437,665,193,1961,387,882,241,1079,307
2,West Ridge,29603,1652,19696,1246,16519,1164,3177,788,2917,787,260,175,9907,1148,1053,265,8854,1111,3553,672,5301,742
3,Uptown,27751,1142,24144,1086,22522,1052,1622,304,1474,296,148,86,3607,623,789,234,2818,558,1595,444,1223,309
4,Lincoln Square,22858,1058,19157,917,17518,900,1639,335,1540,334,99,66,3701,616,460,157,3241,583,1419,304,1822,424
5,North Center,23560,891,22269,895,21322,883,947,204,834,182,113,66,1291,257,635,201,656,157,377,117,279,103
6,Lake View,73476,1625,68716,1619,64585,1640,4131,554,3820,546,311,117,4760,571,1858,356,2902,448,1860,330,1042,283
7,Lincoln Park,50231,1593,46734,1585,44072,1567,2662,429,2324,410,338,136,3497,495,1368,234,2129,433,1559,329,570,212
8,Near North Side,56626,1570,50728,1557,47992,1579,2736,425,2406,398,330,127,5898,707,1892,386,4006,597,2861,486,1145,289
9,Edison Park,9916,547,8741,663,8120,648,621,212,529,184,92,73,1175,308,398,150,777,268,350,143,427,209
10,Norwood Park,28625,991,22878,998,21139,1007,1739,417,1555,399,184,88,5747,759,724,235,5023,742,1973,395,3050,525
11,Jefferson Park,17177,1059,12730,987,11508,937,1222,420,984,366,238,107,4447,721,420,126,4027,713,1282,260,2745,588
12,Forest Glen,12577,633,11077,674,9744,647,1333,325,1176,304,157,97,1500,311,285,102,1215,297,605,218,610,217
13,North Park,9022,805,7092,741,6295,686,797,317,766,313,31,36,1930,535,285,111,1645,524,662,392,983,269
