area_id,area_name,b06010001,b06010001_moe,b06010002,b06010002_moe,b06010003,b06010003_moe,b06010004,b06010004_moe,b06010005,b06010005_moe,b06010006,b06010006_moe,b06010007,b06010007_moe,b06010008,b06010008_moe,b06010009,b06010009_moe,b06010010,b06010010_moe,b06010011,b06010011_moe,b06010012,b06010012_moe,b06010013,b06010013_moe,b06010014,b06010014_moe,b06010015,b06010015_moe,b06010016,b06010016_moe,b06010017,b06010017_moe,b06010018,b06010018_moe,b06010019,b06010019_moe,b06010020,b06010020_moe,b06010021,b06010021_moe,b06010022,b06010022_moe,b06010023,b06010023_moe,b06010024,b06010024_moe,b06010025,b06010025_moe,b06010026,b06010026_moe,b06010027,b06010027_moe,b06010028,b06010028_moe,b06010029,b06010029_moe,b06010030,b06010030_moe,b06010031,b06010031_moe,b06010032,b06010032_moe,b06010033,b06010033_moe,b06010034,b06010034_moe,b06010035,b06010035_moe,b06010036,b06010036_moe,b06010037,b06010037_moe,b06010038,b06010038_moe,b06010039,b06010039_moe,b06010040,b06010040_moe,b06010041,b06010041_moe,b06010042,b06010042_moe,b06010043,b06010043_moe,b06010044,b06010044_moe,b06010045,b06010045_moe,b06010046,b06010046_moe,b06010047,b06010047_moe,b06010048,b06010048_moe,b06010049,b06010049_moe,b06010050,b06010050_moe,b06010051,b06010051_moe,b06010052,b06010052_moe,b06010053,b06010053_moe,b06010054,b06010054_moe,b06010055,b06010055_moe
1,Rogers Park,47961,1713,6863,877,41098,1414,9759,894,4521,505,7265,746,5554,614,4668,545,3663,435,1556,293,4112,436,18593,1145,2887,498,15706,980,4565,549,1618,287,1962,320,1983,370,2132,399,1567,327,559,173,1320,263,13060,889,851,248,12209,828,2770,463,1074,236,1546,300,1574,291,1326,259,1371,268,607,166,1941,312,640,194,30,53,610,191,129,87,96,91,148,96,25,53,20,52,94,102,16,53,82,70,15668,1406,3095,690,12573,1106,2295,412,1733,333,3609,599,1972,431,1190,284,631,177,374,166,769,213
2,West Ridge,57178,1916,10769,1160,46409,1477,10450,801,4963,570,8545,853,6626,692,6003,617,3865,501,1438,260,4519,451,18338,1113,3271,527,15067,996,3532,455,1378,294,2440,373,1712,335,2237,424,1482,302,498,145,1788,305,6530,614,571,184,5959,555,980,242,371,139,708,194,797,225,892,215,511,142,544,167,1156,208,1021,444,94,82,927,436,124,84,109,97,252,196,161,228,99,87,67,78,0,51,115,84,31289,1968,6833,1066,24456,1369,5814,673,3105,483,5145,680,3956,556,2775,411,1805,377,396,151,1460,306
3,Uptown,49323,1420,4610,608,44713,1243,10234,839,3761,489,6124,611,4442,526,5629,540,4865,535,2024,315,7634,589,18028,1062,1823,366,16205,964,4265,580,1336,277,2319,406,1349,269,1861,312,1751,297,702,175,2622,368,16941,985,753,217,16188,943,2301,349,1116,248,1755,318,1613,317,2433,360,2206,408,845,208,3919,444,932,264,123,102,809,247,414,203,34,55,11,46,36,63,109,88,12,49,120,88,73,65,13422,1143,1911,422,11511,970,3254,509,1275,327,2039,363,1444,313,1226,299,896,227,357,167,1020,229
4,Lincoln Square,33118,1023,3113,419,30005,914,4793,572,2464,316,3784,456,3786,474,5129,498,3154,354,1755,307,5140,465,13227,867,1386,274,11841,803,1822,337,952,198,1322,250,1403,295,2106,384,1242,235,747,187,2247,336,9285,585,461,150,8824,562,755,177,528,156,763,186,811,196,1729,272,1295,244,694,179,2249,308,668,196,70,57,598,190,156,117,64,58,104,82,41,48,131,92,34,57,0,40,68,52,9938,921,1196,288,8742,820,2060,427,920,219,1595,347,1531,317,1163,246,583,174,314,155,576,182
5,North Center,27674,850,2027,306,25647,775,2775,410,1382,251,2461,322,2401,318,3439,385,3872,374,1578,247,7739,475,13719,727,1152,240,12567,688,1385,267,695,190,1194,221,1173,215,1892,285,2037,278,742,169,3449,343,9636,627,405,121,9231,607,725,202,343,126,574,161,820,188,1113,205,1461,264,672,171,3523,358,586,162,43,49,543,159,65,72,41,52,100,68,95,81,68,60,47,50,36,60,91,56,3733,497,427,162,3306,426,600,188,303,115,593,188,313,133,366,144,327,113,128,62,676,160
6,Lake View,87406,1504,5137,626,82269,1454,9492,749,4334,489,7580,606,8359,703,13333,864,11135,742,5023,554,23013,953,32551,1287,1897,358,30654,1225,3261,409,1898,347,2978,399,3116,434,5292,580,4507,493,1824,302,7778,573,42198,1423,1641,318,40557,1380,3915,498,1727,297,3439,409,4020,464,6544,623,5689,501,2715,457,12508,758,1505,304,113,85,1392,287,331,169,115,90,122,84,173,114,158,92,107,85,34,70,352,160,11152,838,1486,392,9666,701,1985,333,594,180,1041,233,1050,266,1339,258,832,211,450,168,2375,317
7,Lincoln Park,56663,1342,4557,521,52106,1227,8086,669,2524,357,4333,471,3484,404,6570,626,6283,558,3084,376,17742,826,22790,1071,1826,292,20964,1003,3926,441,1072,218,1767,308,1566,276,2249,374,2397,335,1288,249,6699,590,26892,1157,1734,326,25158,1066,3128,424,982,241,2055,330,1462,265,3601,448,3223,452,1505,263,9202,645,793,176,71,70,722,167,266,115,91,73,75,60,38,58,47,61,68,60,24,56,113,70,6188,587,926,247,5262,518,766,176,379,123,436,148,418,134,673,207,595,178,267,108,1728,273
8,Near North Side,75100,1587,6250,704,68850,1500,8852,791,3307,432,5012,657,4719,590,6983,660,8349,751,4084,529,27544,1156,29596,1364,2464,446,27132,1305,3850,492,1529,325,1922,357,1954,341,2668,404,2874,445,1811,332,10524,804,30573,1376,1467,317,29106,1348,3196,512,1168,244,1805,335,2000,427,2958,424,4111,560,1575,341,12293,919,1016,341,185,153,831,310,255,169,8,55,151,177,10,56,44,65,7,55,73,109,283,160,13915,1150,2134,437,11781,972,1551,328,602,187,1134,391,755,223,1313,294,1357,321,625,220,4444,590
9,Edison Park,9249,434,790,183,8459,417,1083,198,664,163,1030,223,833,197,1200,225,961,220,477,147,2211,232,6796,490,678,186,6118,454,813,170,389,127,604,160,644,180,801,183,727,187,362,128,1778,226,980,257,45,36,935,255,125,91,51,63,161,98,69,42,132,78,118,89,15,25,264,105,109,68,0,25,109,68,10,25,40,50,10,24,0,25,13,30,36,40,0,25,0,25,1364,328,67,73,1297,322,135,57,184,97,255,115,120,97,254,110,80,54,100,79,169,110
10,Norwood Park,30770,899,3305,424,27465,847,3723,444,2838,381,4025,431,3258,442,3940,463,2871,341,1581,289,5229,467,19989,895,2130,356,17859,820,2310,350,1807,296,2145,304,2271,386,2568,401,1978,315,1212,258,3568,371,2366,344,287,128,2079,318,302,115,138,101,236,94,156,76,256,107,236,93,98,63,657,191,384,141,16,38,368,139,39,46,46,44,2,36,18,46,43,52,80,70,16,45,124,98,8031,766,872,232,7159,711,1072,238,847,225,1642,315,813,193,1073,230,577,179,255,105,880,259
11,Jefferson Park,21805,961,2705,397,19100,861,3432,459,1835,340,3093,400,3002,396,2385,350,1795,273,1033,201,2525,354,12108,874,1231,251,10877,819,1944,345,1121,268,1778,331,1700,322,1282,245,1050,217,579,167,1423,252,1930,402,240,125,1690,343,305,180,126,85,93,53,268,125,137,65,224,103,204,102,333,116,356,133,56,70,300,116,59,52,0,29,57,60,87,66,73,56,7,31,0,29,17,40,7411,874,1178,292,6233,727,1124,313,588,183,1165,251,947,262,893,226,514,151,250,86,752,211
12,Forest Glen,14823,500,1610,271,13213,431,2170,292,769,172,1437,237,1562,272,1341,206,1528,267,646,146,3760,310,9639,612,1222,247,8417,532,1441,234,483,143,786,169,1026,225,825,180,896,201,391,117,2569,277,1697,265,60,45,1637,262,169,85,66,49,305,128,69,59,116,64,280,106,98,77,534,144,164,91,4,29,160,91,4,31,0,29,4,31,43,55,0,29,21,35,19,32,69,58,3323,395,324,123,2999,343,556,176,220,102,342,130,424,149,400,118,331,125,138,74,588,138
13,North Park,15254,777,2347,341,12907,705,3045,435,1459,317,2223,328,1456,278,1538,243,1145,231,445,129,1596,222,6057,654,1035,244,5022,565,1115,226,642,266,790,193,548,170,491,170,443,159,228,94,765,156,2074,326,174,84,1900,313,409,171,214,92,102,54,174,84,306,128,236,105,75,51,384,123,238,103,62,57,176,87,76,66,31,54,20,27,27,41,0,27,15,33,0,27,7,28,6885,766,1076,273,5809,660,1445,363,572,168,1311,269,707,208,741,207,451,149,142,73,440,136
14,Albany Park,42619,1577,7228,732,35391,1340,7548,725,4527,547,7995,778,4322,538,4338,472,2665,362,845,210,3151,374,12237,859,2114,337,10123,792,2197,371,1138,259,1770,348,1044,245,1541,281,949,213,232,88,1252,240,5499,527,395,141,5104,514,1067,297,470,168,706,201,368,124,549,161,563,160,189,96,1192,226,1211,413,198,132,1013,370,267,155,96,80,232,151,42,66,175,118,114,101,13,44,74,68,23672,1574,4521,600,19151,1366,4017,599,2823,470,5287,661,2868,466,2073,359,1039,252,411,166,633,172
15,Portage Park,51400,1395,7500,680,43900,1213,7442,619,4796,500,8002,667,7329,683,6303,540,4330,469,1592,261,4106,405,25254,1280,4217,534,21037,1110,4033,476,2021,309,3285,434,3173,438,3159,411,2151,324,915,195,2300,299,4415,523,614,214,3801,473,465,163,412,140,617,224,617,196,536,161,437,141,242,100,475,150,1742,427,183,129,1559,396,273,139,233,158,464,223,185,122,195,100,145,104,12,49,52,57,19989,1286,2486,388,17503,1159,2671,397,2130,365,3636,485,3354,506,2413,376,1597,324,423,153,1279,258
16,Irving Park,44952,1531,6349,666,38603,1353,6398,673,4147,465,7003,696,5803,556,5233,538,3680,434,1554,287,4785,443,19699,1131,2978,468,16721,969,2941,451,1508,267,2399,338,2213,326,2645,380,2035,326,770,203,2210,298,6485,547,508,157,5977,531,667,180,516,180,844,207,630,156,832,189,599,139,272,108,1617,241,1268,275,71,63,1197,266,183,91,164,88,223,129,208,114,153,86,46,59,42,60,178,114,17500,1334,2792,483,14708,1219,2607,470,1959,333,3537,601,2752,437,1603,322,1000,250,470,167,780,229
17,Dunning,35878,1019,4864,480,31014,920,5291,476,3359,396,5199,506,4897,485,4323,404,3543,404,1115,206,3287,352,17803,986,2372,346,15431,898,2945,371,1430,237,2376,363,2213,344,1931,263,1999,286,612,139,1925,264,2237,314,310,103,1927,290,310,115,171,83,243,103,329,118,277,99,266,113,102,72,229,101,1062,279,140,115,922,263,76,70,135,98,152,90,162,104,213,105,82,89,71,61,31,45,14776,1034,2042,326,12734,925,1960,305,1623,301,2428,350,2193,362,1902,311,1196,263,330,125,1102,235
18,Montclare,9852,627,1560,339,8292,515,1830,320,786,185,1800,290,1031,203,1322,253,680,177,297,124,546,156,4386,543,729,218,3657,463,932,228,272,107,746,176,401,135,619,183,337,124,116,81,234,91,762,206,68,58,694,192,123,74,101,56,166,84,31,34,111,88,28,26,62,61,72,49,414,161,16,24,398,159,136,87,116,76,99,79,11,24,10,23,11,23,15,28,0,23,4290,559,747,252,3543,469,639,216,297,120,789,215,588,166,582,189,304,130,104,77,240,122
19,Belmont Cragin,58320,1903,11597,949,46723,1498,10543,808,5887,550,11630,865,7163,633,6013,553,3036,424,995,227,1456,279,21439,1334,5648,640,15791,1062,5045,598,1586,283,3277,463,2052,313,1907,301,1191,267,256,109,477,147,3513,509,406,168,3107,441,746,221,455,171,541,161,329,118,396,151,210,101,133,103,297,133,4205,556,402,148,3803,530,680,208,687,175,940,250,648,186,434,169,315,128,79,78,20,53,29163,1598,5141,604,24022,1326,4072,539,3159,449,6872,703,4134,507,3276,432,1320,267,527,167,662,181
20,Hermosa,19170,972,3864,495,15306,821,3871,527,1873,305,3476,476,2525,380,2051,330,738,215,332,115,440,145,7178,640,1904,355,5274,553,1574,328,567,162,1008,213,730,242,688,192,367,148,154,72,186,85,722,222,71,55,651,215,104,68,55,47,11,31,104,81,158,98,111,82,29,48,79,73,2662,518,289,136,2373,471,748,246,404,162,407,147,263,108,353,146,134,92,16,32,48,48,8608,923,1600,316,7008,778,1445,303,847,217,2050,417,1428,305,852,203,126,77,133,78,127,68
21,Avondale,33396,1507,6243,814,27153,1161,4516,478,3560,554,6723,696,3811,494,4022,461,1852,295,765,177,1904,288,12756,920,2528,454,10228,767,1932,320,1109,279,1875,419,1472,272,1597,304,995,234,361,134,887,202,3095,400,200,109,2895,383,448,141,212,101,420,141,327,110,537,136,254,102,171,77,526,153,1327,361,310,169,1017,303,93,67,268,145,149,93,107,78,254,167,93,73,28,43,25,52,16218,1410,3205,579,13013,1100,2043,363,1971,428,4279,607,1905,391,1634,313,510,165,205,91,466,155
22,Logan Square,61331,1568,8401,758,52930,1281,8586,670,5644,571,8824,691,7410,603,6639,520,5626,529,2096,291,8105,515,25841,1194,4211,514,21630,986,3644,452,2087,332,3503,427,2935,393,2701,329,2484,350,1003,219,3273,349,15563,791,816,188,14747,761,1579,275,993,221,1580,271,1967,294,2135,283,2197,323,880,174,3416,327,4358,508,438,162,3920,458,1328,256,571,172,626,170,544,147,308,112,230,150,56,71,257,120,15569,1172,2936,450,12633,968,2035,374,1993,376,3115,456,1964,337,1495,276,715,196,157,83,1159,228
23,Humboldt Park,41049,1588,11143,979,29906,1154,9202,755,4080,456,6086,619,4200,484,3095,423,1408,264,735,180,1100,229,21169,1295,7365,827,13804,918,4774,585,1635,282,2650,379,1645,290,1509,314,689,198,337,126,565,160,7017,662,1016,248,6001,582,1839,308,1051,259,1081,254,720,187,587,171,266,114,161,90,296,130,3808,521,691,247,3117,438,1019,256,591,180,551,183,421,144,199,93,153,87,114,77,69,69,9055,935,2071,421,6984,737,1570,319,803,216,1804,423,1414,281,800,204,300,125,123,76,170,95
24,West Town,72661,1631,7545,785,65116,1442,9340,735,4817,533,8368,643,7065,581,9106,639,8515,621,3500,376,14405,706,31461,1319,4187,626,27274,1119,3808,429,1937,337,3258,392,3253,405,3632,399,3685,425,1587,257,6114,490,24533,1024,1161,257,23372,981,2255,356,1187,292,2127,332,2189,301,3815,413,3644,415,1529,247,6626,506,3559,488,339,161,3220,450,1093,267,486,158,624,202,276,115,261,132,140,96,88,85,252,135,13108,952,1858,313,11250,824,2184,377,1207,266,2359,357,1347,282,1398,274,1046,205,296,120,1413,236
25,Austin,76778,2003,17545,1155,59233,1595,17650,1088,7832,637,10570,730,8066,642,6677,602,4188,478,1654,309,2596,347,52478,1859,15101,1075,37377,1442,11585,866,4158,511,6442,567,5368,552,4163,472,2779,402,1257,276,1625,282,19589,1031,1725,341,17864,941,5268,560,3247,388,3087,359,2225,321,1936,314,1045,230,339,122,717,185,803,233,63,79,740,226,138,100,104,83,145,114,89,86,131,105,94,83,17,65,22,65,3908,709,656,238,3252,582,659,215,323,155,896,314,384,145,447,207,270,126,41,76,232,118
26,West Garfield Park,13790,900,3716,447,10074,723,3958,453,1318,242,1748,279,1143,225,1058,214,535,142,68,51,246,97,10191,819,3304,429,6887,642,2851,407,766,195,1149,250,697,179,770,186,423,125,32,37,199,88,3487,379,400,122,3087,359,1060,206,545,147,593,137,406,118,288,106,112,69,36,50,47,49,64,81,0,35,64,81,28,51,7,35,6,34,23,47,0,35,0,35,0,35,0,35,48,46,12,33,36,46,19,39,0,35,0,35,17,43,0,35,0,35,0,35,0,35
27,East Garfield Park,15365,956,4697,652,10668,621,3677,403,1336,227,1795,266,1267,224,965,192,761,193,390,124,477,148,11750,935,4157,633,7593,577,2733,362,829,189,1381,250,934,202,706,165,482,147,181,82,347,134,3131,341,434,146,2697,289,895,175,454,111,404,95,316,111,210,97,234,102,75,63,109,75,50,47,20,39,30,39,3,37,11,39,0,38,0,38,7,38,0,38,9,39,0,38,434,177,86,64,348,149,46,47,42,47,10,39,17,45,42,58,45,62,125,75,21,41
28,Near West Side,47484,1395,6604,693,40880,1236,9340,780,2744,345,3740,407,2874,347,4309,480,4149,423,2654,352,11070,629,24198,1190,4149,539,20049,997,5481,640,1337,260,1848,278,1323,231,2023,312,1997,299,1404,253,4636,428,14423,804,763,180,13660,785,2657,390,945,190,1142,220,1004,213,1324,272,1273,231,762,183,4553,380,596,194,54,65,542,189,146,94,51,63,26,55,6,52,98,90,98,97,0,52,117,76,8267,744,1638,408,6629,617,1056,229,411,148,724,183,541,149,864,213,781,190,488,185,1764,329
29,North Lawndale,26212,1275,8329,727,17883,889,6439,557,2392,310,3440,391,1910,288,1652,266,964,192,345,113,741,203,18988,1153,7257,672,11731,798,4467,486,1090,219,2122,315,1242,227,1322,237,703,173,220,90,565,186,6301,541,836,205,5465,474,1815,282,1191,230,1137,211,553,137,293,97,224,93,88,64,164,84,41,49,8,43,33,48,11,42,6,42,0,43,10,42,6,42,0,43,0,43,0,43,882,279,228,103,654,240,146,77,105,93,181,117,105,77,31,48,37,56,37,53,12,45
30,South Lawndale,54121,1718,17652,998,36469,1392,10986,815,5583,548,9891,722,4799,518,3087,368,1254,238,374,125,495,162,20456,1081,10084,723,10372,812,4520,531,1210,241,1780,290,1139,259,980,228,460,145,146,89,137,90,3382,491,724,179,2658,439,878,224,414,139,584,191,237,112,246,104,158,88,26,51,115,71,557,185,154,92,403,149,181,111,112,80,25,53,35,63,26,54,12,48,0,48,12,51,29726,1347,6690,601,23036,1131,5407,551,3847,474,7502,656,3388,436,1835,274,624,170,202,97,231,127
31,Lower West Side,28610,1272,4459,532,24151,1086,5900,568,3497,450,6137,658,3621,456,2383,303,1298,265,480,150,835,179,9812,737,1968,332,7844,610,2230,348,899,198,1265,229,1050,235,1127,205,631,178,255,114,387,114,3399,426,290,117,3109,395,674,187,624,192,615,166,399,130,237,98,301,109,84,57,175,79,517,187,43,52,474,180,191,103,34,49,55,57,125,91,10,45,46,59,0,42,13,44,14882,1045,2158,348,12724,956,2805,374,1940,348,4202,589,2047,365,1009,205,320,134,141,93,260,105
32,Loop,24874,1328,2744,541,22130,1214,4265,797,1350,418,1276,275,1288,281,2217,410,2941,500,1418,313,7375,689,9231,788,576,179,8655,760,1541,344,529,247,582,194,644,205,881,230,1084,271,585,204,2809,480,10147,1033,1100,384,9047,926,1878,468,665,346,458,150,426,181,884,263,1034,290,505,189,3197,484,358,169,51,54,307,162,62,82,0,30,0,30,36,57,28,42,129,115,10,33,42,43,5138,690,1017,299,4121,577,784,298,156,86,236,143,182,94,424,186,694,215,318,155,1327,308
33,Near South Side,17941,974,1540,440,16401,871,2237,419,698,202,1216,400,1439,466,2022,437,2209,479,1023,272,5557,607,7576,714,610,199,6966,721,1049,328,410,136,724,393,497,187,795,240,1122,280,339,133,2030,281,6396,918,474,355,5922,803,721,317,198,102,306,100,604,335,812,292,532,188,601,229,2148,392,125,78,44,55,81,56,0,24,5,22,4,18,0,24,19,34,0,24,0,24,53,45,3844,657,412,216,3432,574,467,175,85,84,182,110,338,235,396,193,555,279,83,77,1326,358
34,Armour Square,11819,647,2147,327,9672,594,3931,439,1540,259,1366,253,811,226,877,223,419,151,148,85,580,185,3621,450,866,204,2755,348,1020,236,233,83,274,90,243,99,409,132,164,79,88,56,324,117,1120,234,114,72,1006,220,283,110,170,74,197,107,146,98,94,90,95,74,15,29,6,26,187,124,27,44,160,119,36,46,13,30,0,27,10,31,53,63,6,27,0,27,42,72,6891,602,1140,273,5751,531,2592,366,1124,238,895,215,412,180,321,153,154,115,45,65,208,117
35,Douglas,16450,769,2734,379,13716,639,4419,452,1331,231,1810,265,1194,228,1632,262,1385,229,653,155,1292,216,8420,585,1144,209,7276,530,2096,286,779,175,1014,217,759,191,955,209,771,176,385,133,517,151,4689,422,405,121,4284,389,1520,246,424,118,492,114,281,96,398,112,389,126,240,93,540,128,223,132,0,35,223,132,112,114,14,40,0,35,30,59,13,41,25,43,0,35,29,42,3118,558,1185,312,1933,386,691,209,114,68,304,126,124,73,266,130,200,97,28,44,206,102
36,Oakland,4666,380,713,194,3953,297,1412,223,410,107,644,176,426,132,349,125,151,59,130,58,431,130,3225,336,551,166,2674,275,1062,217,240,95,446,149,257,108,192,83,108,50,104,57,265,117,1075,187,109,55,966,181,259,96,166,61,118,77,119,72,122,67,43,44,23,27,116,53,35,39,0,19,35,39,0,19,0,19,0,19,0,19,0,19,0,19,0,19,35,39,331,154,53,43,278,128,91,59,4,17,80,56,50,41,35,44,0,19,3,16,15,29
