area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
1,Rogers Park,54619,2112,15058,1553,10070,1213,3758,646,7013,1089,4988,740,14121,1568,9768,1176,5670,754,4435,886,4353,737,9417,1355,6443,899,5241,748,1534,447,2974,700,4640,932,3828,756,3342,682,678,348,812,356,11383,1253,10248,1132,9440,1058,1172,400,1135,416
2,West Ridge,72242,2574,15081,1902,10974,1575,3599,987,8388,1232,4107,842,19128,2125,12938,1610,6940,1082,7326,1236,6190,1056,13391,1806,10418,1346,7790,1132,3686,795,2973,838,8806,1394,7321,1180,5903,1022,2088,525,1485,502,15836,1914,13488,1609,11821,1467,2705,585,2348,792
3,Uptown,52090,1619,15329,1253,10690,948,3205,444,8198,881,4639,735,8823,1009,6390,805,5137,686,1763,446,2433,491,7561,1117,6082,960,5667,930,641,245,1479,483,6264,910,5782,853,5652,834,407,175,482,185,14113,1326,12618,1129,12283,1119,852,223,1495,634
4,Lincoln Square,38003,1337,6112,984,4375,751,2028,396,2785,665,1737,395,7085,985,5525,812,3911,570,2163,560,1560,402,7931,1015,6167,799,5167,676,1419,411,1764,455,5726,796,4795,679,4606,668,439,145,931,345,11149,1073,10689,1043,10369,982,673,274,460,203
5,North Center,33298,1087,2617,435,1955,361,1218,249,1064,268,662,192,4137,688,3127,555,2501,488,934,286,1010,400,4308,545,3762,491,3465,471,536,206,546,177,3949,672,3623,640,3552,635,369,129,326,130,18287,1108,17854,1083,17606,1062,661,203,433,175
6,Lake View,96036,1725,12729,1024,9495,850,6549,696,3711,536,3234,550,13436,1024,11669,950,10585,896,2172,373,1767,313,13001,1052,11446,941,10924,911,1118,266,1555,366,11925,1112,11116,1053,10860,1045,592,208,809,258,44945,1841,43445,1786,42812,1771,1986,385,1500,341
7,Lincoln Park,61161,1634,8191,755,6921,682,5219,630,2463,365,1270,346,5935,689,5142,623,4619,585,915,223,793,235,6022,695,5665,661,5483,652,644,185,357,167,6302,812,6011,779,5837,771,401,174,291,144,34711,1807,34213,1783,33784,1790,1652,269,498,193
8,Near North Side,78732,1796,12930,1136,10394,993,5808,708,5750,775,2536,496,8524,986,7514,913,6775,863,2078,375,1010,354,11187,1127,10319,1028,9668,1004,1639,322,868,386,9192,996,8821,948,8479,927,873,248,371,268,36899,1761,36117,1710,34951,1713,5413,588,782,259
9,Edison Park,11130,498,735,161,640,155,410,134,493,125,95,69,1315,304,1183,269,991,238,662,185,132,90,1455,330,1255,296,1209,292,329,125,200,127,2282,563,2034,485,1862,450,386,245,248,217,5343,610,5127,635,5037,640,407,133,216,173
10,Norwood Park,36820,1212,3327,548,2950,501,1895,410,2092,321,377,151,6104,943,5004,765,3689,609,2995,556,1100,348,5744,846,5143,749,4418,700,1701,324,601,238,6990,1010,6389,923,5730,860,1614,416,601,270,14655,1481,13857,1382,13441,1361,1259,282,798,514
11,Jefferson Park,26737,1244,3334,554,2495,473,1087,269,2028,417,839,235,4911,808,4170,712,2698,527,2386,462,741,221,4662,835,3820,700,3285,641,915,343,842,339,4498,967,3773,821,3596,768,338,213,725,413,9332,1324,8127,1106,7668,1058,935,300,1205,611
12,Forest Glen,18514,645,1545,386,1337,330,673,192,1021,306,208,115,2234,529,1816,395,1113,310,1046,275,418,311,2291,510,2175,489,1994,477,654,206,116,67,2109,583,2071,575,1931,529,373,148,38,54,10335,837,10136,833,9694,805,1126,248,199,142
13,North Park,18117,994,3318,623,2718,538,1069,322,1954,436,600,242,2802,635,2241,600,1466,486,1132,404,561,251,3253,777,2728,659,2317,556,769,270,525,276,2888,576,2498,545,2252,506,382,204,390,204,5856,927,5134,770,4544,681,992,264,722,295
14,Albany Park,52775,2045,11423,1515,7204,1038,1988,425,5627,965,4219,758,12738,1590,8142,1175,3807,687,4756,908,4596,796,10034,1558,6525,1061,4481,782,2269,586,3509,945,7233,1433,5210,1045,4031,865,1348,410,2023,760,11347,1431,8874,1061,8095,971,1279,350,2473,760
15,Portage Park,63400,1850,9571,1182,6856,981,2272,399,5794,908,2715,541,15085,1510,11101,1293,5906,867,6867,1058,3984,668,12833,1426,10338,1214,7954,964,3474,749,2495,572,10002,1310,8939,1200,7684,1039,1926,534,1063,290,15909,1604,14571,1483,13364,1373,1896,410,1338,334
16,Irving Park,55926,1943,9221,1189,5798,909,1678,312,4492,845,3423,601,13951,1418,9592,1051,5739,792,4635,704,4359,694,8594,1133,6222,828,5149,688,1786,398,2372,685,8018,1299,6559,1046,5533,902,1248,407,1459,557,16142,1783,14415,1523,13350,1451,1631,404,1727,602
17,Dunning,41958,1248,5213,678,3732,568,1822,318,2943,513,1481,375,7724,919,5716,767,3635,586,3330,544,2008,413,8519,1038,6532,827,5358,754,2126,432,1987,519,7812,1047,6611,909,5601,790,1480,409,1201,376,12690,1263,10837,1174,10192,1085,1463,406,1853,492
18,Montclare,12272,836,2093,446,1465,344,461,203,1182,318,628,229,3264,669,2402,483,1218,308,1604,442,862,320,2806,683,2121,557,1471,438,731,287,685,282,1565,466,1401,448,1254,418,210,152,164,100,2544,634,2169,552,1909,467,490,254,375,181
19,Belmont Cragin,77585,2549,15800,1838,10868,1403,2040,428,9423,1330,4932,718,22249,2042,15516,1562,7390,975,9335,1204,6733,952,16924,2003,12313,1500,8067,1121,4875,889,4611,898,9836,1491,7474,1191,5880,1010,1917,469,2362,681,12776,1791,10448,1472,8644,1294,2271,470,2328,764
20,Hermosa,25046,1269,4770,861,3148,611,471,150,2891,598,1622,430,7871,1066,5714,886,2269,533,3799,694,2157,432,6055,1068,4694,874,3114,633,1698,466,1361,395,3394,960,2735,732,2132,617,688,280,659,330,2956,941,2143,657,1820,556,331,240,813,479
21,Avondale,41489,1883,7308,1031,4447,757,969,232,3820,714,2861,564,13034,1606,7355,1043,4185,722,3596,746,5679,1006,10034,1414,7054,1034,5138,813,2280,608,2980,767,3960,824,2927,659,2533,614,485,199,1033,390,7153,1207,6054,1013,5500,922,737,329,1099,437
22,Logan Square,73303,1996,14901,1450,10020,1109,3102,644,7445,926,4881,784,18495,1525,12385,1092,7344,777,5750,781,6110,890,12762,1389,9163,969,7572,809,2026,473,3599,768,7284,1042,5759,808,5150,717,726,324,1525,525,19861,1299,18537,1176,17979,1154,908,237,1324,443
23,Humboldt Park,54106,2209,19207,1762,14450,1450,2008,438,13211,1402,4757,754,14803,1751,10861,1456,4549,698,6893,1215,3942,694,10273,1482,8230,1261,5667,1015,3152,713,2043,514,5297,1097,4101,888,2652,651,1611,605,1196,423,4526,1096,3575,861,2881,759,860,336,951,385
24,West Town,83443,2000,15033,1298,10745,1055,3581,522,8099,941,4288,609,13946,1258,10057,1025,6924,744,3909,741,3889,614,13588,1274,11160,1031,9613,909,1935,484,2428,528,9969,1061,8322,867,7838,833,727,221,1647,415,30907,1627,29286,1507,28799,1479,1033,282,1621,439
25,Austin,96793,2726,32334,2244,23591,1841,4430,654,20550,1716,8743,897,25967,2065,19985,1712,9701,1092,11620,1354,5982,761,15665,1686,12360,1371,7559,872,5887,958,3305,579,10872,1612,8225,1289,5537,902,3157,859,2647,639,11955,1450,10314,1237,8664,1015,2330,542,1641,542
26,West Garfield Park,19169,1316,8102,1011,6633,889,883,259,6076,871,1469,342,5102,1006,3755,717,1475,373,2666,607,1347,531,3265,800,2708,686,1783,525,1380,508,557,203,1635,478,1377,432,981,345,450,214,258,129,1065,470,927,416,540,241,414,252,138,131
27,East Garfield Park,20636,1332,9053,1074,7437,916,772,201,6912,922,1616,407,5279,945,4358,817,1765,416,2722,664,921,267,2325,653,2006,590,1269,491,870,329,319,165,2148,614,1807,522,1340,392,628,326,341,160,1831,531,1496,431,1231,386,431,177,335,158
28,Near West Side,50178,1498,12696,1079,10676,1004,4664,582,6783,853,2020,428,6848,834,5550,740,4129,605,1705,427,1298,354,7769,986,7049,889,6468,843,875,251,720,247,5562,691,5226,679,4990,656,511,196,336,162,17303,1147,16905,1096,16731,1084,690,188,398,208
