area_id,area_name,b25054001,b25054001_moe,b25054002,b25054002_moe,b25054003,b25054003_moe,b25054004,b25054004_moe,b25054005,b25054005_moe,b25054006,b25054006_moe,b25054007,b25054007_moe
1,Rogers Park,16781,650,16390,650,56,83,16334,649,391,164,0,48,391,164
2,West Ridge,11635,633,11310,633,171,112,11139,630,325,168,0,51,325,168
3,Uptown,19665,651,18889,669,347,164,18542,670,776,216,88,93,688,200
4,Lincoln Square,10462,512,10334,508,46,70,10288,507,128,95,39,57,89,84
5,North Center,6853,386,6843,386,0,43,6843,386,10,45,0,43,10,45
6,Lake View,32572,781,32233,783,518,148,31715,777,339,125,57,80,282,116
7,Lincoln Park,17192,618,17035,614,171,94,16864,614,157,118,55,85,102,96
8,Near North Side,27128,977,26568,978,206,120,26362,980,560,205,14,58,546,205
9,Edison Park,911,168,911,168,0,25,911,168,0,25,0,25,0,25
10,Norwood Park,2629,309,2527,312,389,91,2138,307,102,81,62,53,40,73
11,Jefferson Park,3335,330,3290,331,28,52,3262,336,45,57,0,29,45,57
12,Forest Glen,751,183,751,183,0,29,751,183,0,29,0,29,0,29
13,North Park,2957,266,2957,266,89,51,2868,272,0,27,0,27,0,27
14,Albany Park,10585,435,10442,435,84,89,10358,435,143,105,41,78,102,83
15,Portage Park,9525,521,9422,524,35,53,9387,525,103,76,0,47,103,76
16,Irving Park,10042,502,9928,506,10,48,9918,507,114,82,11,47,103,82
17,Dunning,3426,335,3364,330,172,101,3192,331,62,74,0,40,62,74
18,Montclare,1746,219,1704,215,22,31,1682,216,42,50,15,28,27,47
19,Belmont Cragin,10687,538,10642,538,131,87,10511,540,45,65,0,52,45,65
20,Hermosa,3922,302,3897,301,9,31,3888,301,25,40,0,29,25,40
21,Avondale,7842,428,7645,436,154,107,7491,437,197,120,16,40,181,119
22,Logan Square,18042,599,17871,601,95,81,17776,602,171,103,8,58,163,103
23,Humboldt Park,10570,498,10452,505,42,62,10410,505,118,81,0,51,118,81
24,West Town,21930,617,21741,619,68,82,21673,620,189,94,0,62,189,94
25,Austin,19241,670,19062,674,28,62,19034,674,179,113,18,67,161,110
26,West Garfield Park,4097,291,4053,287,11,37,4042,287,44,55,0,35,44,55
27,East Garfield Park,4937,305,4882,302,45,58,4837,301,55,48,34,43,21,40
28,Near West Side,15108,552,14904,554,132,76,14772,553,204,102,59,71,145,90
29,North Lawndale,8059,400,8002,397,58,61,7944,398,57,66,25,57,32,54
30,South Lawndale,10194,498,9849,499,4,47,9845,499,345,143,0,48,345,143
31,Lower West Side,8693,391,8515,392,14,43,8501,392,178,88,0,42,178,88
32,Loop,7823,641,7757,640,17,38,7740,642,66,78,0,30,66,78
33,Near South Side,5593,451,5582,452,80,82,5502,454,11,27,0,24,11,27
34,Armour Square,3236,231,3236,231,0,27,3236,231,0,27,0,27,0,27
35,Douglas,7111,281,7042,284,58,45,6984,284,69,62,0,35,69,62
36,Oakland,2094,173,2046,172,0,19,2046,172,48,40,0,19,48,40
37,Fuller Park,724,112,724,112,0,16,724,112,0,16,0,16,0,16
38,Grand Boulevard,6988,327,6913,329,91,77,6822,334,75,61,0,43,75,61
39,Kenwood,6180,342,6128,342,0,31,6128,342,52,55,0,31,52,55
40,Washington Park,3266,217,3192,216,0,27,3192,216,74,60,0,27,74,60
41,Hyde Park,7773,368,7699,370,226,98,7473,369,74,51,0,38,74,51
42,Woodlawn,7507,360,7353,360,19,39,7334,361,154,87,0,36,154,87
43,South Shore,16314,594,16021,604,80,64,15941,604,293,120,44,60,249,112
44,Chatham,8759,460,8653,462,50,69,8603,463,106,67,9,38,97,65
45,Avalon Park,1154,212,1144,210,0,19,1144,210,10,19,0,19,10,19
46,South Chicago,6063,408,6013,407,9,38,6004,408,50,41,8,36,42,40
47,Burnside,468,118,468,118,0,11,468,118,0,11,0,11,0,11
