area_id,area_name,c18121001,c18121001_moe,c18121002,c18121002_moe,c18121003,c18121003_moe,c18121004,c18121004_moe,c18121005,c18121005_moe,c18121006,c18121006_moe,c18121007,c18121007_moe,c18121008,c18121008_moe,c18121009,c18121009_moe,c18121010,c18121010_moe
1,Rogers Park,41370,1565,20546,1077,608,178,19938,1067,12742,961,770,221,11972,937,8082,886,1722,351,6360,827
2,West Ridge,44917,1740,21663,1183,557,168,21106,1187,11891,905,707,197,11184,861,11363,1029,2164,386,9199,967
3,Uptown,42015,1382,23010,1055,587,185,22423,1051,10835,810,477,162,10358,787,8170,847,2314,428,5856,691
4,Lincoln Square,28459,919,16618,736,254,125,16364,740,7834,610,409,187,7425,595,4007,470,1046,262,2961,390
5,North Center,24658,815,16191,682,202,83,15989,682,5632,450,215,97,5417,447,2835,371,418,177,2417,327
6,Lake View,80096,1477,51534,1384,832,207,50702,1380,21408,1070,913,214,20495,1060,7154,687,1353,275,5801,633
7,Lincoln Park,50638,1297,30044,1025,425,155,29619,1014,14122,873,264,101,13858,868,6472,587,978,239,5494,547
8,Near North Side,62190,1555,37106,1318,446,153,36660,1316,15228,1026,322,138,14906,1015,9856,840,1206,264,8650,813
9,Edison Park,7202,415,4331,338,99,66,4232,341,1869,274,67,42,1802,271,1002,221,312,129,690,177
10,Norwood Park,22557,903,12636,763,462,158,12174,761,5738,542,356,135,5382,520,4183,488,844,202,3339,445
11,Jefferson Park,17252,895,8949,652,469,162,8480,638,4914,499,327,133,4587,495,3389,466,433,152,2956,442
12,Forest Glen,11032,471,6502,421,196,81,6306,421,2825,302,220,104,2605,287,1705,268,314,120,1391,244
13,North Park,11367,735,5304,470,127,74,5177,470,3577,449,232,121,3345,421,2486,350,521,184,1965,305
14,Albany Park,36470,1456,17105,1003,642,188,16463,987,12100,972,606,240,11494,969,7265,667,1572,312,5693,609
15,Portage Park,41856,1302,21797,1036,852,218,20945,1032,11245,795,729,208,10516,771,8814,702,1761,312,7053,623
16,Irving Park,38512,1394,20935,1037,879,250,20056,1012,9901,729,639,180,9262,693,7676,685,1899,345,5777,595
17,Dunning,27848,954,14663,758,399,125,14264,744,7852,653,327,131,7525,652,5333,504,990,226,4343,432
