area_id,area_name,b19013g001,b19013g001_moe
1,Rogers Park,424741,356905
2,West Ridge,564423,366962
3,Uptown,213698,333852
4,Lincoln Square,400916,440518
5,North Center,292386,551525
6,Lake View,852678,344964
7,Lincoln Park,1018003,509782
8,Near North Side,264174,230152
9,Edison Park,133571,523465
10,Norwood Park,153592,84882
11,Jefferson Park,371860,173351
12,Forest Glen,18977,49547
13,North Park,83198,129019
14,Albany Park,535614,332817
15,Portage Park,426212,237988
16,Irving Park,490089,322029
17,Dunning,242145,157750
19,Belmont Cragin,537630,223330
20,Hermosa,140772,38773
21,Avondale,209051,155239
22,Logan Square,567225,338668
23,Humboldt Park,177946,86263
24,West Town,970632,371129
25,Austin,27386,339424
27,East Garfield Park,52000,14392
28,Near West Side,988630,324900
29,North Lawndale,78020,35009
30,South Lawndale,167918,132010
31,Lower West Side,247256,159220
32,Loop,316527,243399
33,Near South Side,44227,64741
34,Armour Square,19399,63827
35,Douglas,120807,40453
38,Grand Boulevard,262790,329314
39,Kenwood,124664,22994
40,Washington Park,90500,60341
41,Hyde Park,292681,265073
42,Woodlawn,261295,219339
43,South Shore,214729,131994
44,Chatham,185028,42699
45,Avalon Park,71875,21315
46,South Chicago,37002,14320
49,Roseland,81083,111632
51,South Deering,30375,20156
52,East Side,320100,213671
53,West Pullman,106109,481
55,Hegewisch,104413,229335
56,Garfield Ridge,222432,115232
57,Archer Heights,34545,40024
58,Brighton Park,26875,58075
59,McKinley Park,9583,25859
60,Bridgeport,163412,85995
61,New City,192378,74759
63,Gage Park,151500,154336
64,Clearing,105625,120204
65,West Lawn,229432,100817
66,Chicago Lawn,303958,118517
67,West Englewood,52222,570316
68,Englewood,39120,80135
69,Greater Grand Crossing,31364,268828
70,Ashburn,18125,1529
72,Beverly,204508,264540
73,Washington Heights,4500,281748
75,Morgan Park,125497,238292
76,O'Hare,174281,53688
77,Edgewater,433021,142195
