area_id,area_name,b08124001,b08124001_moe,b08124002,b08124002_moe,b08124003,b08124003_moe,b08124004,b08124004_moe,b08124005,b08124005_moe,b08124006,b08124006_moe,b08124007,b08124007_moe,b08124008,b08124008_moe,b08124009,b08124009_moe,b08124010,b08124010_moe,b08124011,b08124011_moe,b08124012,b08124012_moe,b08124013,b08124013_moe,b08124014,b08124014_moe,b08124015,b08124015_moe,b08124016,b08124016_moe,b08124017,b08124017_moe,b08124018,b08124018_moe,b08124019,b08124019_moe,b08124020,b08124020_moe,b08124021,b08124021_moe,b08124022,b08124022_moe,b08124023,b08124023_moe,b08124024,b08124024_moe,b08124025,b08124025_moe,b08124026,b08124026_moe,b08124027,b08124027_moe,b08124028,b08124028_moe,b08124029,b08124029_moe,b08124030,b08124030_moe,b08124031,b08124031_moe,b08124032,b08124032_moe,b08124033,b08124033_moe,b08124034,b08124034_moe,b08124035,b08124035_moe,b08124036,b08124036_moe,b08124037,b08124037_moe,b08124038,b08124038_moe,b08124039,b08124039_moe,b08124040,b08124040_moe,b08124041,b08124041_moe,b08124042,b08124042_moe,b08124043,b08124043_moe,b08124044,b08124044_moe,b08124045,b08124045_moe,b08124046,b08124046_moe,b08124047,b08124047_moe,b08124048,b08124048_moe,b08124049,b08124049_moe
1,Rogers Park,29987,1240,12047,707,7388,811,6161,622,1542,320,2839,452,10,49,11299,842,4898,473,2237,380,2125,353,782,226,1257,328,0,48,2667,449,966,237,464,175,661,224,195,115,371,178,10,49,11559,893,4366,454,3433,537,2666,407,236,147,858,258,0,48,1996,425,630,172,793,334,339,140,119,100,115,88,0,48,758,214,288,128,112,91,78,72,125,96,155,110,0,48,1708,347,899,218,349,201,292,133,85,94,83,80,0,48
2,West Ridge,31544,1410,10809,794,7013,794,7144,683,2092,452,4486,591,0,51,18516,1077,7410,690,3206,454,3869,482,1376,321,2655,444,0,51,3784,670,808,235,963,351,848,281,575,290,590,252,0,51,5390,641,1381,277,1651,369,1640,360,63,69,655,234,0,51,1845,400,407,141,724,291,477,167,0,51,237,122,0,51,687,207,124,96,160,94,54,66,66,78,283,154,0,51,1322,290,679,196,309,153,256,135,12,53,66,79,0,51
3,Uptown,31694,1148,16720,843,5427,649,6170,582,754,207,2623,491,0,48,10903,783,6354,560,1409,296,1758,312,345,143,1037,317,0,48,1769,433,798,218,250,242,418,183,139,88,164,110,0,48,13793,888,7164,609,2943,479,2730,400,99,78,857,290,0,48,1595,316,550,177,448,170,396,169,48,58,153,103,0,48,1500,321,631,184,183,112,349,146,46,86,291,161,0,48,2134,352,1223,266,194,128,519,171,77,80,121,100,0,48
4,Lincoln Square,23019,819,12378,686,3381,440,4404,461,1146,303,1700,405,10,42,11121,738,5721,484,1454,295,2116,333,699,218,1121,364,10,42,1647,335,864,219,344,176,208,92,126,91,105,71,0,40,7462,590,4363,428,1134,288,1479,273,214,161,272,141,0,40,861,199,337,124,239,107,181,88,75,72,29,47,0,40,708,194,234,94,142,86,201,114,8,40,123,90,0,40,1220,230,859,199,68,59,219,93,24,42,50,61,0,40
5,North Center,20718,729,11771,581,1840,301,5726,476,601,155,780,189,0,43,10592,597,6047,457,913,218,2800,325,392,127,440,134,0,43,1473,299,807,230,85,59,452,165,76,65,53,55,0,43,5540,463,3451,364,422,157,1390,245,86,65,191,116,0,43,759,177,306,109,212,100,217,96,0,43,24,47,0,43,673,168,371,132,119,69,131,70,10,41,42,56,0,43,1681,296,789,185,89,65,736,203,37,52,30,52,0,43
6,Lake View,68129,1434,42239,1243,6946,668,16262,897,962,234,1720,336,0,66,21887,961,14317,819,1452,268,4818,484,516,175,784,210,0,66,3792,454,2546,345,208,126,910,243,37,71,91,91,0,66,32813,1248,20017,1002,3426,490,8475,685,249,131,646,222,0,66,3513,479,1456,300,1184,259,702,178,52,82,119,154,0,66,1921,347,1075,261,475,169,235,127,73,101,63,78,0,66,4203,475,2828,396,201,120,1122,214,35,69,17,66,0,66
7,Lincoln Park,40875,1123,27224,978,3085,408,9514,689,407,143,645,183,0,51,14400,771,9988,655,870,208,3106,384,70,65,366,140,0,51,2122,340,1422,261,59,67,471,164,97,86,73,79,0,51,16911,898,11469,764,963,244,4214,467,112,86,153,102,0,51,2858,383,1420,272,649,174,701,186,67,72,21,52,0,51,1995,428,1251,342,331,159,336,153,60,76,17,53,0,51,2589,332,1674,272,213,100,686,175,1,49,15,55,0,51
8,Near North Side,50700,1470,33181,1274,4397,643,11441,876,813,237,868,248,0,54,13993,931,9862,787,830,302,2797,444,279,137,225,128,0,54,1424,358,898,249,75,83,318,142,91,92,42,62,0,54,12576,868,8361,698,917,241,2684,420,287,149,327,177,0,54,15446,1078,9301,799,1928,470,3883,545,139,111,195,114,0,54,3740,550,2630,478,336,198,684,206,17,60,73,70,0,54,3521,536,2129,372,311,167,1075,329,0,54,6,53,0,54
9,Edison Park,5862,391,2286,286,1380,283,1383,226,409,190,404,148,0,25,4303,408,1506,256,1137,250,1012,213,380,185,268,112,0,25,318,156,146,112,10,27,131,102,13,29,18,35,0,25,650,176,373,130,90,68,103,63,16,32,68,81,0,25,292,130,150,86,98,91,10,27,0,25,34,45,0,25,46,46,46,46,0,25,0,25,0,25,0,25,0,25,253,121,65,52,45,44,127,80,0,25,16,31,0,25
10,Norwood Park,17562,809,6199,541,3427,405,4114,488,2030,322,1786,346,6,41,13417,716,4813,501,2560,352,3087,401,1542,286,1409,302,6,41,1497,345,318,140,397,157,213,103,324,154,245,129,0,39,1772,347,730,191,331,190,521,189,101,85,89,59,0,39,227,132,63,57,46,63,106,103,12,44,0,39,0,39,95,67,21,49,11,37,20,43,0,39,43,50,0,39,554,174,254,111,82,69,167,102,51,75,0,39,0,39
11,Jefferson Park,12572,676,3911,465,2754,392,3079,411,1377,298,1444,297,7,29,8877,538,2744,375,1828,321,2246,367,1058,252,994,230,7,29,1250,305,469,208,211,108,189,102,205,123,176,99,0,29,1727,318,484,154,611,199,455,153,48,63,129,84,0,29,263,112,21,31,39,42,73,59,34,54,96,79,0,29,100,65,34,40,28,43,20,35,0,29,18,33,0,29,355,134,159,80,37,46,96,74,32,59,31,55,0,29
12,Forest Glen,9048,443,4629,403,1381,265,2166,315,337,126,535,162,0,29,6140,439,3210,351,876,201,1398,260,306,121,350,137,0,29,939,258,347,128,170,146,266,138,23,44,133,78,0,29,1215,229,682,159,247,119,243,100,8,30,35,47,0,29,317,113,152,79,21,44,127,78,0,29,17,31,0,29,77,61,27,37,40,53,10,33,0,29,0,29,0,29,360,108,211,89,27,35,122,62,0,29,0,29,0,29
13,North Park,8237,605,3508,433,1204,241,2192,348,477,165,856,186,0,27,5080,498,2195,338,692,173,1232,242,380,148,581,161,0,27,945,252,292,116,155,84,253,137,44,52,201,111,0,27,1106,259,491,178,133,92,443,167,9,29,30,44,0,27,479,160,220,113,130,95,113,85,16,34,0,27,0,27,203,92,51,56,36,45,90,68,0,27,26,32,0,27,424,163,259,137,58,49,61,51,28,49,18,38,0,27
14,Albany Park,26801,1288,7296,605,7999,885,4524,501,2343,462,4639,691,0,45,12417,850,3375,399,3011,472,2275,346,1311,304,2445,418,0,45,2996,485,587,170,662,205,382,156,436,195,929,281,0,45,8698,895,2369,320,3505,619,1317,298,438,247,1069,325,0,45,1224,270,233,109,554,212,335,139,14,50,88,66,0,45,382,148,198,116,39,51,51,61,0,45,94,80,0,45,1084,280,534,189,228,152,164,97,144,106,14,48,0,45
15,Portage Park,31046,1174,8390,637,7213,685,7593,660,3023,414,4785,547,42,56,19613,999,5263,515,4168,482,4739,546,2171,345,3230,439,42,56,4042,586,821,198,1080,332,975,278,509,179,657,198,0,47,5171,559,1524,273,1411,288,1344,286,172,97,720,206,0,47,774,215,221,107,192,111,243,104,27,53,91,69,0,47,526,191,97,83,177,117,77,67,98,105,77,83,0,47,920,232,464,148,185,106,215,109,46,61,10,49,0,47
16,Irving Park,28693,1190,9379,668,6668,806,6688,559,2381,359,3542,494,35,66,16223,936,5212,528,3110,446,3772,454,1867,330,2262,399,0,47,2968,443,1091,257,651,212,629,161,213,96,384,147,0,47,6321,602,1926,269,2122,426,1662,297,104,86,472,155,35,66,1002,250,319,133,294,135,202,111,51,63,136,89,0,47,744,200,304,121,185,98,34,57,41,59,180,115,0,47,1435,341,527,156,306,226,389,155,105,88,108,89,0,47
17,Dunning,21257,904,5651,541,4897,563,5423,472,2340,339,2946,408,0,40,16142,856,4384,457,3613,491,3878,406,1792,304,2475,375,0,40,2309,371,562,159,514,171,564,144,391,145,278,125,0,40,1887,306,460,141,582,177,607,197,62,63,176,88,0,40,436,185,66,68,83,71,287,162,0,40,0,40,0,40,285,175,127,157,46,57,57,55,45,61,10,41,0,40,198,88,52,50,59,49,30,44,50,65,7,40,0,40
18,Montclare,5205,455,1323,284,887,208,1544,278,516,153,935,234,0,23,3533,415,959,253,659,169,976,202,379,128,560,181,0,23,743,237,115,81,139,71,225,128,44,40,220,125,0,23,648,174,137,72,73,52,308,140,37,53,93,60,0,23,49,50,14,27,0,23,35,44,0,23,0,23,0,23,166,95,48,56,0,23,0,23,56,52,62,54,0,23,66,47,50,41,16,30,0,23,0,23,0,23,0,23
19,Belmont Cragin,31952,1400,4311,498,7796,706,7446,660,3189,442,9210,795,0,52,20044,1096,2974,405,3991,482,5114,531,2285,377,5680,595,0,52,5504,729,456,153,1452,332,947,248,423,170,2226,435,0,52,4592,597,466,159,1904,344,1046,256,278,155,898,274,0,52,857,231,217,125,180,99,202,103,43,74,215,119,0,52,415,164,17,52,120,105,60,70,109,93,109,90,0,52,540,160,181,118,149,85,77,67,51,64,82,79,0,52
