area_id,area_name,b19202a001,b19202a001_moe
1,Rogers Park,423976,51145
2,West Ridge,469114,92066
3,Uptown,558905,65194
4,Lincoln Square,566265,38720
5,North Center,890244,64644
6,Lake View,2309816,108755
7,Lincoln Park,1419566,97806
8,Near North Side,1555318,129899
9,Edison Park,155162,30608
10,Norwood Park,319789,40763
11,Jefferson Park,169248,23833
12,Forest Glen,136001,41880
13,North Park,147605,48597
14,Albany Park,461271,125200
15,Portage Park,451799,59362
16,Irving Park,582760,92682
17,Dunning,307321,55266
18,Montclare,48840,8122
19,Belmont Cragin,454436,66312
20,Hermosa,146283,122691
21,Avondale,394354,60079
22,Logan Square,1451103,111288
23,Humboldt Park,437389,183624
24,West Town,1998928,132661
25,Austin,196468,71704
27,East Garfield Park,178969,164736
28,Near West Side,1067262,197975
29,North Lawndale,228467,100894
30,South Lawndale,393448,115889
31,Lower West Side,355359,92166
32,Loop,305592,115132
33,Near South Side,281250,27728
34,Armour Square,140302,73943
35,Douglas,186547,100850
38,Grand Boulevard,508474,464490
39,Kenwood,310528,120360
41,Hyde Park,438460,93775
42,Woodlawn,173187,95317
43,South Shore,157981,133115
44,Chatham,17361,47947
45,Avalon Park,130699,147592
46,South Chicago,151951,533536
48,Calumet Heights,9485,64909
49,Roseland,56858,32622
50,Pullman,44152,14017
51,South Deering,107988,49003
52,East Side,161937,59834
53,West Pullman,19219,6561
55,Hegewisch,60107,19759
56,Garfield Ridge,246704,41174
57,Archer Heights,124368,23048
58,Brighton Park,244255,75572
59,McKinley Park,171667,36091
60,Bridgeport,342220,84695
61,New City,387123,203498
62,West Elsdon,125648,54401
63,Gage Park,204415,69633
64,Clearing,226140,48179
65,West Lawn,159636,53730
66,Chicago Lawn,219642,485405
67,West Englewood,24188,4449
68,Englewood,37727,52461
70,Ashburn,284237,131108
72,Beverly,407417,104241
74,Mount Greenwood,231062,43365
75,Morgan Park,186542,33703
76,O'Hare,151384,47908
77,Edgewater,733951,60655
