area_id,area_name,b19202h001,b19202h001_moe
1,Rogers Park,440823,54419
2,West Ridge,452017,95727
3,Uptown,595516,74835
4,Lincoln Square,576388,45215
5,North Center,892659,83232
6,Lake View,2349241,128327
7,Lincoln Park,1440469,98068
8,Near North Side,1568571,146689
9,Edison Park,154802,30984
10,Norwood Park,322951,39570
11,Jefferson Park,165026,27253
12,Forest Glen,128286,34866
13,North Park,126203,49728
14,Albany Park,455129,132582
15,Portage Park,475666,63039
16,Irving Park,585540,122780
17,Dunning,312382,56170
18,Montclare,48981,8002
19,Belmont Cragin,469644,102709
20,Hermosa,215816,159566
21,Avondale,374109,64390
22,Logan Square,1538445,159541
23,Humboldt Park,420904,179263
24,West Town,2134334,138958
25,Austin,68145,93171
27,East Garfield Park,201636,166173
28,Near West Side,1119976,175885
29,North Lawndale,175467,51805
30,South Lawndale,222328,128367
31,Lower West Side,442855,89012
32,Loop,310688,115485
33,Near South Side,284554,34503
34,Armour Square,141802,73241
35,Douglas,203489,112305
38,Grand Boulevard,360802,464041
39,Kenwood,357666,159754
41,Hyde Park,448623,193881
42,Woodlawn,109229,93281
43,South Shore,113636,79037
44,Chatham,17361,47947
45,Avalon Park,130699,147592
46,South Chicago,70045,530012
48,Calumet Heights,88000,97487
49,Roseland,11719,24112
50,Pullman,44554,16386
51,South Deering,61172,15259
52,East Side,198201,36688
53,West Pullman,18229,7270
55,Hegewisch,64165,21308
56,Garfield Ridge,230929,41011
57,Archer Heights,123737,41440
58,Brighton Park,179852,56805
59,McKinley Park,170018,32036
60,Bridgeport,345969,84497
61,New City,338486,217393
62,West Elsdon,96708,97224
63,Gage Park,165777,73114
64,Clearing,224738,51942
65,West Lawn,146973,57940
66,Chicago Lawn,140075,485002
70,Ashburn,284590,130108
72,Beverly,403488,103861
74,Mount Greenwood,220279,46119
75,Morgan Park,180268,33342
76,O'Hare,151653,46257
77,Edgewater,726323,61649
