area_id,area_name,b09019001,b09019001_moe,b09019002,b09019002_moe,b09019003,b09019003_moe,b09019004,b09019004_moe,b09019005,b09019005_moe,b09019006,b09019006_moe,b09019007,b09019007_moe,b09019008,b09019008_moe,b09019009,b09019009_moe,b09019010,b09019010_moe,b09019011,b09019011_moe,b09019012,b09019012_moe,b09019013,b09019013_moe,b09019014,b09019014_moe,b09019015,b09019015_moe,b09019016,b09019016_moe,b09019017,b09019017_moe,b09019018,b09019018_moe,b09019019,b09019019_moe,b09019020,b09019020_moe,b09019021,b09019021_moe,b09019022,b09019022_moe,b09019023,b09019023_moe,b09019024,b09019024_moe,b09019025,b09019025_moe,b09019026,b09019026_moe,b09019027,b09019027_moe,b09019028,b09019028_moe,b09019029,b09019029_moe,b09019030,b09019030_moe,b09019031,b09019031_moe,b09019032,b09019032_moe,b09019033,b09019033_moe,b09019034,b09019034_moe,b09019035,b09019035_moe,b09019036,b09019036_moe,b09019037,b09019037_moe,b09019038,b09019038_moe
1,Rogers Park,57559,2198,54629,2112,35739,2339,10091,605,5214,503,4877,463,6178,528,13647,1154,12916,1116,365,162,366,162,809,306,1267,380,702,250,157,128,41,66,1356,410,1491,529,130,159,344,225,552,163,0,48,465,423,18890,1154,13890,663,7447,576,5534,527,1913,305,6443,504,5161,446,1282,246,5000,755,488,378,2620,648,1712,288,0,48,180,140,2930,533
2,West Ridge,73705,2596,72242,2574,61786,2822,16321,613,10064,614,6257,523,12026,621,24754,1666,23728,1663,569,252,457,239,934,336,1824,489,2259,547,577,244,239,134,1721,555,1131,434,18,58,297,267,572,210,0,51,244,207,10456,982,8081,558,4083,465,3153,424,930,251,3998,402,3451,373,547,183,2375,654,609,420,774,349,746,211,0,51,246,156,1463,304
3,Uptown,54995,1710,52122,1621,27175,1826,9232,572,4849,471,4383,464,6221,494,7815,916,7492,907,233,117,90,83,596,330,993,313,584,246,88,83,55,70,1031,350,560,195,25,53,35,60,270,108,13,50,217,169,24947,1002,20209,662,10453,617,8491,590,1962,304,9756,608,8203,574,1553,265,4738,590,527,267,2090,450,2019,282,8,48,94,84,2873,597
4,Lincoln Square,38622,1335,38022,1337,25862,1558,8394,466,4656,413,3738,375,6747,432,8355,759,8053,739,199,110,103,106,445,205,311,144,714,332,60,57,90,65,365,179,381,142,18,48,27,45,218,113,0,40,118,74,12160,755,9228,493,4556,426,3485,402,1071,206,4672,404,3538,362,1134,231,2932,449,271,165,1111,265,1369,256,0,40,181,116,600,214
5,North Center,33418,1097,33314,1088,22413,1185,7252,362,4199,323,3053,296,6092,337,7621,627,7407,625,134,78,80,73,150,96,322,113,253,191,60,78,17,49,191,133,455,162,29,52,137,98,139,76,0,43,150,103,10901,746,7472,391,3570,355,2401,303,1169,218,3902,330,2821,301,1081,193,3429,512,759,328,1364,370,1132,194,0,43,174,106,104,117
6,Lake View,96539,1732,96065,1725,41582,1807,14864,634,8699,538,6165,474,12646,590,11329,764,10943,761,300,119,86,84,286,182,873,198,294,146,30,80,68,87,266,138,926,353,13,69,475,311,290,121,0,66,148,120,54483,1532,37704,825,18200,791,12808,722,5392,469,19504,776,14368,714,5136,449,16779,1056,1321,410,10928,941,3983,414,37,79,510,219,474,161
7,Lincoln Park,64631,1722,61161,1634,30072,1707,10261,528,6260,441,4001,390,8949,526,9669,863,9209,854,299,124,161,125,112,87,303,136,70,76,20,56,29,55,174,112,485,166,73,85,125,93,216,95,43,83,28,55,31089,1201,21933,645,10523,600,7611,535,2912,348,11410,583,8903,544,2507,332,9156,861,672,241,6458,791,1671,294,0,51,355,139,3470,517
8,Near North Side,80516,1818,78732,1796,37291,1948,15079,781,9664,677,5415,530,12674,730,7141,808,6927,799,159,109,55,69,309,131,797,286,283,162,51,76,7,54,534,281,416,214,34,64,116,153,80,77,41,74,145,112,41441,1354,35679,1047,15521,907,13158,871,2363,402,20158,933,18112,908,2046,339,5762,680,167,95,3251,557,2163,398,0,54,181,122,1784,365
9,Edison Park,11135,498,11130,498,8970,580,2829,194,1871,190,958,180,2270,188,3193,360,3090,372,65,51,38,45,136,109,178,131,167,113,33,52,16,26,66,52,82,66,0,25,8,27,29,29,0,25,45,51,2160,315,1779,205,828,156,592,143,236,107,951,172,899,169,52,56,381,182,15,30,212,177,154,82,0,25,0,25,5,19
10,Norwood Park,37429,1230,36826,1210,31158,1404,9614,389,5715,385,3899,395,7512,400,11172,786,10983,791,82,72,107,65,365,155,332,192,753,258,288,193,94,74,736,425,292,119,0,39,75,63,101,72,0,39,116,81,5668,506,5032,384,1958,279,1745,264,213,123,3074,320,2805,308,269,135,636,261,17,45,327,220,276,141,0,39,16,44,603,175
