area_id,area_name,b14005001,b14005001_moe,b14005002,b14005002_moe,b14005003,b14005003_moe,b14005004,b14005004_moe,b14005005,b14005005_moe,b14005006,b14005006_moe,b14005007,b14005007_moe,b14005008,b14005008_moe,b14005009,b14005009_moe,b14005010,b14005010_moe,b14005011,b14005011_moe,b14005012,b14005012_moe,b14005013,b14005013_moe,b14005014,b14005014_moe,b14005015,b14005015_moe,b14005016,b14005016_moe,b14005017,b14005017_moe,b14005018,b14005018_moe,b14005019,b14005019_moe,b14005020,b14005020_moe,b14005021,b14005021_moe,b14005022,b14005022_moe,b14005023,b14005023_moe,b14005024,b14005024_moe,b14005025,b14005025_moe,b14005026,b14005026_moe,b14005027,b14005027_moe,b14005028,b14005028_moe,b14005029,b14005029_moe
63,Gage Park,3051,389,1467,274,1255,266,204,98,293,131,758,195,212,115,71,55,26,45,0,41,45,49,141,99,58,68,25,46,58,75,1584,284,1279,250,195,124,164,84,920,202,305,131,167,104,81,73,31,60,55,68,138,84,109,79,20,49,9,40
64,Clearing,940,212,500,159,409,137,81,62,74,76,254,98,91,94,68,89,8,32,60,89,0,31,23,41,0,31,23,41,0,31,440,142,385,131,126,75,43,49,216,96,55,57,17,39,0,31,17,39,0,31,38,52,0,31,0,31,38,52
65,West Lawn,1981,320,1192,253,1089,246,106,67,54,46,929,242,103,65,68,58,25,35,9,34,34,53,35,41,21,38,9,35,5,34,789,229,689,225,174,91,30,44,485,204,100,75,43,51,43,51,0,34,0,34,57,65,26,51,0,34,31,53
66,Chicago Lawn,4221,495,2177,337,1641,300,126,73,105,75,1410,284,536,167,314,128,203,115,8,47,103,69,222,111,51,62,69,78,102,83,2044,337,1596,289,163,88,129,79,1304,270,448,168,259,131,64,79,44,71,151,98,189,108,51,70,0,49,138,95
67,West Englewood,3051,367,1635,267,1238,233,129,93,239,113,870,189,397,135,124,71,49,61,40,54,35,55,273,123,45,58,123,84,105,87,1416,218,1194,202,94,59,253,98,847,170,222,84,103,59,8,48,43,52,52,55,119,71,0,48,51,61,68,56
68,Englewood,2309,327,1211,230,1044,218,33,48,132,91,879,201,167,76,73,59,20,46,21,40,32,49,94,57,0,36,41,45,53,50,1098,222,815,195,85,71,118,74,612,175,283,106,147,77,13,40,53,56,81,61,136,78,12,40,4,37,120,75
69,Greater Grand Crossing,2313,371,1072,237,831,200,60,62,112,72,659,183,241,117,91,86,38,69,31,53,22,51,150,83,12,42,51,48,87,67,1241,260,1035,233,94,64,177,90,764,203,206,103,137,88,24,45,48,74,65,54,69,65,0,38,0,38,69,65
70,Ashburn,2974,433,1688,328,1349,291,242,105,51,67,1056,271,339,161,247,136,78,100,116,87,53,61,92,93,60,80,0,41,32,63,1286,298,1130,278,198,103,95,65,837,225,156,97,124,87,0,41,64,68,60,64,32,48,0,41,9,42,23,46
71,Auburn Gresham,3999,480,1904,355,1566,334,42,68,246,141,1278,309,338,132,148,106,74,84,24,58,50,67,190,93,32,55,112,82,46,54,2095,327,1692,296,86,91,538,166,1068,239,403,138,158,81,20,50,87,66,51,57,245,120,0,46,63,71,182,107
72,Beverly,1020,193,434,115,434,115,50,41,41,43,343,105,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,586,142,579,142,158,83,70,60,351,112,7,29,0,29,0,29,0,29,0,29,7,29,0,29,0,29,7,29
73,Washington Heights,1454,294,725,214,557,184,61,56,81,100,415,149,168,121,141,114,25,43,51,66,65,95,27,37,0,33,2,32,25,38,729,215,619,198,13,36,148,85,458,181,110,84,61,59,0,33,61,59,0,33,49,67,16,36,0,33,33,66
74,Mount Greenwood,1198,237,535,172,498,164,191,141,45,44,262,93,37,41,19,32,10,28,9,26,0,25,18,36,0,25,18,36,0,25,663,166,647,164,203,93,74,54,370,131,16,34,16,34,16,34,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,1074,242,584,164,493,158,75,65,12,34,406,149,91,58,51,47,33,43,18,34,0,31,40,46,29,42,11,34,0,31,490,176,466,175,71,49,42,48,353,170,24,37,24,37,13,34,11,34,0,31,0,31,0,31,0,31,0,31
76,O'Hare,235,136,144,116,120,97,30,54,0,38,90,90,24,49,0,38,0,38,0,38,0,38,24,49,0,38,0,38,24,49,91,88,91,88,13,43,0,38,78,85,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
77,Edgewater,2500,434,889,232,790,210,152,84,73,67,565,170,99,95,19,55,19,55,0,48,0,48,80,90,49,73,0,48,31,71,1611,331,1497,326,336,119,133,100,1028,249,114,68,114,68,28,65,2,47,84,53,0,48,0,48,0,48,0,48
