area_id,area_name,b20004001,b20004001_moe,b20004002,b20004002_moe,b20004003,b20004003_moe,b20004004,b20004004_moe,b20004005,b20004005_moe,b20004006,b20004006_moe,b20004007,b20004007_moe,b20004008,b20004008_moe,b20004009,b20004009_moe,b20004010,b20004010_moe,b20004011,b20004011_moe,b20004012,b20004012_moe,b20004013,b20004013_moe,b20004014,b20004014_moe,b20004015,b20004015_moe,b20004016,b20004016_moe,b20004017,b20004017_moe,b20004018,b20004018_moe
1,Rogers Park,283980,15866,171911,29917,201458,22023,261008,29373,371854,36032,473439,50673,294732,20322,195660,67182,187358,29870,274492,61250,409158,82810,537393,104831,277251,24254,176530,55450,187924,51000,233536,63920,341638,51303,422603,53670
2,West Ridge,409916,28025,253023,35238,344161,43295,383150,46438,491244,57304,717634,78924,457065,37288,292947,70960,364608,109014,419703,80818,559939,114107,717089,125280,360625,35264,241085,104135,289011,69219,354110,68235,445018,89636,712684,154326
3,Uptown,329148,25916,145013,27631,220397,43161,264720,46960,416897,51153,466832,46166,334284,33624,156320,39622,235917,59883,263148,91700,462844,65585,551485,92958,319887,28518,144534,61017,224182,55025,261830,62135,329938,57556,437651,62687
4,Lincoln Square,241557,17462,125115,41172,174794,63164,212120,49701,326455,36542,296120,45429,271847,30701,109913,37580,206849,64801,219872,57223,345788,48819,435984,93228,224874,20456,116591,16063,105800,18993,222608,87044,294021,29907,261972,28790
5,North Center,60449,12236,7344,47820,25915,10560,52813,21442,63393,7879,92639,36919,73068,18152,42917,12484,26951,34579,53906,40465,81700,11621,160000,210208,50625,12781,6563,19692,19018,1662,40313,21178,50511,14505,54875,47300
6,Lake View,42697,8335,13088,9469,26389,14395,34779,10661,46797,9829,64107,19617,33750,12321,6190,172,37031,17730,38000,15238,20583,6944,64464,22083,46899,5584,14706,19366,14875,16294,33977,10396,50968,9698,62391,47556
7,Lincoln Park,130750,18791,49603,9845,49000,269359,63947,41497,130371,26639,161065,40311,147258,17497,68925,8549,72632,464169,80248,23429,138485,44197,219006,57904,98965,16310,45630,13422,11696,27044,35995,19161,111667,23813,138032,30777
8,Near North Side,56350,10118,14667,19612,33125,27085,30305,5530,93750,24670,89120,13268,88563,29202,5278,10232,33542,46790,31921,17178,111333,34388,135465,32517,49000,14167,25263,19274,22115,49381,26513,8460,75714,22188,63516,13103
9,Edison Park,102981,13331,44782,35701,102788,43063,100910,39040,125573,19738,198349,77953,136518,23132,60254,59677,149090,31853,118823,58123,147997,36527,220617,34101,78333,13874,26987,38579,66938,26987,73869,53879,84888,37482,94886,154361
10,Norwood Park,240178,17492,117706,47998,161257,34201,224324,24320,324585,35458,358801,73317,293199,31275,145132,60648,227764,68452,257599,62134,390791,55889,408958,96126,199701,18715,83414,55433,117827,21313,181340,24554,286275,36236,299769,76073
11,Jefferson Park,186743,14988,119200,16712,177184,31503,156055,23477,273685,42659,328991,37340,206890,27832,129766,41493,184754,71755,188184,37261,312701,43644,323922,60006,162527,20627,116283,96473,125076,37659,140453,33015,221849,59773,336131,98044
12,Forest Glen,46707,5865,28750,15682,38897,19490,40865,11397,39792,17962,82969,25160,52375,7411,21964,29823,47455,13680,48500,18179,55250,21617,97470,6214,31915,6321,30600,18060,12083,5445,36023,23742,31392,8369,63250,15767
13,North Park,100780,9396,64332,17387,68252,14561,82718,16668,138220,23379,158005,27233,113910,15928,72651,55259,62588,31283,93142,17240,147803,38109,207661,107243,92045,9464,59013,35917,66875,29651,56568,29102,113500,44033,124484,49082
14,Albany Park,291069,18030,209634,18942,239165,27612,282538,43591,461734,59261,664829,159651,301521,32719,231309,18039,258454,27569,311315,42944,518596,111798,613171,201555,271379,26350,167820,24505,206320,55284,270714,59603,443519,70041,789119,224977
15,Portage Park,363696,13489,251869,26645,313962,26837,369101,29214,549271,58361,584360,91736,404424,25308,272513,30539,364576,30310,454771,59308,629584,219376,800135,349836,323333,19403,206357,30771,269427,53371,325836,44467,507090,107581,574702,85342
16,Irving Park,440355,22321,291572,43475,366618,45301,433547,48303,633153,64661,865121,101724,449147,35894,297007,45025,372883,45870,510758,57508,737125,133129,764228,205868,446151,36458,258596,52394,333554,158189,360938,77461,604187,76061,989988,261863
17,Dunning,286123,18853,199812,32873,261382,25465,295699,37202,322751,46864,460341,69018,330933,26993,224441,60109,321841,46392,341003,41653,402608,104422,518427,95905,249481,25230,177466,40322,216841,28071,251323,51209,271356,71811,394649,102666
18,Montclare,66608,6912,44797,9518,53461,9546,76414,15610,94114,23683,130351,41745,74347,8562,62217,31542,53286,22591,81773,7006,111791,50162,152792,73723,59053,12945,34714,9852,54078,17573,55901,15144,92729,29576,127751,79239
19,Belmont Cragin,189997,11277,154305,19914,169260,19591,203988,22505,269384,64255,379558,191444,213734,24582,188789,19077,191147,37114,241037,69816,282975,93062,518097,312911,169987,14104,131232,27877,136014,31511,189228,29512,285320,147111,414674,91229
21,Avondale,218522,12180,158495,18858,187689,21083,207129,33110,314401,38076,408574,84463,221649,16354,160586,39156,216358,53640,240335,50642,363141,52630,422826,151199,206416,18015,140878,41893,160429,26444,202470,35166,275748,42067,374912,57317
22,Logan Square,477026,24183,292117,56700,307870,30140,414064,52801,658992,44970,813489,90559,500356,34238,331042,67177,339134,45803,479404,79693,770552,81433,947616,225382,444354,36286,229370,84819,236696,46919,412630,88483,637506,60434,706333,102166
23,Humboldt Park,87430,8402,66276,16138,78399,14499,99373,13975,119913,27894,149641,73231,95399,7754,89853,28905,82382,43335,105370,27112,119677,37453,188420,123112,74166,9734,56924,17852,64394,13252,87248,23808,119321,111046,146288,84890
24,West Town,429676,27111,207046,42959,238597,76194,368388,79225,551696,50173,641652,66780,505986,48035,286844,89143,318029,88367,617340,428093,575401,82071,743131,162184,387228,40048,193874,23183,182982,78773,294067,68543,522258,63466,606186,131377
25,Austin,159695,14042,103869,38393,120779,30472,167962,15162,218518,60729,244417,59940,169499,22772,123213,80937,148191,53107,184032,33585,278374,94573,299138,107375,148652,16775,83966,58446,93999,26107,172612,39273,221478,101005,222107,81071
27,East Garfield Park,79121,9517,54594,17525,55092,20804,83695,7712,144890,37223,125537,59354,68468,29783,96769,89793,68381,33160,52625,35140,126249,84101,127684,36563,83302,12480,54523,17511,43866,16799,87939,13969,173125,105346,101833,57004
28,Near West Side,315739,19641,116372,63008,194135,63763,227231,45887,351638,60184,417244,90466,338481,36284,180707,136664,328638,100331,213840,94285,332207,130912,522689,174143,282397,43340,108522,448583,147532,53940,234027,79741,347350,70952,383264,72641
29,North Lawndale,31929,8556,19868,34403,28789,11093,31739,25016,55990,45169,216583,53727,39676,28781,51750,60510,65238,58889,12857,23339,4688,75173,217208,25588,29727,9340,19408,15206,17474,8437,37292,9684,57448,75244,61875,12373
30,South Lawndale,39601,3670,34791,4079,37690,10676,43219,13482,77790,54880,77696,11451,42021,2731,38611,3028,49304,13586,69605,34731,81567,131575,36325,85165,33733,4353,23990,3792,28726,2382,36969,5504,46131,96181,78287,14303
31,Lower West Side,194416,19538,155154,22340,181761,22886,240417,34730,284921,37952,402506,111914,194290,23570,179262,36880,180467,34358,225250,41093,244063,102653,369859,157562,195829,20105,124257,16373,155400,25626,235812,44320,284647,61342,377737,195837
34,Armour Square,95335,20937,60970,13625,72987,17968,121343,57949,163140,50910,187393,64830,101734,23038,60595,29866,78520,22522,127909,80436,169766,89326,238690,103933,94916,22928,60659,11681,101876,39743,117258,91934,162978,47090,227411,60736
36,Oakland,34783,12081,5625,3558,26731,12638,24923,4312,61250,18229,78958,13451,39087,32076,3088,2323,26875,9249,64141,53511,65104,45614,77833,27640,27439,17002,7250,40839,14750,80419,23404,5605,61184,17150,80250,14567
38,Grand Boulevard,59816,10490,34964,19816,39100,7866,60194,9356,96439,20495,133295,31812,66805,28211,44125,43634,42018,16097,76982,43635,125929,72589,201130,66427,59622,12056,20989,12296,38471,19276,62819,13916,95989,24636,107657,27792
39,Kenwood,72057,7802,19436,20350,66438,13469,59108,10663,90798,39817,146558,30480,72362,14543,15911,13382,60260,15001,74774,48894,116329,241403,174661,219872,73743,14095,29973,15768,74480,31420,55444,29664,93160,43888,143614,34392
42,Woodlawn,30826,4968,20048,28416,14063,17288,24821,12021,40694,12618,49485,9696,35313,11977,5938,25612,7426,68506,23214,13454,44427,8082,55852,6678,26250,10752,20529,14621,14219,15689,28000,15056,33400,12385,34091,28122
43,South Shore,59347,7474,30670,16115,47734,25577,61187,14790,70106,14330,84347,86378,62712,17710,31388,41213,56324,25219,46394,51494,95771,135344,84682,106834,57484,11126,26388,22906,30716,36890,58829,18767,72610,11825,83500,96039
44,Chatham,29111,5362,14460,2150,23922,7208,26149,5605,51734,20059,82813,37776,21199,7624,14460,2215,22365,16837,21840,19956,9308,64858,99258,45966,31839,15933,17500,31181,26402,15349,26389,8846,52734,9647,64231,17366
45,Avalon Park,34760,7326,12978,11613,29000,11480,40948,17895,51917,32120,81406,14379,34426,12424,4449,1969,34537,6818,53646,39556,30938,10955,85850,2440,35389,8056,25658,11828,18333,9729,36810,10390,64048,7259,62348,9651
46,South Chicago,108448,16594,81990,56651,101421,25774,105930,20024,146683,37313,157276,78018,106556,17339,93873,51391,107179,58334,101786,33876,106233,88657,131741,121893,106462,18607,44980,9436,92908,31383,110292,24291,151930,20759,173791,78603
48,Calumet Heights,32015,7930,14053,3240,22188,20506,31944,4991,35938,25223,46898,8926,32750,17701,13977,9158,30000,41783,24688,25370,51786,38541,46806,1418,31929,5361,17813,31312,17000,16355,33571,16420,30714,34033,62778,44217
49,Roseland,160037,22788,93992,53145,132224,31877,137028,24346,221578,64843,297813,128691,172587,34587,236393,118357,240147,177372,155010,37155,167100,119895,272140,359683,150441,29117,72382,21784,122644,39812,140020,35458,246347,72259,366317,169627
51,South Deering,60825,7516,46600,18026,49404,7180,59749,8422,79683,25886,107734,27328,82665,19979,73589,47640,59533,18988,83651,18730,115078,18623,103377,41999,56159,9148,42625,32391,37303,12374,54680,7963,57175,16140,102874,43944
52,East Side,70630,11985,70668,26381,54070,7193,83586,24531,89617,18602,146060,40869,83445,14793,68985,26611,54279,19138,118208,50067,110469,79523,148662,34149,60491,9572,47691,14832,56382,10054,60404,21143,88763,43031,120969,48881
53,West Pullman,69361,12222,22070,19415,71256,19223,74459,17298,73820,33085,94904,115264,82656,18518,11579,40233,86823,41832,74231,23777,107662,97571,234182,236314,63259,10948,37765,30779,61951,30499,82433,26769,65071,27478,93947,91427
55,Hegewisch,36088,3161,29632,8439,25664,16539,36819,5020,53359,21209,81622,5561,41597,6950,27454,11781,20313,16832,54844,16649,64904,25122,81486,12165,33375,5871,33342,27449,29315,18172,24289,14657,48427,16827,85143,105963
56,Garfield Ridge,237312,18179,206295,51873,177857,16804,278899,27577,277506,75210,389006,86065,305565,24512,250934,51173,219533,42813,342893,54420,323261,114683,424537,127462,190766,17994,125421,27324,150217,34638,207209,45232,272533,135289,294129,86939
57,Archer Heights,52093,3863,39635,5818,53511,5678,58081,12419,71743,23791,87980,23711,58403,3674,54000,17081,59020,3064,65821,26247,76458,83975,237924,31197,43411,4369,31771,4443,40941,10940,52145,10353,66495,34534,76528,61494
58,Brighton Park,20840,4658,16955,4594,19234,6234,30388,19869,42721,50463,45690,39600,21944,6383,17211,6773,27679,40313,30560,83831,63304,65912,46111,97575,19476,5651,14917,2902,19073,6078,26944,29609,4881,67716,43750,5683
59,McKinley Park,105134,8837,82861,8641,89016,16951,134919,22450,186048,54084,264386,89018,114593,14138,76265,23662,91619,28716,149044,29422,230561,130140,238668,138758,94538,10006,81060,17609,83037,16181,107004,24509,157073,88526,245399,100756
60,Bridgeport,278381,18870,168098,35517,222615,31096,295927,42499,329993,62369,475124,61984,320600,38263,182686,108982,291482,69096,388967,70748,409422,122404,621740,237559,248247,20290,148851,32613,195054,36694,268979,48130,321145,72685,423750,84299
61,New City,83949,8262,58260,48544,89237,22193,80359,11390,102301,44879,93061,18695,96122,16674,79072,31006,98521,20429,117513,16477,144689,64340,91553,23285,72350,14616,18770,41168,81677,23442,32411,53373,85120,21341,107899,26958
62,West Elsdon,83643,7230,75318,8966,75430,12699,92984,22626,131762,47206,151421,40158,89646,11936,84160,14733,86696,14730,88572,26438,137105,51823,147263,20133,69831,9783,66611,16940,61851,16837,96310,34561,137484,86182,174605,75110
64,Clearing,148751,11255,103887,24308,121036,18178,166464,32936,214332,34485,229576,111606,172419,16145,118365,47089,141301,20692,173425,24247,244474,53595,248131,264424,127964,14974,98043,24731,95304,19600,139114,17529,199306,56543,219111,65980
65,West Lawn,96713,8387,84197,10767,83178,12101,103530,9772,152727,42125,166315,99629,114016,8862,89580,16873,108428,8372,131900,31585,168919,120555,136356,143719,80363,9699,71775,14911,68374,9431,84240,17809,130913,41015,168616,94703
