area_id,area_name,b19313g001,b19313g001_moe
1,Rogers Park,37566100,13838179
2,West Ridge,17439400,6833949
3,Uptown,31057100,13951907
4,Lincoln Square,20005600,8380345
5,North Center,13971500,5965866
6,Lake View,45678800,19522670
7,Lincoln Park,26314000,12709296
8,Near North Side,61634600,34478203
9,Edison Park,4447500,4109069
10,Norwood Park,8551200,6101448
11,Jefferson Park,10620200,5709294
12,Forest Glen,16056300,13261876
13,North Park,8456700,5137512
14,Albany Park,29383200,9685931
15,Portage Park,31081700,9253050
16,Irving Park,28243200,9140671
17,Dunning,7600500,4273625
18,Montclare,2844200,2791303
19,Belmont Cragin,28667100,12303082
20,Hermosa,5627900,2949243
21,Avondale,9026600,3743661
22,Logan Square,30456700,8933725
23,Humboldt Park,13182000,6125262
24,West Town,42181400,11546632
25,Austin,5639000,4309144
26,West Garfield Park,47200,67302
27,East Garfield Park,874000,950456
28,Near West Side,40583900,15653366
29,North Lawndale,1558400,1461876
30,South Lawndale,2937100,1983500
31,Lower West Side,10929200,4172642
32,Loop,33887800,22143403
33,Near South Side,11045900,7439702
34,Armour Square,3823700,3038043
35,Douglas,4566100,3392309
38,Grand Boulevard,3399100,2508058
39,Kenwood,15062200,13925765
40,Washington Park,1460400,1682133
41,Hyde Park,16513100,6539907
42,Woodlawn,11196200,6277971
43,South Shore,12340900,6670734
44,Chatham,5398500,3210717
45,Avalon Park,1618900,1934236
46,South Chicago,4095500,3001442
49,Roseland,5666900,3894482
51,South Deering,1558700,1191362
52,East Side,4725300,2847076
53,West Pullman,4013800,4503561
55,Hegewisch,3128500,2492109
56,Garfield Ridge,13287700,5115954
57,Archer Heights,1126300,1131819
58,Brighton Park,3252200,2317557
59,McKinley Park,2528200,2940255
60,Bridgeport,5167300,2291658
61,New City,2312200,1693836
62,West Elsdon,1663900,1777113
63,Gage Park,3246200,3134997
64,Clearing,1792300,1465129
65,West Lawn,12085000,5864950
66,Chicago Lawn,4457000,3234976
67,West Englewood,4571300,4361529
68,Englewood,1251600,1092210
69,Greater Grand Crossing,1599000,4431692
70,Ashburn,3040600,1972198
71,Auburn Gresham,605000,640845
72,Beverly,4724000,3166645
73,Washington Heights,500000,1069865
74,Mount Greenwood,1003700,1362135
75,Morgan Park,3845400,2328052
76,O'Hare,10878500,8257409
77,Edgewater,45251300,13674720
