area_id,area_name,b14007a001,b14007a001_moe,b14007a002,b14007a002_moe,b14007a003,b14007a003_moe,b14007a004,b14007a004_moe,b14007a005,b14007a005_moe,b14007a006,b14007a006_moe,b14007a007,b14007a007_moe,b14007a008,b14007a008_moe,b14007a009,b14007a009_moe,b14007a010,b14007a010_moe,b14007a011,b14007a011_moe,b14007a012,b14007a012_moe,b14007a013,b14007a013_moe,b14007a014,b14007a014_moe,b14007a015,b14007a015_moe,b14007a016,b14007a016_moe,b14007a017,b14007a017_moe,b14007a018,b14007a018_moe,b14007a019,b14007a019_moe
1,Rogers Park,28945,1639,7830,925,474,188,310,133,157,92,106,86,132,99,66,75,195,154,162,97,82,72,98,65,130,84,101,91,291,134,199,102,3792,699,1535,310,21115,1225
2,West Ridge,38733,2121,9996,1143,566,157,538,202,528,193,701,207,467,164,540,181,702,207,508,154,487,175,607,208,472,172,324,133,317,141,457,176,2072,394,710,206,28737,1489
3,Uptown,31790,1292,4931,578,298,142,117,86,145,125,89,93,69,67,42,58,60,64,71,73,133,79,210,135,202,119,183,149,155,126,124,91,1517,290,1516,275,26859,1129
4,Lincoln Square,26603,1126,4337,482,363,115,175,107,205,91,114,72,56,61,113,83,208,101,199,102,76,71,74,54,126,79,170,107,133,86,54,53,1165,247,1106,230,22266,984
5,North Center,27937,1023,5621,581,903,191,354,115,269,111,153,79,221,93,277,102,211,99,167,69,209,87,116,66,126,71,168,89,215,97,182,104,991,288,1059,206,22316,806
6,Lake View,80037,1715,16129,1035,1146,224,463,144,333,113,394,148,431,130,312,123,210,110,387,121,167,89,119,87,378,159,141,86,197,100,176,103,5072,693,6203,587,63908,1549
7,Lincoln Park,54177,1683,13277,1028,966,200,465,133,626,242,372,125,353,134,485,212,295,111,450,222,254,114,290,101,265,91,206,81,205,94,242,86,4650,600,3153,402,40900,1203
8,Near North Side,60011,1646,8603,831,375,163,188,93,94,75,52,64,194,112,90,92,128,138,52,74,138,119,130,92,132,116,132,99,37,60,344,140,3107,533,3410,478,51408,1484
9,Edison Park,10495,541,2716,403,190,80,142,66,171,81,151,71,119,75,63,39,152,77,170,80,161,80,145,76,100,61,89,52,177,88,31,30,623,205,232,117,7779,394
10,Norwood Park,31879,1086,6870,624,604,203,335,126,495,165,316,101,574,214,466,149,468,146,287,129,267,94,211,112,166,78,256,113,209,110,265,104,1553,319,398,162,25009,777
11,Jefferson Park,20674,1188,4750,683,283,111,90,64,209,99,182,100,175,92,246,98,259,97,203,109,269,115,243,114,369,163,160,79,288,122,247,121,1266,304,261,111,15924,829
12,Forest Glen,13920,647,3469,373,296,100,267,89,150,78,186,75,207,81,132,69,199,102,113,65,226,114,104,60,294,97,129,63,196,84,199,91,517,151,254,119,10451,465
13,North Park,10395,827,2716,462,134,62,55,44,80,43,50,39,67,54,41,35,120,90,156,72,155,78,101,56,168,85,131,97,112,68,148,91,953,237,245,160,7679,578
14,Albany Park,21891,1338,6071,681,427,131,194,94,153,78,247,116,113,71,153,82,219,91,210,89,170,100,227,110,334,145,184,96,348,141,227,109,2024,386,841,229,15820,1028
15,Portage Park,40577,1654,9169,890,518,157,442,148,325,124,573,179,237,99,420,141,519,170,384,138,626,177,396,170,647,183,464,164,459,156,410,144,2154,382,595,174,31408,1165
16,Irving Park,35325,1773,7989,785,765,193,279,117,344,124,443,179,513,158,448,155,422,133,488,141,328,131,520,158,222,96,250,120,254,103,402,150,1445,292,866,236,27336,1361
17,Dunning,34583,1315,6824,623,354,118,464,148,318,141,258,100,334,111,203,87,271,96,371,123,326,124,283,110,367,137,279,100,398,118,375,123,1791,306,432,140,27759,1010
18,Montclare,7552,711,1334,303,79,59,65,46,74,55,60,81,49,46,34,44,16,25,73,51,62,47,95,86,15,17,107,71,83,60,93,76,350,133,79,53,6218,548
19,Belmont Cragin,29510,2047,7166,836,468,148,351,136,497,178,303,127,434,157,388,130,221,121,397,161,445,151,420,157,329,128,459,166,441,134,530,176,1302,242,181,139,22344,1461
20,Hermosa,9000,1032,2409,467,139,85,212,103,210,104,79,64,58,47,102,62,70,53,69,53,140,95,77,60,221,108,132,78,199,96,195,100,465,162,41,43,6591,729
21,Avondale,29047,1791,6879,801,529,178,375,141,407,146,280,116,234,108,280,123,262,120,419,151,351,156,337,143,357,146,455,173,293,167,353,132,1475,320,472,196,22168,1421
22,Logan Square,56487,1894,12272,945,829,185,703,200,551,158,460,142,746,185,571,167,373,136,436,149,536,157,288,129,423,162,576,177,638,174,470,170,3001,466,1671,255,44215,1449
23,Humboldt Park,13529,1243,3525,562,319,127,144,83,159,88,229,100,150,100,134,94,184,94,199,98,206,107,222,102,123,84,243,109,154,97,154,86,705,220,200,93,10004,962
24,West Town,60480,1768,11276,868,969,230,279,103,301,121,292,135,365,140,303,124,260,117,425,132,310,128,234,103,311,120,364,130,271,127,361,120,3338,467,2893,387,49204,1426
25,Austin,7839,783,2138,458,104,87,124,88,139,98,131,114,115,102,215,118,36,63,134,94,51,73,189,113,127,94,131,84,27,67,148,95,369,170,98,72,5701,497
26,West Garfield Park,324,153,48,54,5,34,0,35,0,35,7,35,0,35,5,34,0,35,7,35,0,35,8,33,5,35,6,35,1,33,0,35,4,36,0,35,276,131
27,East Garfield Park,831,236,217,129,0,38,41,50,25,41,0,38,11,39,9,39,4,38,0,38,22,44,0,38,0,38,5,38,0,38,0,38,72,94,28,40,614,167
28,Near West Side,24460,1111,5938,586,238,103,75,62,60,61,98,71,56,60,73,71,33,56,90,83,121,85,75,75,146,91,78,58,55,66,87,86,2618,404,2035,297,18522,902
29,North Lawndale,1416,335,372,151,16,44,27,47,32,54,31,49,62,60,10,43,19,42,9,43,0,43,30,49,24,46,12,45,4,42,25,49,46,51,25,50,1044,244
30,South Lawndale,44469,2121,13024,1086,899,224,896,208,639,168,632,187,960,224,645,169,620,158,748,183,734,184,779,192,893,219,865,206,764,195,1003,241,1681,295,266,160,31445,1534
31,Lower West Side,17079,1419,4657,631,450,153,189,91,304,118,157,84,183,93,207,96,192,102,258,116,149,86,242,111,221,109,145,75,191,90,156,75,1131,294,482,186,12422,1018
32,Loop,16956,1199,4517,817,216,143,138,120,31,42,106,98,20,42,0,30,5,29,0,30,0,30,0,30,20,39,0,30,0,30,67,78,2450,681,1464,390,12439,842
33,Near South Side,9478,877,1589,407,188,105,122,89,63,51,26,48,18,29,19,30,0,24,12,28,0,24,0,24,101,129,19,32,0,24,43,54,444,185,534,224,7889,778
34,Armour Square,1800,314,443,165,43,41,0,27,30,61,25,41,5,26,0,27,41,50,26,47,0,27,0,27,0,27,15,27,19,35,5,26,94,57,140,89,1357,235
35,Douglas,2516,391,1458,284,32,46,0,35,25,44,0,35,0,35,0,35,10,34,0,35,7,35,0,35,5,35,0,35,0,35,3,34,1151,214,225,120,1058,226
36,Oakland,239,155,75,57,12,25,0,19,0,19,0,19,0,19,0,19,0,19,34,50,0,19,18,29,0,19,0,19,0,19,0,19,0,19,11,24,164,106
37,Fuller Park,67,48,12,15,0,16,3,13,0,16,4,13,5,14,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,55,42
38,Grand Boulevard,982,328,237,126,29,49,28,49,10,44,18,45,19,48,19,48,17,48,8,43,0,43,7,43,11,45,8,43,10,44,8,43,10,42,35,53,745,242
39,Kenwood,3528,427,1293,281,90,55,33,34,19,34,53,54,4,31,40,38,0,31,45,78,0,31,0,31,36,41,24,43,21,35,17,34,267,164,644,189,2235,295
40,Washington Park,59,59,27,50,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,1,29,0,27,0,27,0,27,15,33,11,32,32,38
