area_id,area_name,b19025f001,b19025f001_moe
1,Rogers Park,54384700,14015986
2,West Ridge,49945000,13696378
3,Uptown,39879800,15554844
4,Lincoln Square,29960700,9785457
5,North Center,8280000,3943421
6,Lake View,17272000,7305351
7,Lincoln Park,8102500,6838449
8,Near North Side,16380200,8629852
10,Norwood Park,23764600,12719212
11,Jefferson Park,28741700,13528233
12,Forest Glen,12434000,7202765
13,North Park,26126800,10626594
14,Albany Park,239063300,30144094
15,Portage Park,234049600,29242386
16,Irving Park,189947800,28034290
17,Dunning,40399900,14293416
18,Montclare,49312200,12615146
19,Belmont Cragin,482386300,36206431
20,Hermosa,188698100,20787411
21,Avondale,97486700,19813235
22,Logan Square,85710400,17939063
23,Humboldt Park,177246600,21450086
24,West Town,119516200,21452273
25,Austin,46365900,18112788
28,Near West Side,25981100,9349620
29,North Lawndale,9934600,4665818
30,South Lawndale,148331000,19359093
31,Lower West Side,203185300,23716086
32,Loop,16335600,20133162
33,Near South Side,25589400,22702723
35,Douglas,194000,309772
37,Fuller Park,1583300,1774338
38,Grand Boulevard,4658800,4384185
42,Woodlawn,1125000,1600715
46,South Chicago,17454500,5671304
48,Calumet Heights,1406700,874525
50,Pullman,2072700,1910832
51,South Deering,20831000,8237413
52,East Side,56422400,15528709
53,West Pullman,5272200,3763191
55,Hegewisch,8815300,4502614
56,Garfield Ridge,90121000,19597356
57,Archer Heights,45537200,9953436
58,Brighton Park,141018300,21897320
59,McKinley Park,57063600,11766044
60,Bridgeport,78399100,22431140
61,New City,81936600,12966138
62,West Elsdon,74271300,14303775
63,Gage Park,140473800,18790462
64,Clearing,88599400,18074851
65,West Lawn,221074500,26734910
66,Chicago Lawn,168744100,18035210
70,Ashburn,99980900,16605326
76,O'Hare,5188000,3561251
77,Edgewater,30532900,11455121
