area_id,area_name,b08113001,b08113001_moe,b08113002,b08113002_moe,b08113003,b08113003_moe,b08113004,b08113004_moe,b08113005,b08113005_moe,b08113006,b08113006_moe,b08113007,b08113007_moe,b08113008,b08113008_moe,b08113009,b08113009_moe,b08113010,b08113010_moe,b08113011,b08113011_moe,b08113012,b08113012_moe,b08113013,b08113013_moe,b08113014,b08113014_moe,b08113015,b08113015_moe,b08113016,b08113016_moe,b08113017,b08113017_moe,b08113018,b08113018_moe,b08113019,b08113019_moe,b08113020,b08113020_moe,b08113021,b08113021_moe,b08113022,b08113022_moe,b08113023,b08113023_moe,b08113024,b08113024_moe,b08113025,b08113025_moe,b08113026,b08113026_moe,b08113027,b08113027_moe,b08113028,b08113028_moe,b08113029,b08113029_moe,b08113030,b08113030_moe,b08113031,b08113031_moe,b08113032,b08113032_moe,b08113033,b08113033_moe,b08113034,b08113034_moe,b08113035,b08113035_moe,b08113036,b08113036_moe,b08113037,b08113037_moe,b08113038,b08113038_moe,b08113039,b08113039_moe,b08113040,b08113040_moe,b08113041,b08113041_moe,b08113042,b08113042_moe,b08113043,b08113043_moe,b08113044,b08113044_moe,b08113045,b08113045_moe,b08113046,b08113046_moe,b08113047,b08113047_moe,b08113048,b08113048_moe,b08113049,b08113049_moe,b08113050,b08113050_moe,b08113051,b08113051_moe,b08113052,b08113052_moe,b08113053,b08113053_moe,b08113054,b08113054_moe,b08113055,b08113055_moe,b08113056,b08113056_moe
1,Rogers Park,29987,1240,19360,1038,6217,894,2873,532,3344,674,4410,571,3190,461,1220,306,11299,842,7158,612,2212,485,946,256,1266,392,1929,355,1467,271,462,207,2667,449,1517,294,765,275,492,217,273,163,385,178,301,147,84,78,11559,893,7932,724,2183,526,1001,309,1182,379,1444,304,991,268,453,160,1996,425,1124,265,732,318,260,134,472,275,140,79,106,77,34,51,758,214,362,139,201,124,90,84,111,103,195,121,71,69,124,107,1708,347,1267,299,124,85,84,70,40,69,317,142,254,125,63,82
2,West Ridge,31544,1410,12443,889,5957,898,2801,487,3156,651,13144,1184,7492,904,5652,726,18516,1077,7845,695,3480,659,1861,410,1619,421,7191,750,4642,627,2549,410,3784,670,810,250,923,343,377,180,546,251,2051,510,887,293,1164,363,5390,641,2411,416,997,305,403,160,594,254,1982,400,940,275,1042,277,1845,400,471,162,306,220,40,77,266,212,1068,315,440,179,628,268,687,207,132,86,185,122,89,86,96,100,370,152,253,128,117,96,1322,290,774,210,66,74,31,61,35,66,482,188,330,156,152,108
3,Uptown,31694,1148,22555,1010,3558,614,2189,474,1369,375,5581,726,3869,612,1712,375,10903,783,7520,631,1294,295,836,251,458,149,2089,450,1599,418,490,167,1769,433,923,236,261,146,177,130,84,80,585,323,302,157,283,220,13793,888,10391,758,1503,367,818,265,685,250,1899,382,1232,301,667,219,1595,316,836,228,269,164,164,129,105,113,490,170,273,142,217,109,1500,321,1153,277,89,95,52,85,37,62,258,144,241,142,17,53,2134,352,1732,325,142,109,142,109,0,48,260,122,222,114,38,65
4,Lincoln Square,23019,819,15203,729,3403,601,1486,343,1917,470,4413,522,2985,404,1428,315,11121,738,6427,520,1989,457,839,241,1150,351,2705,431,1821,311,884,263,1647,335,838,203,373,239,157,116,216,172,436,166,322,146,114,73,7462,590,5897,526,734,257,306,134,428,228,831,222,570,184,261,118,861,199,526,149,161,105,88,79,73,80,174,103,71,54,103,93,708,194,553,177,36,46,25,43,11,42,119,80,76,70,43,51,1220,230,962,203,110,72,71,63,39,52,148,99,125,92,23,53
5,North Center,20718,729,17775,735,1646,311,1122,215,524,203,1297,259,998,235,299,102,10592,597,9091,563,845,220,635,165,210,135,656,201,539,188,117,68,1473,299,1144,259,197,100,136,86,61,52,132,77,114,73,18,45,5540,463,4810,432,492,167,239,94,253,148,238,89,204,83,34,50,759,177,658,166,58,68,58,68,0,43,43,62,31,62,12,44,673,168,606,153,10,41,10,41,0,43,57,75,52,75,5,42,1681,296,1466,281,44,50,44,50,0,43,171,85,58,53,113,73
6,Lake View,68129,1434,57454,1454,3810,511,2753,417,1057,289,6865,666,5728,626,1137,280,21887,961,18357,880,1508,281,1094,241,414,154,2022,347,1699,312,323,161,3792,454,3309,408,275,153,220,149,55,74,208,101,162,93,46,74,32813,1248,27902,1187,1440,310,923,229,517,215,3471,508,2964,478,507,180,3513,479,2611,395,351,165,327,162,24,71,551,203,411,177,140,116,1921,347,1566,307,90,103,77,101,13,69,265,135,240,132,25,74,4203,475,3709,442,146,112,112,99,34,84,348,158,252,128,96,113
7,Lincoln Park,40875,1123,34988,1139,1752,376,1490,360,262,111,4135,526,3573,480,562,185,14400,771,12445,721,713,238,627,231,86,69,1242,265,1061,244,181,109,2122,340,1772,324,53,60,42,59,11,53,297,131,266,120,31,71,16911,898,14750,857,663,217,525,204,138,92,1498,297,1250,268,248,115,2858,383,2317,320,168,127,163,127,5,49,373,157,328,151,45,57,1995,428,1577,377,77,82,77,82,0,51,341,190,341,190,0,51,2589,332,2127,299,78,77,56,74,22,55,384,142,327,136,57,62
8,Near North Side,50700,1470,40678,1501,2217,471,1727,358,490,267,7805,774,6632,722,1173,288,13993,931,11039,864,425,208,311,167,114,105,2529,420,2331,410,198,113,1424,358,1313,345,15,58,15,58,0,54,96,82,96,82,0,54,12576,868,10286,807,443,171,398,166,45,65,1847,339,1553,314,294,144,15446,1078,12188,1010,941,354,649,231,292,244,2317,404,1811,349,506,189,3740,550,2890,451,235,143,205,136,30,71,615,283,522,254,93,136,3521,536,2962,506,158,121,149,120,9,55,401,163,319,143,82,100
9,Edison Park,5862,391,4808,413,216,115,208,115,8,25,838,254,441,148,397,197,4303,408,3475,409,196,111,188,110,8,25,632,222,332,120,300,177,318,156,248,134,0,25,0,25,0,25,70,82,10,26,60,82,650,176,599,173,11,26,11,26,0,25,40,46,18,28,22,40,292,130,273,129,0,25,0,25,0,25,19,28,19,28,0,25,46,46,46,46,0,25,0,25,0,25,0,25,0,25,0,25,253,121,167,85,9,26,9,26,0,25,77,77,62,73,15,31
10,Norwood Park,17562,809,11501,658,1836,484,1317,411,519,267,4225,614,2222,410,2003,419,13417,716,9248,640,1229,307,877,281,352,146,2940,467,1604,310,1336,304,1497,345,608,186,194,155,40,63,154,146,695,250,174,109,521,222,1772,347,1032,228,328,211,328,211,0,39,412,167,335,150,77,62,227,132,160,111,1,35,0,39,1,35,66,81,66,81,0,39,95,67,61,59,21,43,9,40,12,42,13,42,0,39,13,42,554,174,392,145,63,84,63,84,0,39,99,68,43,61,56,45
