area_id,area_name,b19202i001,b19202i001_moe
1,Rogers Park,382256,175838
2,West Ridge,399830,125238
3,Uptown,249276,119651
4,Lincoln Square,377301,182380
5,North Center,346618,156488
6,Lake View,1719172,363922
7,Lincoln Park,887491,419812
8,Near North Side,868140,484839
9,Edison Park,81364,111040
10,Norwood Park,231192,201694
11,Jefferson Park,140281,61142
12,Forest Glen,156947,129494
13,North Park,70777,123531
14,Albany Park,463177,168602
15,Portage Park,325948,125486
16,Irving Park,579810,116774
17,Dunning,314237,177225
18,Montclare,81730,44322
19,Belmont Cragin,493701,187323
20,Hermosa,160610,97314
21,Avondale,390149,250734
22,Logan Square,994825,282418
23,Humboldt Park,314774,132613
24,West Town,1155350,256801
25,Austin,81643,68575
27,East Garfield Park,63438,19956
28,Near West Side,678437,293169
29,North Lawndale,107825,26818
30,South Lawndale,442580,83952
31,Lower West Side,316920,108279
32,Loop,261532,166697
33,Near South Side,172272,100086
34,Armour Square,26591,51317
35,Douglas,233294,153153
38,Grand Boulevard,28013,35960
39,Kenwood,14975,91317
41,Hyde Park,334197,181251
42,Woodlawn,88646,90150
43,South Shore,58304,45644
46,South Chicago,156761,63171
48,Calumet Heights,9743,1850
50,Pullman,40893,28819
51,South Deering,50108,24339
52,East Side,173991,54787
53,West Pullman,25341,17282
55,Hegewisch,63031,58350
56,Garfield Ridge,325415,141940
57,Archer Heights,189731,38015
58,Brighton Park,290030,90062
59,McKinley Park,189956,74206
60,Bridgeport,383141,199030
61,New City,364514,114392
62,West Elsdon,156260,76553
63,Gage Park,173694,115476
64,Clearing,167188,69034
65,West Lawn,200454,49445
66,Chicago Lawn,184461,60072
70,Ashburn,140661,106295
72,Beverly,102813,155926
73,Washington Heights,87625,150933
75,Morgan Park,61667,72101
76,O'Hare,102234,29245
77,Edgewater,774430,255393
