area_id,area_name,b07201001,b07201001_moe,b07201002,b07201002_moe,b07201003,b07201003_moe,b07201004,b07201004_moe,b07201005,b07201005_moe,b07201006,b07201006_moe,b07201007,b07201007_moe,b07201008,b07201008_moe,b07201009,b07201009_moe,b07201010,b07201010_moe,b07201011,b07201011_moe,b07201012,b07201012_moe,b07201013,b07201013_moe,b07201014,b07201014_moe
66,Chicago Lawn,53694,2157,47724,2146,5925,1079,5803,1074,5493,1040,310,282,108,122,108,122,0,49,0,49,0,49,0,49,14,53,45,56
67,West Englewood,34710,1582,29171,1534,5524,890,4913,843,4727,834,186,108,573,332,414,273,159,196,17,54,17,54,0,48,21,52,15,52
68,Englewood,28344,1484,23655,1379,4621,847,4460,843,4074,805,386,226,75,68,74,69,1,35,76,84,76,84,0,36,10,40,68,67
69,Greater Grand Crossing,32393,1492,26905,1365,5488,800,5187,779,4805,757,382,185,300,171,289,171,11,38,1,37,0,38,1,37,0,38,0,38
70,Ashburn,42117,1537,39417,1541,2644,857,2555,854,1796,737,759,441,69,60,29,53,40,46,20,50,20,50,0,41,0,41,56,59
71,Auburn Gresham,49060,1848,42602,1834,6429,996,5921,967,5457,928,464,261,433,170,241,116,192,124,68,72,35,58,33,62,7,46,29,52
72,Beverly,20965,802,19883,852,1072,312,944,306,773,280,171,131,117,59,86,53,31,35,11,32,11,32,0,29,0,29,10,28
73,Washington Heights,25654,1119,23718,1159,1898,537,1701,502,1573,493,128,84,117,82,92,78,25,42,80,100,22,35,58,98,0,33,38,49
74,Mount Greenwood,18291,756,17217,744,1045,295,850,281,499,158,351,235,178,69,63,43,115,64,17,27,8,25,9,27,0,25,29,35
75,Morgan Park,22379,1071,20779,1041,1599,418,1388,386,1107,362,281,132,211,111,119,86,92,73,0,31,0,31,0,31,0,31,1,27
76,O'Hare,13416,1094,11859,1126,1378,353,1134,343,865,318,269,182,216,128,180,119,36,66,11,41,0,38,11,41,17,46,179,198
77,Edgewater,54455,1658,43975,1719,9594,912,7547,829,6664,794,883,246,1908,376,988,244,920,268,127,93,54,84,73,61,12,50,886,384
