area_id,area_name,b19001a001,b19001a001_moe,b19001a002,b19001a002_moe,b19001a003,b19001a003_moe,b19001a004,b19001a004_moe,b19001a005,b19001a005_moe,b19001a006,b19001a006_moe,b19001a007,b19001a007_moe,b19001a008,b19001a008_moe,b19001a009,b19001a009_moe,b19001a010,b19001a010_moe,b19001a011,b19001a011_moe,b19001a012,b19001a012_moe,b19001a013,b19001a013_moe,b19001a014,b19001a014_moe,b19001a015,b19001a015_moe,b19001a016,b19001a016_moe,b19001a017,b19001a017_moe
27,East Garfield Park,259,85,14,35,26,40,0,38,5,37,0,38,15,39,0,38,21,39,0,38,17,40,52,46,46,49,32,57,9,40,14,41,8,39
28,Near West Side,13454,496,924,215,372,117,231,105,263,97,314,135,197,90,352,150,351,119,134,75,960,200,1375,253,1817,281,1669,261,1324,235,1448,218,1723,256
29,North Lawndale,413,111,41,60,58,61,16,45,40,46,0,43,14,45,20,46,16,41,0,43,42,46,54,48,42,47,65,71,5,42,0,43,0,43
30,South Lawndale,11819,493,989,211,989,211,1411,243,1371,258,784,181,921,199,988,219,779,188,525,153,1114,219,756,169,704,171,203,99,156,86,79,72,50,66
31,Lower West Side,6364,394,688,153,362,115,618,160,405,121,535,136,356,114,323,109,522,145,259,92,577,155,478,141,599,155,280,106,186,88,103,56,73,48
32,Loop,9975,545,662,228,211,127,128,78,216,131,237,134,162,103,343,173,156,92,297,132,808,216,1092,260,1135,308,1156,287,744,225,1036,250,1592,333
33,Near South Side,5675,514,250,178,5,18,75,45,52,59,107,100,166,193,177,98,201,161,220,193,534,242,492,164,681,176,686,211,307,123,746,181,976,287
34,Armour Square,817,127,84,55,39,36,34,34,20,33,72,57,53,48,27,36,53,35,65,49,33,35,130,66,86,55,40,40,50,55,18,29,13,29
35,Douglas,605,128,64,49,17,34,7,33,19,40,23,39,32,44,0,35,31,42,20,36,70,63,57,57,91,58,53,50,39,41,28,44,54,40
36,Oakland,116,69,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,31,0,19,0,19,14,25,18,28,43,49,0,19,15,29,9,22
37,Fuller Park,31,25,0,16,9,17,0,16,3,13,0,16,0,16,0,16,9,16,10,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,312,102,5,42,16,49,0,43,32,48,0,43,23,55,0,43,4,42,0,43,13,43,7,43,42,45,62,56,6,42,22,43,80,67
