area_id,area_name,b08006001,b08006001_moe,b08006002,b08006002_moe,b08006003,b08006003_moe,b08006004,b08006004_moe,b08006005,b08006005_moe,b08006006,b08006006_moe,b08006007,b08006007_moe,b08006008,b08006008_moe,b08006009,b08006009_moe,b08006010,b08006010_moe,b08006011,b08006011_moe,b08006012,b08006012_moe,b08006013,b08006013_moe,b08006014,b08006014_moe,b08006015,b08006015_moe,b08006016,b08006016_moe,b08006017,b08006017_moe,b08006018,b08006018_moe,b08006019,b08006019_moe,b08006020,b08006020_moe,b08006021,b08006021_moe,b08006022,b08006022_moe,b08006023,b08006023_moe,b08006024,b08006024_moe,b08006025,b08006025_moe,b08006026,b08006026_moe,b08006027,b08006027_moe,b08006028,b08006028_moe,b08006029,b08006029_moe,b08006030,b08006030_moe,b08006031,b08006031_moe,b08006032,b08006032_moe,b08006033,b08006033_moe,b08006034,b08006034_moe,b08006035,b08006035_moe,b08006036,b08006036_moe,b08006037,b08006037_moe,b08006038,b08006038_moe,b08006039,b08006039_moe,b08006040,b08006040_moe,b08006041,b08006041_moe,b08006042,b08006042_moe,b08006043,b08006043_moe,b08006044,b08006044_moe,b08006045,b08006045_moe,b08006046,b08006046_moe,b08006047,b08006047_moe,b08006048,b08006048_moe,b08006049,b08006049_moe,b08006050,b08006050_moe,b08006051,b08006051_moe
1,Rogers Park,29987,1240,13966,952,11299,842,2667,449,2128,409,307,151,232,127,11559,893,4296,592,324,167,5841,608,1098,254,0,48,436,158,1996,425,322,154,1708,347,16107,906,7399,684,6139,639,1260,278,1065,258,143,105,52,64,6183,610,2027,358,199,133,3316,464,641,166,0,48,289,126,1057,314,223,133,956,251,13880,871,6567,607,5160,525,1407,307,1063,261,164,110,180,118,5376,621,2269,429,125,112,2525,380,457,195,0,48,147,94,939,264,99,89,752,238
2,West Ridge,31544,1410,22300,1224,18516,1077,3784,670,2858,575,320,162,606,285,5390,641,3757,571,39,69,1268,273,326,124,0,51,284,138,1845,400,403,157,1322,290,17424,994,12733,857,10700,754,2033,483,1694,467,66,72,273,147,2622,454,1741,405,39,69,652,190,190,88,0,51,263,137,926,282,318,143,562,198,14120,867,9567,775,7816,666,1751,398,1164,268,254,153,333,203,2768,460,2016,397,0,51,616,201,136,84,0,51,21,52,919,251,85,81,760,209
3,Uptown,31694,1148,12672,900,10903,783,1769,433,1209,274,473,337,87,71,13793,888,6825,711,126,113,5960,572,882,194,0,48,929,244,1595,316,571,211,2134,352,16990,902,6623,633,5596,516,1027,353,610,163,344,320,73,66,7215,664,3414,508,126,113,3073,411,602,165,0,48,664,205,729,217,444,187,1315,270,14704,743,6049,570,5307,543,742,193,599,180,129,106,14,53,6578,576,3411,449,0,48,2887,381,280,101,0,48,265,129,866,221,127,91,819,210
4,Lincoln Square,23019,819,12768,739,11121,738,1647,335,1352,310,222,121,73,62,7462,590,1779,386,28,60,4653,472,1002,234,0,40,403,130,861,199,305,138,1220,230,11958,567,6599,546,5854,547,745,184,582,162,123,80,40,59,3763,417,847,229,0,40,2453,346,463,150,0,40,335,120,362,139,159,99,740,183,11061,572,6169,475,5267,452,902,221,770,212,99,75,33,44,3699,409,932,277,28,60,2200,302,539,163,0,40,68,55,499,141,146,103,480,134
5,North Center,20718,729,12065,637,10592,597,1473,299,1275,287,141,83,57,70,5540,463,846,205,47,59,4268,404,379,117,0,43,482,140,759,177,191,99,1681,296,10870,597,5917,441,5222,393,695,196,570,178,73,54,52,71,2996,356,439,142,47,59,2325,314,185,82,0,43,349,122,469,152,121,90,1018,242,9848,513,6148,448,5370,435,778,178,705,171,68,58,5,42,2544,305,407,151,0,43,1943,271,194,90,0,43,133,66,290,101,70,52,663,157
6,Lake View,68129,1434,25679,1024,21887,961,3792,454,3026,398,658,228,108,86,32813,1248,13833,905,147,95,18138,980,695,163,0,66,974,235,3513,479,947,260,4203,475,34704,1154,12846,726,10850,665,1996,301,1563,235,373,191,60,77,16241,926,6138,624,101,80,9625,722,377,123,0,66,754,208,1724,305,663,231,2476,389,33425,1220,12833,782,11037,744,1796,290,1463,260,285,137,48,73,16572,960,7695,659,46,84,8513,707,318,122,0,66,220,117,1789,353,284,137,1727,268
7,Lincoln Park,40875,1123,16522,811,14400,771,2122,340,1856,324,201,94,65,68,16911,898,7433,636,184,136,8866,704,428,126,0,51,815,256,2858,383,1180,347,2589,332,20701,914,8606,578,7508,543,1098,237,954,223,128,89,16,50,8208,668,3352,436,84,82,4510,509,262,103,0,51,647,218,1253,283,791,299,1196,227,20174,890,7916,594,6892,565,1024,203,902,191,73,61,49,66,8703,691,4081,513,100,119,4356,465,166,83,0,51,168,100,1605,259,389,169,1393,237
8,Near North Side,50700,1470,15417,958,13993,931,1424,358,1159,331,127,92,138,114,12576,868,6978,657,47,74,4869,549,621,203,61,75,633,229,15446,1078,3107,502,3521,536,24946,1098,8183,689,7533,677,650,198,588,195,27,58,35,62,5814,599,2983,415,47,74,2366,402,370,172,48,65,543,218,7258,732,1343,290,1805,369,25754,1139,7234,638,6460,616,774,221,571,186,100,84,103,110,6762,643,3995,495,0,54,2503,403,251,118,13,58,90,86,8188,776,1764,392,1716,391
9,Edison Park,5862,391,4621,438,4303,408,318,156,275,151,43,51,0,25,650,176,165,100,0,25,165,110,320,103,0,25,13,28,292,130,33,42,253,121,3084,269,2476,280,2328,263,148,94,126,89,22,40,0,25,312,137,92,80,0,25,114,93,106,57,0,25,0,25,133,97,1,19,162,92,2778,281,2145,286,1975,266,170,111,149,109,21,40,0,25,338,118,73,64,0,25,51,52,214,92,0,25,13,28,159,93,32,42,91,58
10,Norwood Park,17562,809,14914,763,13417,716,1497,345,1245,323,199,129,53,60,1772,347,517,242,8,39,949,231,298,114,0,39,11,37,227,132,84,65,554,174,9363,545,8068,521,7293,520,775,223,645,203,109,98,21,35,909,283,299,216,0,39,441,162,169,88,0,39,11,37,53,55,57,56,265,125,8199,554,6846,497,6124,470,722,204,600,195,90,60,32,54,863,216,218,108,8,39,508,177,129,80,0,39,0,39,174,123,27,47,289,106
