area_id,area_name,b19001f001,b19001f001_moe,b19001f002,b19001f002_moe,b19001f003,b19001f003_moe,b19001f004,b19001f004_moe,b19001f005,b19001f005_moe,b19001f006,b19001f006_moe,b19001f007,b19001f007_moe,b19001f008,b19001f008_moe,b19001f009,b19001f009_moe,b19001f010,b19001f010_moe,b19001f011,b19001f011_moe,b19001f012,b19001f012_moe,b19001f013,b19001f013_moe,b19001f014,b19001f014_moe,b19001f015,b19001f015_moe,b19001f016,b19001f016_moe,b19001f017,b19001f017_moe
1,Rogers Park,1338,279,29,52,215,125,75,86,110,94,210,129,129,100,82,87,0,48,62,75,190,131,93,94,50,58,43,71,31,55,19,53,0,48
2,West Ridge,1449,329,59,95,131,119,203,168,72,84,108,78,166,122,118,104,113,107,100,101,100,95,35,76,201,133,14,53,23,61,6,52,0,51
3,Uptown,889,241,201,124,63,84,100,81,28,64,84,78,0,48,59,80,27,53,25,61,92,91,35,73,37,57,71,88,0,48,38,66,29,57
4,Lincoln Square,870,252,154,127,79,94,85,77,66,71,36,63,20,65,6,40,0,40,27,58,157,117,118,94,92,58,30,62,0,40,0,40,0,40
5,North Center,249,102,11,46,11,45,34,56,7,43,49,75,10,44,10,44,11,46,11,42,11,44,52,51,10,44,10,45,4,42,0,43,8,44
6,Lake View,629,177,39,72,16,70,6,66,27,72,0,66,42,94,70,89,84,92,0,66,12,68,98,85,173,101,25,69,17,67,20,72,0,66
7,Lincoln Park,361,139,114,86,62,67,40,78,28,67,0,51,14,54,0,51,24,62,0,51,6,50,18,55,25,55,0,51,0,51,11,52,19,58
8,Near North Side,825,339,217,161,69,98,14,58,0,54,80,108,144,241,78,102,44,67,9,55,0,54,16,58,68,82,0,54,13,57,13,57,60,86
9,Edison Park,31,32,0,25,11,26,0,25,0,25,0,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,12,26,0,25,0,25,0,25
10,Norwood Park,454,178,0,39,26,55,0,39,20,43,0,39,10,41,21,43,60,80,0,39,8,39,10,41,166,108,116,107,0,39,0,39,17,46
11,Jefferson Park,505,178,0,29,11,32,0,29,50,62,24,39,33,60,0,29,26,43,61,68,62,83,24,37,126,101,27,48,42,68,19,37,0,29
12,Forest Glen,292,118,17,39,34,45,30,55,0,29,48,59,53,61,21,42,0,29,0,29,0,29,48,48,0,29,0,29,15,34,0,29,26,40
13,North Park,596,183,79,78,46,60,76,72,51,60,55,71,15,32,34,59,35,50,14,33,36,56,48,63,18,38,50,61,39,43,0,27,0,27
14,Albany Park,4450,425,148,106,223,108,330,153,488,185,453,177,77,78,283,148,307,150,312,155,323,141,624,222,445,154,216,113,109,83,92,70,20,49
15,Portage Park,4164,427,315,163,137,104,168,106,175,120,106,85,466,183,205,119,426,165,293,144,234,132,528,164,632,186,281,128,121,100,77,75,0,47
16,Irving Park,3533,421,101,97,326,154,247,138,144,103,295,156,191,115,249,132,276,152,162,104,372,148,359,182,407,162,164,102,104,95,109,90,27,62
17,Dunning,817,201,4,39,20,44,28,48,0,40,15,45,45,61,17,47,38,63,88,72,61,71,146,95,193,99,35,62,127,111,0,40,0,40
18,Montclare,914,185,110,91,76,53,32,54,16,32,59,47,29,49,67,59,58,67,39,48,100,82,108,75,107,74,71,68,28,27,0,23,14,30
19,Belmont Cragin,9437,537,628,195,440,176,557,176,532,171,727,194,748,212,795,213,603,173,566,188,988,232,1038,239,709,179,685,194,265,112,156,106,0,52
20,Hermosa,3862,312,203,101,238,115,261,118,236,104,414,149,324,118,314,138,158,77,175,90,343,136,498,150,394,141,158,98,92,79,54,50,0,29
21,Avondale,1773,291,123,94,87,71,65,55,104,75,73,57,86,61,86,104,173,108,185,116,104,84,288,120,182,103,98,85,111,86,8,39,0,38
22,Logan Square,1800,267,186,102,148,99,66,70,90,76,102,78,132,96,82,72,110,79,107,86,216,97,250,116,168,99,76,75,32,62,9,56,26,65
23,Humboldt Park,4134,393,809,192,182,98,307,144,180,91,241,119,235,110,220,115,296,128,173,93,358,144,584,175,319,121,75,72,118,86,37,59,0,51
24,West Town,2540,331,310,127,143,93,142,97,178,102,75,77,94,82,157,107,180,109,109,86,289,123,309,142,278,119,85,86,93,85,40,71,58,81
25,Austin,940,195,133,98,45,72,65,93,34,65,27,65,104,94,0,61,61,78,68,77,30,65,106,92,170,113,11,63,28,66,42,90,16,64
26,West Garfield Park,17,37,0,35,0,35,0,35,0,35,0,35,7,35,0,35,0,35,0,35,0,35,0,35,0,35,10,37,0,35,0,35,0,35
27,East Garfield Park,50,57,0,38,0,38,0,38,7,39,0,38,0,38,7,38,0,38,0,38,0,38,28,56,4,37,4,37,0,38,0,38,0,38
28,Near West Side,676,181,110,95,11,53,43,66,70,72,56,65,8,52,31,66,48,66,9,53,33,66,30,57,115,98,60,68,30,65,14,55,8,53
29,North Lawndale,271,101,36,60,18,45,13,46,7,43,4,42,0,43,22,47,25,57,11,45,23,46,57,68,43,51,12,45,0,43,0,43,0,43
