area_id,area_name,b18135001,b18135001_moe,b18135002,b18135002_moe,b18135003,b18135003_moe,b18135004,b18135004_moe,b18135005,b18135005_moe,b18135006,b18135006_moe,b18135007,b18135007_moe,b18135008,b18135008_moe,b18135009,b18135009_moe,b18135010,b18135010_moe,b18135011,b18135011_moe,b18135012,b18135012_moe,b18135013,b18135013_moe,b18135014,b18135014_moe,b18135015,b18135015_moe,b18135016,b18135016_moe,b18135017,b18135017_moe,b18135018,b18135018_moe,b18135019,b18135019_moe,b18135020,b18135020_moe,b18135021,b18135021_moe,b18135022,b18135022_moe,b18135023,b18135023_moe,b18135024,b18135024_moe,b18135025,b18135025_moe,b18135026,b18135026_moe,b18135027,b18135027_moe,b18135028,b18135028_moe,b18135029,b18135029_moe,b18135030,b18135030_moe,b18135031,b18135031_moe,b18135032,b18135032_moe,b18135033,b18135033_moe,b18135034,b18135034_moe
1,Rogers Park,56493,2171,11436,1017,209,116,197,114,43,60,179,112,12,49,11227,1006,10484,994,4018,614,6646,906,743,263,41370,1565,3100,496,2482,425,1099,242,1615,341,618,211,38270,1537,25426,1294,22163,1202,3507,644,12844,1105,3687,419,1439,297,1428,296,524,138,1428,296,11,48,2248,333,2136,324,913,208,1984,317,112,87
2,West Ridge,72744,2584,19036,1409,362,173,362,173,57,86,315,158,0,51,18674,1385,17474,1364,8493,1034,9512,1205,1200,409,44917,1740,3428,492,2766,441,1339,295,1718,362,662,208,41489,1720,26869,1384,22288,1320,5152,745,14620,1451,8791,702,3493,423,3431,422,1516,255,3411,419,62,74,5298,612,4668,515,2449,316,4477,504,630,356
3,Uptown,53670,1701,6561,819,148,106,135,106,37,54,98,103,13,49,6413,803,6049,788,3576,655,2617,545,364,211,42015,1382,3378,510,2757,454,890,223,2035,416,621,198,38637,1321,28911,1125,25835,1078,3460,544,9726,1055,5094,519,2282,360,2262,360,690,180,2244,361,20,55,2812,401,2636,380,1056,201,2471,376,176,142
4,Lincoln Square,38116,1327,6318,689,180,106,180,106,66,58,114,98,0,40,6138,675,5937,671,3878,462,2222,641,201,133,28459,919,1709,340,1384,313,714,245,857,235,325,139,26750,917,20869,877,19840,852,1185,288,5881,696,3339,388,1193,229,1172,230,516,135,1123,227,21,45,2146,327,2117,322,1072,224,2082,322,29,52
5,North Center,33402,1096,6243,549,180,105,180,105,169,103,11,46,0,43,6063,548,6013,548,5685,528,408,170,50,70,24658,815,835,214,659,189,400,121,290,150,176,109,23823,793,21084,754,20780,753,530,165,2739,472,2501,296,943,186,943,186,462,119,916,186,0,43,1558,260,1543,260,850,165,1510,251,15,43
6,Lake View,96425,1729,9801,699,150,96,150,96,122,92,28,71,0,66,9651,700,9539,695,8455,654,1149,334,112,91,80096,1477,3098,416,2614,392,1697,305,1057,255,484,147,76998,1464,68704,1464,67959,1480,1290,271,8294,779,6528,467,2371,307,2347,306,1201,210,2304,304,24,72,4157,408,4131,408,2432,341,3966,399,26,68
7,Lincoln Park,64028,1704,8871,835,324,209,324,209,272,206,52,58,0,51,8547,722,8480,722,8085,720,492,210,67,71,50638,1297,1667,302,1503,295,782,180,805,234,164,87,48971,1281,45714,1266,45196,1271,889,210,3257,487,4519,386,1286,246,1286,246,662,168,1286,246,0,51,3233,337,3233,337,2105,287,3029,326,0,51
8,Near North Side,80315,1814,5892,725,86,73,54,69,38,67,16,56,32,70,5806,722,5646,726,3877,576,1816,517,160,130,62190,1555,1974,335,1793,326,943,223,926,246,181,101,60216,1564,55042,1531,53904,1525,1461,268,5174,681,12233,679,3273,440,3234,423,2009,328,3181,416,39,75,8960,645,8835,625,6192,548,8523,621,125,108
9,Edison Park,11135,498,2266,248,104,124,104,124,81,121,23,40,0,25,2162,275,2162,275,2057,285,132,94,0,25,7202,415,478,159,460,158,331,137,206,113,18,28,6724,408,5868,373,5710,379,298,138,856,294,1667,153,558,119,558,119,480,111,558,119,0,25,1109,139,1092,144,853,142,1062,143,17,34
10,Norwood Park,36933,1214,7436,703,170,90,156,86,133,82,23,43,14,42,7266,699,6939,603,5685,566,1349,419,327,352,22557,903,1662,318,1360,265,766,198,696,187,302,147,20895,871,18035,837,17437,827,826,271,2860,449,6940,348,2510,289,2502,289,1764,248,2486,289,8,39,4430,334,4430,334,3425,317,4324,338,0,39
