area_id,area_name,b19001h001,b19001h001_moe,b19001h002,b19001h002_moe,b19001h003,b19001h003_moe,b19001h004,b19001h004_moe,b19001h005,b19001h005_moe,b19001h006,b19001h006_moe,b19001h007,b19001h007_moe,b19001h008,b19001h008_moe,b19001h009,b19001h009_moe,b19001h010,b19001h010_moe,b19001h011,b19001h011_moe,b19001h012,b19001h012_moe,b19001h013,b19001h013_moe,b19001h014,b19001h014_moe,b19001h015,b19001h015_moe,b19001h016,b19001h016_moe,b19001h017,b19001h017_moe
1,Rogers Park,11511,548,1301,266,875,217,601,171,443,135,615,168,573,160,394,120,660,177,376,116,735,188,1339,229,1115,206,784,172,776,207,469,140,455,136
2,West Ridge,12814,569,967,220,836,212,747,196,621,179,798,231,623,192,571,186,707,195,323,110,1095,223,1276,257,1447,265,1022,207,626,177,728,176,427,148
3,Uptown,17054,630,1571,279,751,215,770,193,796,213,542,168,545,177,620,164,704,203,619,185,1420,252,1528,271,2409,352,1533,282,902,213,1357,249,987,192
4,Lincoln Square,12566,495,558,146,383,120,534,142,530,167,511,148,361,130,566,181,712,189,347,133,1101,221,1672,264,1802,265,987,185,669,153,831,180,1002,198
5,North Center,12029,379,476,144,208,80,247,99,266,101,194,86,291,134,348,116,314,111,442,149,758,160,1221,220,1468,215,1387,219,916,180,1188,189,2305,250
6,Lake View,42481,819,2719,374,1063,218,1317,248,1164,241,1213,282,1413,287,1290,231,1779,307,1647,298,3160,388,3581,366,5460,515,4517,447,2672,340,3703,374,5783,433
7,Lincoln Park,26940,654,1822,292,718,174,699,215,793,183,461,135,879,214,617,174,692,187,632,175,1345,263,2124,310,3280,402,2716,355,1853,279,2522,331,5787,449
8,Near North Side,37992,984,2529,414,914,220,892,249,832,223,706,208,976,237,857,213,1164,263,1037,253,2588,424,3553,492,4754,535,3956,495,1736,302,3674,452,7824,600
9,Edison Park,4322,172,106,51,100,54,85,47,254,99,154,87,127,68,124,73,130,70,105,59,336,111,360,115,827,177,565,149,273,87,419,112,357,111
10,Norwood Park,12754,343,554,154,414,125,574,149,564,171,647,161,582,166,567,163,602,164,285,98,1026,220,1254,207,1971,277,1306,243,709,169,1139,211,560,168
11,Jefferson Park,7639,343,447,140,462,168,442,143,509,130,430,128,436,132,263,107,189,86,290,105,602,168,839,195,858,181,706,151,424,127,411,143,331,124
12,Forest Glen,5308,223,281,115,232,103,85,56,206,93,259,114,95,59,106,60,130,76,108,62,281,84,378,100,652,158,484,135,601,142,551,127,859,177
13,North Park,3713,227,202,84,376,129,282,118,183,81,151,94,150,81,125,71,108,74,91,77,311,97,288,107,344,109,328,105,197,89,243,95,334,106
14,Albany Park,7190,418,584,169,470,182,629,189,343,137,390,140,254,101,287,135,342,124,184,91,539,148,571,155,837,191,464,158,344,107,465,141,487,131
15,Portage Park,14549,504,899,220,679,179,808,191,925,203,836,179,724,188,728,178,637,185,572,155,1154,225,1726,277,1728,266,1465,253,623,156,737,184,308,114
16,Irving Park,10938,454,616,164,537,164,390,104,621,170,641,151,641,165,384,121,399,120,517,141,673,152,1071,187,1488,249,890,195,528,137,691,162,851,149
17,Dunning,12081,359,827,187,622,163,588,162,668,162,466,134,525,142,565,138,627,156,468,131,869,177,1380,231,1819,270,1408,207,513,144,485,147,251,106
18,Montclare,2310,202,215,93,42,38,248,98,106,60,223,114,111,65,197,86,147,91,22,25,145,91,196,92,209,90,188,93,99,74,83,62,79,61
19,Belmont Cragin,5465,376,334,124,487,135,581,158,435,142,291,109,323,124,259,104,386,134,219,102,454,130,500,143,593,158,306,116,139,92,101,69,57,65
20,Hermosa,972,178,104,78,45,44,106,67,32,37,16,38,55,61,5,29,103,64,28,35,86,60,74,48,207,105,43,45,23,35,29,34,16,29
21,Avondale,5464,368,370,134,422,129,252,125,304,115,316,111,342,115,307,94,281,115,272,110,451,139,510,148,511,137,529,147,239,101,184,76,174,77
22,Logan Square,15363,529,496,127,462,126,351,115,571,155,628,172,647,168,596,155,851,179,497,138,1388,237,1578,243,1814,251,1482,211,1193,200,1459,208,1350,188
23,Humboldt Park,1381,202,78,57,112,87,62,58,119,89,100,76,37,64,82,65,120,74,60,64,134,71,76,64,149,79,91,62,20,54,98,70,43,59
24,West Town,24289,607,1076,202,526,141,635,165,699,167,634,160,703,180,724,171,894,188,819,180,1604,245,2293,282,3335,347,2683,311,1961,257,2592,297,3111,303
25,Austin,1810,178,72,71,170,105,144,107,144,113,58,69,63,76,65,71,9,61,58,71,130,84,180,97,173,97,190,126,137,87,97,78,120,91
26,West Garfield Park,73,49,9,36,3,34,0,35,7,35,0,35,0,35,0,35,6,34,0,35,0,35,27,46,0,35,17,36,4,34,0,35,0,35
27,East Garfield Park,198,76,6,35,15,39,0,38,5,37,0,38,10,40,0,38,12,38,0,38,17,40,38,44,32,47,32,57,9,40,14,41,8,39
28,Near West Side,12457,488,839,209,307,110,174,93,213,88,314,135,167,88,310,143,315,115,93,63,879,195,1310,248,1748,277,1535,255,1215,225,1366,213,1672,254
