area_id,area_name,b10057001,b10057001_moe,b10057002,b10057002_moe,b10057003,b10057003_moe,b10057004,b10057004_moe,b10057005,b10057005_moe,b10057006,b10057006_moe,b10057007,b10057007_moe,b10057008,b10057008_moe,b10057009,b10057009_moe,b10057010,b10057010_moe,b10057011,b10057011_moe
58,Brighton Park,1648,315,977,271,181,130,116,112,65,67,796,241,671,188,137,79,112,71,25,53,534,172
59,McKinley Park,620,186,348,146,58,62,34,54,24,42,290,135,272,117,90,68,76,66,14,30,182,94
60,Bridgeport,702,189,305,132,62,71,43,65,19,42,243,112,397,122,74,46,36,39,38,47,323,114
61,New City,1279,258,724,213,248,110,153,87,95,77,476,173,555,151,242,112,154,96,88,72,313,104
62,West Elsdon,913,274,584,239,25,30,25,30,0,27,559,237,329,165,78,75,78,75,0,27,251,150
63,Gage Park,1862,372,1496,351,356,166,255,144,101,86,1140,305,366,156,35,47,23,42,12,44,331,151
64,Clearing,252,115,103,79,37,44,27,35,10,33,66,63,149,89,61,64,36,61,25,37,88,66
65,West Lawn,1220,309,881,282,143,99,143,99,0,34,738,268,339,138,32,37,24,34,8,32,307,135
66,Chicago Lawn,3408,470,1792,388,829,256,569,210,260,114,963,304,1616,287,483,155,390,147,93,69,1133,248
67,West Englewood,1958,289,675,208,375,153,173,102,202,121,300,135,1283,205,653,162,401,130,252,99,630,141
68,Englewood,1637,289,588,193,294,130,209,114,85,63,294,126,1049,213,545,156,374,134,171,86,504,151
69,Greater Grand Crossing,1519,277,426,172,321,148,154,102,167,106,105,83,1093,226,462,143,225,107,237,103,631,171
70,Ashburn,1724,346,1097,315,397,196,340,188,57,64,700,234,627,182,181,92,110,76,71,63,446,161
71,Auburn Gresham,2345,373,1018,280,518,186,277,147,241,105,500,200,1327,264,531,166,227,109,304,124,796,211
72,Beverly,514,209,383,196,159,131,50,67,109,110,224,145,131,76,72,66,48,65,24,32,59,43
73,Washington Heights,1255,227,586,181,290,125,111,74,179,107,296,136,669,170,202,98,39,44,163,92,467,140
74,Mount Greenwood,168,111,141,108,61,72,51,67,10,27,80,83,27,32,8,25,8,25,0,25,19,31
75,Morgan Park,647,207,182,137,63,81,22,45,41,56,119,115,465,164,127,84,90,75,37,49,338,126
76,O'Hare,330,249,257,237,77,104,77,104,0,38,180,173,73,79,0,38,0,38,0,38,73,79
77,Edgewater,420,197,342,188,112,124,12,53,100,122,230,144,78,72,18,53,0,48,18,53,60,68
