area_id,area_name,b25015001,b25015001_moe,b25015002,b25015002_moe,b25015003,b25015003_moe,b25015004,b25015004_moe,b25015005,b25015005_moe,b25015006,b25015006_moe,b25015007,b25015007_moe,b25015008,b25015008_moe,b25015009,b25015009_moe,b25015010,b25015010_moe,b25015011,b25015011_moe,b25015012,b25015012_moe,b25015013,b25015013_moe,b25015014,b25015014_moe,b25015015,b25015015_moe,b25015016,b25015016_moe,b25015017,b25015017_moe,b25015018,b25015018_moe,b25015019,b25015019_moe,b25015020,b25015020_moe,b25015021,b25015021_moe,b25015022,b25015022_moe,b25015023,b25015023_moe,b25015024,b25015024_moe,b25015025,b25015025_moe,b25015026,b25015026_moe,b25015027,b25015027_moe
1,Rogers Park,23981,550,6995,461,1426,233,1391,230,14,52,21,51,4783,418,4731,417,28,50,24,50,786,174,777,174,0,48,9,47,16986,651,6662,516,6026,497,309,145,327,166,8759,610,7679,584,552,193,528,188,1565,246,1535,245,0,48,30,57
2,West Ridge,24402,485,12314,533,1278,254,1175,243,83,75,20,53,7726,499,7378,498,260,132,88,75,3310,336,3310,336,0,51,0,51,12088,626,3916,479,3278,444,434,185,204,135,6585,566,5791,560,483,182,311,148,1587,292,1574,292,0,51,13,53
3,Uptown,29441,501,9490,491,2253,309,2241,309,12,48,0,48,6267,453,6176,448,52,64,39,58,970,152,970,152,0,48,0,48,19951,640,7725,537,7363,524,128,100,234,127,9480,620,8868,625,216,108,396,162,2746,362,2716,362,0,48,30,65
4,Lincoln Square,17622,376,7020,447,1544,248,1523,244,21,45,0,40,4234,374,4177,374,57,61,0,40,1242,172,1232,172,10,42,0,40,10602,509,4874,407,4693,401,47,68,134,115,4908,424,4590,413,138,110,180,104,820,207,811,207,9,41,0,40
5,North Center,14724,323,7758,369,1562,214,1556,213,6,43,0,43,4987,332,4980,331,0,43,7,43,1209,187,1198,186,0,43,11,44,6966,392,4028,334,4014,333,0,43,14,43,2501,303,2496,303,5,42,0,43,437,100,437,100,0,43,0,43
6,Lake View,52568,659,19687,707,6034,483,5981,480,27,72,26,72,11189,600,11089,585,83,115,17,70,2464,270,2464,270,0,66,0,66,32881,782,21765,762,21565,758,28,69,172,124,8742,624,8542,635,133,94,67,81,2374,283,2340,281,34,75,0,66
7,Lincoln Park,32194,546,14662,578,3437,342,3422,341,0,51,15,55,9160,487,9129,487,31,57,0,51,2065,240,2053,240,0,51,12,52,17532,621,12088,565,11942,576,0,51,146,152,4108,438,4064,440,44,58,0,51,1336,221,1327,221,9,52,0,51
8,Near North Side,50758,883,22765,857,4460,469,4452,469,0,54,8,54,12042,667,11856,663,89,80,97,80,6263,449,6249,449,0,54,14,58,27993,973,16755,882,16330,877,12,57,413,170,8485,674,8168,663,198,115,119,113,2753,342,2749,342,4,54,0,54
9,Edison Park,4608,141,3676,182,321,109,321,109,0,25,0,25,2328,174,2283,171,0,25,45,54,1027,123,1027,123,0,25,0,25,932,170,351,104,351,104,0,25,0,25,458,159,452,160,6,25,0,25,123,57,123,57,0,25,0,25
10,Norwood Park,14646,262,11624,364,832,205,822,205,10,41,0,39,7036,354,6919,354,94,85,23,42,3756,237,3756,237,0,39,0,39,3022,325,842,242,756,226,42,76,44,77,1277,252,1190,253,74,71,13,41,903,170,903,170,0,39,0,39
11,Jefferson Park,9943,274,6535,336,749,185,726,183,9,32,14,36,3974,303,3922,302,52,50,0,29,1812,199,1812,199,0,29,0,29,3408,328,1081,258,1005,241,44,71,32,57,1764,281,1646,274,69,72,49,59,563,139,563,139,0,29,0,29
12,Forest Glen,6793,159,5964,202,262,101,262,101,0,29,0,29,3957,210,3937,214,20,37,0,29,1745,151,1738,150,7,30,0,29,829,185,354,129,332,127,0,29,22,45,389,133,364,128,25,41,0,29,86,60,86,60,0,29,0,29
13,North Park,6436,188,3405,243,252,100,252,100,0,27,0,27,2198,217,2074,219,98,74,26,44,955,138,938,137,7,27,10,27,3031,263,877,180,823,174,29,41,25,47,1272,213,1226,210,33,46,13,30,882,144,875,143,0,27,7,27
14,Albany Park,16804,326,6138,382,1097,200,1084,199,13,47,0,45,4098,334,3834,328,230,116,34,50,943,170,928,169,0,45,15,48,10666,433,4005,419,3272,377,452,169,281,149,5572,446,4793,434,552,194,227,126,1089,197,997,190,0,45,92,73
15,Portage Park,22505,401,12675,479,1235,203,1176,198,35,54,24,50,8275,462,8030,462,157,90,88,74,3165,295,3126,293,31,54,8,52,9830,524,2948,398,2682,383,164,114,102,90,5682,495,5373,486,177,100,132,102,1200,250,1200,250,0,47,0,47
16,Irving Park,20177,401,9760,457,1348,234,1248,223,79,83,21,55,6287,413,6108,405,121,77,58,87,2125,258,2109,258,7,47,9,48,10417,507,4473,420,3999,405,260,133,214,123,5194,456,4702,441,253,128,239,127,750,177,740,177,0,47,10,49
