area_id,area_name,b01001g001,b01001g001_moe,b01001g002,b01001g002_moe,b01001g003,b01001g003_moe,b01001g004,b01001g004_moe,b01001g005,b01001g005_moe,b01001g006,b01001g006_moe,b01001g007,b01001g007_moe,b01001g008,b01001g008_moe,b01001g009,b01001g009_moe,b01001g010,b01001g010_moe,b01001g011,b01001g011_moe,b01001g012,b01001g012_moe,b01001g013,b01001g013_moe,b01001g014,b01001g014_moe,b01001g015,b01001g015_moe,b01001g016,b01001g016_moe,b01001g017,b01001g017_moe,b01001g018,b01001g018_moe,b01001g019,b01001g019_moe,b01001g020,b01001g020_moe,b01001g021,b01001g021_moe,b01001g022,b01001g022_moe,b01001g023,b01001g023_moe,b01001g024,b01001g024_moe,b01001g025,b01001g025_moe,b01001g026,b01001g026_moe,b01001g027,b01001g027_moe,b01001g028,b01001g028_moe,b01001g029,b01001g029_moe,b01001g030,b01001g030_moe,b01001g031,b01001g031_moe
1,Rogers Park,2050,411,899,236,151,90,92,66,93,68,0,48,37,61,68,78,27,54,93,76,170,95,121,82,15,50,32,59,0,48,0,48,1151,276,353,161,59,60,46,64,89,82,43,73,142,94,66,60,86,65,124,120,37,54,82,91,13,49,0,48,11,51
2,West Ridge,2052,578,810,252,147,108,181,142,57,73,56,61,17,56,9,50,40,82,21,58,67,67,69,83,53,72,85,68,0,51,8,52,1242,406,286,164,290,200,120,86,81,85,0,51,105,102,43,75,44,71,118,95,17,53,76,101,62,77,0,51,0,51
3,Uptown,1692,490,857,291,221,152,107,128,27,50,61,87,9,47,46,69,95,103,0,48,104,100,107,102,37,76,43,57,0,48,0,48,835,280,66,73,0,48,53,96,0,48,0,48,57,80,202,126,109,109,165,107,84,90,49,75,50,57,0,48,0,48
4,Lincoln Square,1046,279,464,166,107,84,61,49,23,50,21,53,0,40,5,40,62,67,25,47,61,64,46,72,0,40,35,54,18,48,0,40,582,183,70,57,63,55,11,41,0,40,26,45,7,40,145,98,67,65,56,69,76,60,25,52,0,40,36,64,0,40
5,North Center,876,311,397,132,76,58,47,69,0,43,10,45,0,43,27,49,0,43,120,73,43,49,34,57,0,43,31,48,0,43,9,44,479,241,72,67,126,135,84,80,0,43,0,43,22,47,58,60,23,45,27,47,11,46,34,55,0,43,14,43,8,43
6,Lake View,1827,371,921,245,208,119,121,96,0,66,0,66,25,72,110,103,160,116,39,78,198,117,0,66,60,83,0,66,0,66,0,66,906,231,222,133,79,89,51,78,0,66,7,66,127,93,159,96,114,96,80,78,35,70,15,66,17,71,0,66,0,66
7,Lincoln Park,1075,269,579,191,78,66,43,67,24,56,13,54,32,60,5,51,62,75,39,55,209,139,11,50,34,57,29,71,0,51,0,51,496,154,130,86,56,61,23,56,6,50,22,54,104,84,35,59,16,51,58,64,8,52,23,57,10,50,5,51,0,51
8,Near North Side,1379,374,610,245,81,79,66,78,21,59,0,54,0,54,86,95,24,59,227,164,54,74,7,55,0,54,25,59,19,61,0,54,769,255,41,64,125,105,30,67,0,54,27,57,45,65,128,105,40,62,91,75,168,158,39,62,30,62,5,54,0,54
9,Edison Park,196,137,127,91,0,25,0,25,37,44,0,25,0,25,0,25,44,55,0,25,0,25,4,24,18,36,12,28,12,30,0,25,69,87,0,25,14,28,14,28,13,28,0,25,0,25,15,31,0,25,0,25,13,28,0,25,0,25,0,25,0,25
10,Norwood Park,880,391,542,274,166,172,115,103,15,40,42,57,25,51,27,57,45,80,0,39,28,50,12,42,57,81,10,40,0,39,0,39,338,177,50,58,58,58,26,50,63,63,0,39,19,47,44,78,41,73,5,38,12,42,20,42,0,39,0,39,0,39
11,Jefferson Park,652,248,370,172,53,51,47,53,77,83,16,37,9,31,18,32,36,63,0,29,24,34,70,61,14,31,6,29,0,29,0,29,282,113,49,52,20,31,37,49,0,29,0,29,8,31,0,29,11,33,90,57,28,39,39,54,0,29,0,29,0,29
12,Forest Glen,447,208,221,163,90,89,84,82,14,30,0,29,0,29,0,29,18,38,15,34,0,29,0,29,0,29,0,29,0,29,0,29,226,128,77,73,22,44,16,34,0,29,0,29,0,29,0,29,22,45,58,51,11,31,20,37,0,29,0,29,0,29
13,North Park,474,212,301,177,18,37,23,38,29,37,10,31,0,27,128,148,0,27,19,41,0,27,58,68,9,23,7,27,0,27,0,27,173,84,0,27,0,27,0,27,0,27,6,25,46,43,38,55,0,27,11,29,16,28,46,67,5,26,0,27,5,24
14,Albany Park,1965,456,1009,303,145,101,236,173,112,80,9,44,13,46,98,73,107,69,75,66,86,65,83,61,13,48,22,46,10,46,0,45,956,246,197,107,141,110,35,55,41,53,29,46,107,74,105,88,50,61,104,81,61,52,38,48,23,50,25,49,0,45
15,Portage Park,2379,531,1157,288,272,153,117,89,72,58,151,91,68,93,88,79,189,111,86,85,10,43,73,57,27,50,4,46,0,47,0,47,1222,360,293,169,256,140,106,84,14,50,32,51,83,102,117,85,35,60,50,55,151,85,67,69,12,47,6,47,0,47
