area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
1,Rogers Park,57559,2198,55509,2198,29920,1714,16419,1491,118,130,3936,995,14,51,5102,1173,2050,411,231,121,1819,389,1894,394,705,201,208,142,554,275,26,57,401,163,156,117,0,48
2,West Ridge,73705,2596,71653,2610,40529,2311,8310,1366,264,215,17135,2022,8,68,5407,1295,2052,578,493,267,1559,510,1895,548,421,270,131,95,513,272,204,244,626,312,157,131,0,51
3,Uptown,54995,1710,53303,1664,32661,1363,11336,1192,249,146,6425,763,0,48,2632,719,1692,490,162,88,1530,486,1659,489,558,323,282,198,360,180,78,87,381,227,33,53,0,48
4,Lincoln Square,38622,1335,37576,1350,27801,1209,1898,540,242,175,4027,722,48,77,3560,1083,1046,279,108,93,938,263,1022,277,125,99,114,78,524,196,23,50,236,139,24,44,0,40
5,North Center,33418,1097,32542,1078,29729,1088,556,199,81,70,1400,341,0,43,776,309,876,311,85,74,791,306,853,310,132,65,146,87,480,286,0,43,95,76,23,48,0,43
6,Lake View,96539,1732,94712,1728,82704,1779,3638,595,221,167,6710,799,32,78,1407,333,1827,371,138,97,1689,362,1753,364,428,197,174,109,901,257,12,70,238,133,74,86,0,66
7,Lincoln Park,64631,1722,63556,1736,55859,1721,2802,455,154,112,3728,536,0,51,1013,318,1075,269,54,68,1021,265,1037,266,148,124,100,79,607,194,0,51,182,135,38,59,0,51
8,Near North Side,80516,1818,79137,1834,60948,1677,7679,881,225,164,8780,965,0,54,1505,535,1379,374,181,128,1198,354,1337,371,405,253,156,101,407,170,36,67,333,192,42,63,0,54
9,Edison Park,11135,498,10939,524,10637,549,0,25,0,25,242,176,0,25,60,46,196,137,101,112,95,83,196,137,23,40,16,27,56,75,0,25,101,112,0,25,0,25
10,Norwood Park,37429,1230,36549,1211,32913,1175,332,210,71,133,1761,541,0,39,1472,581,880,391,331,255,549,301,880,391,55,70,71,117,393,272,0,39,361,257,0,39,0,39
11,Jefferson Park,26771,1244,26119,1256,21494,1268,369,291,74,82,2537,748,0,29,1645,617,652,248,107,84,545,232,542,229,77,82,120,154,153,90,25,37,167,118,110,92,0,29
12,Forest Glen,18542,646,18095,673,14406,687,300,210,21,40,2269,411,43,75,1056,418,447,208,141,142,306,164,385,194,11,31,74,100,139,105,0,29,161,143,62,73,0,29
13,North Park,18739,1008,18265,1022,10662,849,314,142,42,48,5261,745,0,27,1986,677,474,212,179,121,295,174,474,212,7,28,12,29,186,160,29,37,240,144,0,27,0,27
14,Albany Park,53897,2062,51932,2076,22776,1402,2328,621,123,111,6733,1070,46,79,19926,2169,1965,456,896,367,1069,388,1829,444,143,102,169,128,579,346,0,45,938,369,89,76,47,82
15,Portage Park,63619,1847,61240,1818,41514,1710,884,396,175,179,2878,697,40,76,15749,1677,2379,531,1071,335,1308,420,2379,531,312,218,47,57,769,266,7,47,1244,416,0,47,0,47
16,Irving Park,56513,1956,55210,1960,37211,1894,1771,451,150,134,4057,775,0,47,12021,1735,1303,306,481,202,822,237,1203,294,353,166,39,52,247,138,35,64,529,208,100,86,0,47
17,Dunning,42115,1249,41596,1265,35665,1358,450,258,86,97,1665,451,57,85,3673,838,519,212,289,173,230,116,519,212,53,67,57,53,105,94,0,40,304,174,0,40,0,40
18,Montclare,12401,838,12267,834,7794,738,582,162,42,54,552,317,12,26,3285,662,134,76,59,59,75,51,134,76,39,38,21,36,15,29,0,23,59,59,0,23,0,23
19,Belmont Cragin,77885,2548,76119,2550,31161,2186,4206,984,171,165,1124,396,13,54,39444,2616,1766,567,971,353,795,455,1743,565,198,119,56,72,272,227,0,52,1217,517,23,57,0,52
20,Hermosa,25068,1269,24584,1274,9239,1065,318,176,33,49,111,79,37,69,14846,1428,484,177,293,153,191,90,431,168,90,70,27,36,21,33,0,29,293,153,53,60,0,29
21,Avondale,41542,1885,40444,1902,30571,1887,1438,488,285,278,1311,448,0,38,6839,1317,1098,339,261,153,837,302,1069,337,355,218,63,69,367,205,23,48,261,153,29,56,0,38
22,Logan Square,73786,1997,72106,1982,59201,2000,5186,815,136,114,2146,383,0,57,5437,948,1680,357,411,186,1269,314,1646,353,581,244,116,88,465,146,7,56,477,208,34,63,0,57
23,Humboldt Park,54351,2209,53281,2201,14180,1295,23695,1783,168,159,147,121,0,51,15091,1729,1070,349,416,169,654,307,899,323,248,205,150,186,24,51,47,71,430,170,171,142,0,51
24,West Town,84087,2008,82298,1995,63008,1850,7581,1033,231,109,3356,499,0,62,8122,1149,1789,364,434,230,1355,290,1643,353,327,148,148,105,589,202,12,62,567,245,118,97,28,69
25,Austin,98162,2739,97500,2743,8169,809,84773,2687,142,152,351,184,0,61,4065,929,662,238,100,95,562,226,657,238,418,211,0,61,53,73,86,113,100,95,5,61,0,61
26,West Garfield Park,19377,1316,19310,1311,324,153,18803,1312,14,45,18,41,0,35,151,146,67,67,0,35,67,67,52,64,52,64,0,35,0,35,0,35,0,35,15,39,0,35
27,East Garfield Park,21316,1354,21196,1362,856,246,20080,1366,13,43,92,61,0,38,155,96,120,68,10,39,110,67,120,68,55,57,10,40,19,46,20,41,16,39,0,38,0,38
28,Near West Side,54151,1661,52803,1649,25222,1148,17686,1257,161,112,8035,797,0,52,1699,442,1348,258,280,121,1068,230,1277,253,273,105,237,119,321,115,56,66,390,140,67,66,4,51
29,North Lawndale,36074,1850,35795,1845,1447,342,33355,1835,21,52,72,86,0,43,900,327,279,147,55,60,224,140,263,141,68,72,14,47,5,42,121,118,55,60,8,43,8,43
30,South Lawndale,70557,2333,70126,2338,47570,2299,7991,595,318,177,115,80,0,48,14132,1741,431,193,232,141,199,121,354,158,43,62,23,52,15,54,17,53,256,146,64,83,13,51
31,Lower West Side,36577,1700,35601,1696,17779,1488,1229,324,113,74,390,162,0,42,16090,1684,976,313,330,135,646,287,968,312,329,219,85,70,181,155,0,42,373,149,8,42,0,42
32,Loop,26363,1430,25690,1429,17355,1245,3150,707,34,37,4362,672,0,30,789,360,673,259,137,107,536,239,661,258,217,210,48,67,212,98,11,33,173,113,12,36,0,30
33,Near South Side,20245,1153,19551,1113,9748,901,5595,753,53,62,3692,698,0,24,463,250,694,353,300,241,394,229,646,334,33,32,29,30,243,196,41,70,300,241,34,77,14,26
34,Armour Square,13710,850,13272,844,1818,318,1717,325,5,26,9179,755,118,140,435,279,438,329,0,27,438,329,438,329,23,35,243,305,167,123,5,26,0,27,0,27,0,27
35,Douglas,19111,872,18912,875,2561,397,13712,752,22,38,2335,497,13,39,269,141,199,89,32,42,167,83,177,83,74,54,4,34,32,48,10,37,57,49,0,35,22,47
36,Oakland,6260,469,6235,470,251,160,5845,498,0,19,57,65,0,19,82,78,25,37,0,19,25,37,25,37,22,38,3,16,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,2924,543,2902,538,85,62,2678,523,0,16,11,19,0,16,128,145,22,35,0,16,22,35,22,35,22,35,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,23151,1181,22840,1180,1047,372,21231,1110,14,45,68,64,14,48,466,282,311,126,20,48,291,123,272,122,134,95,27,44,0,43,91,84,20,48,39,48,0,43
39,Kenwood,18180,927,17831,931,3629,444,12921,884,73,63,1065,300,0,31,143,111,349,161,95,129,254,105,305,150,64,48,13,36,74,59,13,34,141,143,44,66,0,31
40,Washington Park,11146,835,11018,829,59,59,10935,821,0,27,9,28,0,27,15,31,128,101,11,31,117,101,104,92,78,84,0,27,0,27,15,28,11,31,24,46,0,27
41,Hyde Park,26541,1184,25705,1189,13261,935,8961,712,93,75,2847,448,7,39,536,326,836,211,120,103,716,187,753,195,349,131,36,43,188,92,37,45,143,106,79,71,4,37
42,Woodlawn,24445,1271,24074,1273,1809,300,21463,1274,60,57,598,165,0,36,144,87,371,134,38,50,333,129,324,118,112,81,49,62,41,41,71,53,51,53,29,52,18,54
43,South Shore,47526,2018,46449,2035,781,219,45109,2028,108,86,85,77,15,49,351,233,1077,423,206,119,871,409,905,385,387,245,16,48,4,43,274,288,224,121,167,141,5,44
44,Chatham,33244,1627,32791,1615,196,110,32535,1610,28,43,23,42,0,37,9,39,453,272,0,37,453,272,428,270,211,235,26,51,0,37,183,133,8,37,25,39,0,37
45,Avalon Park,9617,760,9533,760,169,176,9324,755,0,19,34,42,0,19,6,19,84,57,0,19,84,57,84,57,17,28,0,19,0,19,52,46,15,29,0,19,0,19
46,South Chicago,29458,1592,29132,1591,5683,787,21596,1530,0,37,86,102,100,159,1667,430,326,179,212,140,114,114,319,179,80,111,17,44,0,37,10,39,212,140,7,37,0,37
47,Burnside,3508,686,3508,686,20,31,3488,687,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14382,814,14311,818,241,90,13632,806,9,29,14,31,0,27,415,318,71,67,0,27,71,67,54,51,54,51,0,27,0,27,0,27,0,27,17,34,0,27
49,Roseland,45285,1660,44703,1652,610,178,43762,1651,20,54,217,152,0,41,94,83,582,287,60,58,522,287,532,278,147,106,0,41,0,41,297,253,88,65,50,90,0,41
50,Pullman,7262,584,7227,579,864,190,6179,549,0,19,39,53,0,19,145,139,35,36,14,29,21,29,35,36,15,29,0,19,0,19,0,19,20,29,0,19,0,19
51,South Deering,16445,1030,16140,1034,3832,566,10123,824,17,35,49,58,11,26,2108,741,305,256,20,40,285,254,125,105,69,90,17,37,19,38,0,25,20,40,180,241,0,25
52,East Side,23517,1386,22939,1364,18050,1425,746,377,80,67,101,109,0,29,3962,885,578,245,397,221,181,110,563,243,57,64,85,80,24,46,0,29,397,221,15,29,0,29
53,West Pullman,30810,1644,30580,1640,1160,369,28937,1623,27,47,0,39,0,39,456,293,230,185,0,39,230,185,230,185,202,183,15,44,13,40,0,39,0,39,0,39,0,39
54,Riverdale,6820,725,6817,725,136,85,6678,731,3,13,0,16,0,16,0,16,3,13,0,16,3,13,3,13,3,13,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,10168,928,9823,974,7894,860,1110,617,45,45,34,57,0,19,740,371,345,274,241,257,104,92,345,274,18,30,51,78,35,52,0,19,241,257,0,19,0,19
56,Garfield Ridge,33940,1080,32976,1082,24973,1122,2230,532,17,45,647,310,0,42,5109,968,964,350,642,296,322,176,799,297,0,42,102,88,55,56,0,42,642,296,73,94,92,117
57,Archer Heights,13434,778,13335,772,8823,865,212,219,91,78,212,178,0,27,3997,809,99,74,10,25,89,74,67,65,25,42,21,35,11,28,0,27,10,25,32,42,0,27
58,Brighton Park,44148,1807,43775,1809,28341,1791,591,298,109,91,2756,498,0,43,11978,1608,373,223,252,200,121,103,344,214,27,46,51,80,14,46,0,43,252,200,29,46,0,43
59,McKinley Park,16434,925,16067,925,8326,883,506,284,250,195,2675,437,0,25,4310,769,367,248,119,106,248,224,352,247,233,224,0,25,0,25,0,25,119,106,15,26,0,25
60,Bridgeport,32430,1332,31577,1321,15242,975,645,200,226,180,10772,980,67,82,4625,885,853,272,204,140,649,233,853,272,418,221,84,76,134,105,8,37,209,140,0,37,0,37
61,New City,42107,1897,41304,1867,19538,1492,12816,1386,309,244,563,153,10,48,8068,1081,803,397,327,303,476,262,652,342,103,86,53,87,62,60,13,51,421,323,89,121,62,100
