area_id,area_name,b11001i001,b11001i001_moe,b11001i002,b11001i002_moe,b11001i003,b11001i003_moe,b11001i004,b11001i004_moe,b11001i005,b11001i005_moe,b11001i006,b11001i006_moe,b11001i007,b11001i007_moe,b11001i008,b11001i008_moe,b11001i009,b11001i009_moe
1,Rogers Park,4150,458,2421,366,1450,296,971,258,506,205,465,170,1729,330,1197,282,532,186
2,West Ridge,3987,483,3034,429,2001,381,1033,258,328,165,705,202,953,274,676,233,277,133
3,Uptown,2761,393,1108,256,677,201,431,167,139,93,292,144,1653,315,1310,284,343,144
4,Lincoln Square,2496,371,1607,300,1001,226,606,208,242,150,364,150,889,272,743,255,146,103
5,North Center,1541,249,863,182,642,164,221,92,72,73,149,80,678,189,459,148,219,123
6,Lake View,3402,424,990,205,703,176,287,121,110,90,177,103,2412,381,1793,338,619,184
7,Lincoln Park,1447,259,404,124,282,105,122,76,29,57,93,68,1043,228,791,205,252,120
8,Near North Side,2534,470,895,330,663,304,232,142,34,65,198,137,1639,341,1486,323,153,114
9,Edison Park,145,76,91,61,83,60,8,25,8,25,0,25,54,49,54,49,0,25
10,Norwood Park,1241,236,926,202,604,184,322,136,101,62,221,125,315,139,187,80,128,119
11,Jefferson Park,1419,247,1098,228,727,184,371,155,167,103,204,122,321,138,309,137,12,33
12,Forest Glen,696,161,524,138,390,122,134,85,28,45,106,79,172,88,161,87,11,31
13,North Park,1033,210,760,193,497,161,263,104,88,65,175,86,273,111,125,77,148,92
14,Albany Park,6596,437,5122,408,3058,323,2064,330,1170,272,894,216,1474,294,792,212,682,217
15,Portage Park,6703,462,5579,430,3428,362,2151,314,436,145,1715,296,1124,244,788,213,336,134
16,Irving Park,7006,453,5044,400,3120,356,1924,314,726,211,1198,246,1962,331,1418,288,544,185
17,Dunning,2448,262,2079,240,1419,218,660,178,269,119,391,139,369,122,302,116,67,56
18,Montclare,1739,223,1388,228,919,188,469,148,160,97,309,118,351,125,306,112,45,47
19,Belmont Cragin,14373,508,12560,526,7145,495,5415,502,2019,350,3396,413,1813,297,1449,263,364,142
20,Hermosa,5817,282,4910,290,3021,293,1889,269,590,160,1299,243,907,185,676,160,231,109
21,Avondale,7180,430,5676,441,3415,349,2261,344,843,218,1418,275,1504,271,957,221,547,196
22,Logan Square,10961,531,7666,463,4420,418,3246,342,1019,218,2227,288,3295,385,2465,327,830,206
23,Humboldt Park,7916,408,5962,390,3070,337,2892,352,891,202,2001,319,1954,281,1530,252,424,142
24,West Town,8095,493,5143,402,2662,297,2481,307,678,186,1803,252,2952,369,2363,331,589,166
25,Austin,2129,263,1690,227,1046,198,644,172,197,107,447,152,439,168,311,145,128,102
26,West Garfield Park,22,37,22,37,22,37,0,35,0,35,0,35,0,35,0,35,0,35
