area_id,area_name,b08201001,b08201001_moe,b08201002,b08201002_moe,b08201003,b08201003_moe,b08201004,b08201004_moe,b08201005,b08201005_moe,b08201006,b08201006_moe,b08201007,b08201007_moe,b08201008,b08201008_moe,b08201009,b08201009_moe,b08201010,b08201010_moe,b08201011,b08201011_moe,b08201012,b08201012_moe,b08201013,b08201013_moe,b08201014,b08201014_moe,b08201015,b08201015_moe,b08201016,b08201016_moe,b08201017,b08201017_moe,b08201018,b08201018_moe,b08201019,b08201019_moe,b08201020,b08201020_moe,b08201021,b08201021_moe,b08201022,b08201022_moe,b08201023,b08201023_moe,b08201024,b08201024_moe,b08201025,b08201025_moe,b08201026,b08201026_moe,b08201027,b08201027_moe,b08201028,b08201028_moe,b08201029,b08201029_moe,b08201030,b08201030_moe
1,Rogers Park,23981,550,7811,534,11957,595,3508,392,544,163,161,80,10695,611,4910,464,5509,472,145,110,73,83,58,57,6377,492,1320,237,3287,401,1661,271,73,62,36,62,2747,371,673,193,1421,261,467,151,186,106,0,48,4162,424,908,233,1740,303,1235,260,212,99,67,60
2,West Ridge,24402,485,4361,451,11254,641,7006,527,1441,295,340,134,6604,521,2251,335,4113,432,204,109,19,52,17,56,6808,513,943,235,3383,422,2336,320,127,79,19,57,3355,435,594,186,1174,269,1207,261,374,145,6,51,7635,541,573,184,2584,413,3259,390,921,254,298,128
3,Uptown,29441,501,12545,643,13235,614,3339,392,167,87,155,79,16694,662,9437,608,6869,518,296,145,41,63,51,57,8285,556,2113,323,4151,425,1935,283,50,59,36,56,2391,385,475,193,1303,293,591,187,22,51,0,48,2071,297,520,170,912,224,517,177,54,62,68,63
4,Lincoln Square,17622,376,3682,378,9037,505,4067,385,787,187,49,55,7023,480,2408,324,4433,432,182,94,0,40,0,40,5750,427,1030,225,2861,339,1772,259,87,60,0,40,2686,368,158,105,1076,235,1139,235,313,115,0,40,2163,291,86,66,667,177,974,202,387,149,49,55
5,North Center,14724,323,1786,244,7153,409,4919,341,731,170,135,68,5222,363,1257,221,3618,323,230,106,91,78,26,53,5138,348,423,118,2302,256,2274,248,132,89,7,43,1984,251,61,62,608,146,1032,185,258,104,25,49,2380,240,45,54,625,158,1383,205,250,97,77,54
6,Lake View,52568,659,18763,767,24598,868,7944,528,991,226,272,104,27176,837,13819,709,12851,723,449,151,15,67,42,71,16400,713,3780,418,8167,546,4257,410,159,84,37,69,5510,418,883,188,2399,333,1648,258,492,170,88,87,3482,330,281,122,1181,198,1590,230,325,149,105,80
7,Lincoln Park,32194,546,9799,594,15187,679,6279,462,755,162,174,102,16514,669,7594,558,8544,578,323,132,30,67,23,53,9176,540,1515,258,4335,411,3115,334,175,83,36,80,3280,333,534,148,1363,231,1141,200,207,90,35,59,3224,344,156,88,945,215,1700,269,343,113,80,73
8,Near North Side,50758,883,21987,968,23471,960,4703,509,492,173,105,79,31270,1071,17127,893,13436,856,584,214,42,68,81,75,15681,856,3785,450,8470,671,3207,434,195,126,24,60,1863,311,442,177,821,191,490,165,110,72,0,54,1944,301,633,215,744,202,422,126,145,107,0,54
9,Edison Park,4608,141,524,153,1520,192,2081,193,409,117,74,48,1491,202,349,107,1036,172,106,62,0,25,0,25,1680,197,112,82,437,113,1010,180,121,72,0,25,453,126,42,59,21,27,236,96,154,69,0,25,984,116,21,37,26,28,729,124,134,62,74,48
10,Norwood Park,14646,262,1554,226,5289,402,5637,412,1797,287,369,137,4550,385,1326,217,2945,318,265,105,14,44,0,39,4507,378,195,92,1445,238,2524,296,277,110,66,78,2390,320,25,44,517,172,1088,203,752,206,8,40,3199,298,8,41,382,157,1760,261,754,195,295,115
11,Jefferson Park,9943,274,1444,235,3910,348,3053,340,1125,229,411,144,3297,345,1097,223,2003,287,197,92,0,29,0,29,2427,311,184,107,1096,209,1009,192,118,75,20,34,1646,264,44,37,353,140,784,188,410,153,55,49,2573,273,119,88,458,142,1063,195,597,167,336,138
12,Forest Glen,6793,159,476,135,2255,255,3022,250,767,179,273,93,1701,225,355,120,1230,203,116,66,0,29,0,29,2090,210,94,72,526,132,1307,182,143,80,20,34,922,184,27,38,206,112,344,101,304,111,41,39,2080,193,0,29,293,104,1255,179,320,133,212,87
13,North Park,6436,188,1143,225,2512,273,2143,242,414,124,224,92,1794,234,715,176,996,184,73,48,0,27,10,27,1976,272,358,155,754,178,836,176,11,28,17,37,962,183,53,49,407,132,396,120,100,55,6,27,1704,222,17,38,355,134,838,177,303,116,191,86
14,Albany Park,16804,326,4080,392,7539,457,3989,401,815,215,381,132,4105,417,1789,281,2084,293,217,114,5,44,10,45,4542,451,839,201,2258,328,1331,251,114,81,0,45,2497,328,582,178,1069,219,662,174,143,94,41,58,5660,417,870,236,2128,302,1779,281,553,180,330,124
